,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY,CITY_OF_SURREY
Total population by sex and age groups - 20% sample data,17325,37705,50795,51660,109475,59935,65560,82880,392450
"  Male, total",8605,18670,25045,25535,54090,28705,33105,41705,193750
    0 to 4 years,475,1520,1455,1500,4305,1240,2315,2790,12805
    5 to 9 years,490,1335,1870,1820,4235,1710,2440,2930,13900
    10 to 14 years,525,1410,2120,2080,4215,1990,2420,2945,14760
    15 to 19 years,395,1455,2125,2205,3695,2105,2625,3015,14600
    20 to 24 years,680,1140,1790,1885,3875,1695,2265,2945,13330
    25 to 29 years,685,1090,1605,1690,4030,920,2200,2885,12220
    30 to 34 years,675,1330,1430,1330,3970,1055,2280,2950,12065
    35 to 39 years,685,1445,1755,1720,4145,1570,2640,3325,13965
    40 to 44 years,740,1525,1940,2300,4260,1945,2850,3585,15560
    45 to 49 years,810,1545,2175,2360,3815,2290,2630,3440,15625
    50 to 54 years,590,1325,1880,1900,3385,2400,2200,2800,13685
    55 to 59 years,540,1140,1585,1410,2850,2440,1905,2450,11870
    60 to 64 years,430,780,1100,1085,2455,1960,1425,1855,9240
    65 to 69 years,320,530,815,755,1665,1320,1040,1355,6440
    70 to 74 years,230,395,530,700,1365,1360,810,1035,5390
    75 to 79 years,160,355,460,400,1005,1075,580,735,4035
    80 to 84 years,110,205,250,250,485,965,330,440,2595
    85 years and over,80,125,160,125,340,675,150,225,1660
"  Female, total",8720,19040,25750,26120,55385,31230,32455,41175,198700
    0 to 4 years,480,1215,1425,1330,3805,1230,2170,2650,11660
    5 to 9 years,440,1300,1675,1600,3945,1390,2140,2580,12500
    10 to 14 years,455,1415,1820,2015,3790,2060,2385,2840,13950
    15 to 19 years,515,1170,1990,1990,3700,2175,2065,2585,13610
    20 to 24 years,590,1185,1720,1670,3750,1385,2420,3010,12720
    25 to 29 years,610,1225,1630,1490,4550,985,2665,3270,13145
    30 to 34 years,700,1350,1680,1740,4635,1330,2420,3120,13855
    35 to 39 years,745,1630,1900,2100,4430,1805,2445,3190,15050
    40 to 44 years,770,1800,2250,2590,4315,2320,2625,3400,16665
    45 to 49 years,650,1635,2250,2430,3750,2680,2495,3145,15890
    50 to 54 years,620,1430,1920,1980,3555,2765,2255,2880,14525
    55 to 59 years,605,1050,1530,1610,3405,2575,1870,2470,12645
    60 to 64 years,370,805,1005,1045,2320,2025,1300,1665,8870
    65 to 69 years,325,580,970,740,1770,1475,1025,1350,6885
    70 to 74 years,265,520,595,605,1530,1410,755,1025,5680
    75 to 79 years,200,370,645,605,1050,1315,630,835,4815
    80 to 84 years,195,215,440,330,710,1265,460,655,3620
    85 years and over,180,130,315,260,385,1030,325,505,2625
Total population 15 years and over by legal marital status,14460,29500,40425,41315,85175,50310,51685,66145,312875
  Never legally married (single),5470,8190,11755,13525,22835,11885,15470,20940,89130
  Legally married (and not separated),5535,17160,23635,22060,50950,29935,28660,34190,177930
"  Separated, but still legally married",865,880,1030,1275,2540,1230,1655,2525,9475
  Divorced,1740,2015,1980,2740,4830,3685,3325,5060,20305
  Widowed,855,1255,2025,1710,4025,3590,2580,3430,16030
Total population 15 years and over by common-law status,14460,29500,40420,41315,85175,50315,51685,66145,312870
  Not in a common-law relationship,13065,27225,38550,38910,81350,47675,48795,61860,295570
  In a common-law relationship,1395,2275,1875,2400,3830,2635,2890,4285,17300
Total population by mother tongue,17325,37705,50795,51655,109475,59935,65560,82885,392450
  Single responses,16980,37185,49480,50410,106465,59445,63535,80520,383505
    English,9830,30125,25070,26960,46040,48505,28495,38325,215035
    French,225,375,310,390,835,605,420,645,3155
    Non-official languages,6925,6685,24100,23060,59595,10330,34620,41545,165310
      Algonquin,0,0,0,0,0,0,0,0,0
      Atikamekw,0,0,0,0,0,0,0,0,0
      Blackfoot,0,0,0,0,0,0,0,0,0
      Carrier,0,0,0,0,0,0,0,0,10
      Chilcotin,0,0,0,0,0,0,0,0,0
      Chipewyan,0,0,0,0,0,0,0,0,0
      Cree,0,0,0,10,0,0,10,0,10
      Siouan languages (Dakota/Sioux),0,0,0,0,0,0,0,0,0
      Dene,0,0,0,0,0,0,0,0,0
      Dogrib,0,0,0,0,0,0,0,0,0
      Gitksan,0,0,0,0,0,0,0,0,0
      Inuinnaqtun,0,0,0,0,0,0,0,0,0
"      Inuktitut, n.i.e.",0,0,0,0,0,0,0,0,0
      Kutchin-Gwich'in (Loucheux),0,0,0,0,0,0,0,0,0
      Malecite,0,0,0,0,0,0,0,0,0
      Mi'kmaq,0,0,0,0,0,0,0,0,0
      Mohawk,0,0,0,0,0,0,0,0,0
      Montagnais-Naskapi,0,0,0,0,0,0,0,0,0
      Nisga'a,20,0,0,0,0,0,0,20,20
      North Slave (Hare),0,0,0,0,0,0,0,0,0
      Ojibway,0,0,0,0,0,0,10,10,10
      Oji-Cree,0,0,0,0,0,0,0,0,0
      Shuswap,0,0,0,0,0,0,0,0,0
      South Slave,0,0,0,0,0,0,0,0,0
      Tlingit,0,0,0,0,0,0,0,0,0
      Italian,20,250,255,240,260,220,155,180,1405
      Portuguese,25,135,305,170,230,85,275,295,1235
      Romanian,20,65,20,130,130,55,80,100,485
      Spanish,440,155,475,675,1065,305,870,1305,3980
      Danish,25,80,100,55,75,195,80,110,615
      Dutch,50,300,390,255,235,515,230,280,1970
      Flemish,0,55,0,0,0,25,15,15,95
      Frisian,0,10,25,0,10,30,0,0,70
      German,185,650,650,815,1085,1740,575,765,5705
      Norwegian,10,15,60,15,50,105,60,65,310
      Swedish,45,20,15,45,30,30,25,75,210
      Yiddish,0,0,0,0,0,40,0,0,35
      Bosnian,10,0,50,120,50,0,60,70,290
      Bulgarian,40,0,25,0,20,30,0,40,110
      Croatian,50,45,105,130,125,150,130,185,740
      Czech,10,65,90,95,65,115,55,60,485
      Macedonian,0,0,0,0,0,0,0,0,10
      Polish,340,60,325,680,420,285,315,650,2430
      Russian,100,40,55,170,130,235,140,245,870
      Serbian,25,50,0,105,60,275,25,50,545
      Serbo-Croatian,10,0,0,0,15,60,20,30,105
      Slovak,40,40,30,60,60,20,75,115,340
      Slovenian,10,0,15,0,25,25,10,15,80
      Ukrainian,95,140,195,155,215,320,200,295,1325
      Latvian,0,0,0,0,0,10,0,0,20
      Lithuanian,0,20,0,0,0,15,0,0,35
      Estonian,0,25,10,10,15,60,0,0,105
      Finnish,15,30,25,85,65,75,50,65,345
      Hungarian,125,45,90,225,110,105,195,315,895
      Greek,15,70,110,100,30,70,65,85,470
      Armenian,0,25,0,35,10,0,10,0,80
      Turkish,15,0,35,0,50,35,0,10,150
      Amharic,30,0,10,25,10,0,0,30,75
      Arabic,110,10,405,540,505,35,250,360,1845
      Hebrew,0,0,0,0,10,15,0,0,20
      Maltese,0,0,0,0,10,0,0,0,15
      Somali,70,0,0,95,245,0,10,75,420
      Tigrigna,45,0,0,0,10,0,0,45,50
      Bengali,0,0,45,50,75,0,85,80,255
      Gujarati,30,20,90,55,430,110,130,160,870
      Hindi,480,190,1320,670,5000,35,3900,4385,11605
      Kurdish,10,0,0,0,0,0,0,10,20
      Panjabi (Punjabi),805,1975,9045,2465,38925,1005,18680,19485,72900
      Pashto,0,0,10,0,195,0,30,30,240
      Persian (Farsi),75,45,170,255,465,75,290,370,1385
      Sindhi,0,10,0,20,85,0,20,20,140
      Sinhala (Sinhalese),0,0,50,115,55,0,30,30,265
      Urdu,135,25,455,175,1985,40,770,910,3590
      Malayalam,10,10,75,60,60,0,60,70,275
      Tamil,25,0,265,60,165,10,105,125,620
      Telugu,0,0,0,30,60,0,15,25,120
      Japanese,35,60,130,170,110,210,155,190,875
      Korean,485,460,1555,3495,265,885,160,645,7305
      Cantonese,320,100,860,610,880,160,365,675,3295
"      Chinese, n.o.s.",500,285,1045,1995,620,745,830,1335,6020
      Mandarin,325,275,970,2390,770,880,260,580,5865
      Taiwanese,0,20,130,330,145,70,65,65,755
      Lao,15,0,175,45,15,0,55,70,305
      Khmer (Cambodian),10,45,115,90,150,0,110,120,515
      Vietnamese,475,275,1655,1245,935,40,920,1395,5545
      Bisayan languages,35,25,40,100,205,25,45,80,470
      Ilocano,55,0,95,115,85,40,130,180,520
      Malay,25,25,40,65,45,115,15,40,330
"      Tagalog (Pilipino, Filipino)",720,245,1580,2760,1890,255,2410,3135,9860
      Akan (Twi),30,0,10,15,35,10,0,30,100
      Swahili,20,0,0,0,0,0,40,65,80
      Creoles,15,0,0,45,0,0,0,15,70
      Other languages,305,185,280,580,535,290,945,1250,3115
  Multiple responses,340,520,1315,1245,3005,490,2025,2365,8950
    English and French,10,20,130,115,85,90,60,65,510
    English and non-official language,340,495,1145,1075,2870,380,1910,2240,8205
    French and non-official language,0,10,30,40,25,15,25,25,140
"    English, French and non-official language",0,0,10,10,25,15,35,30,90
Total population by knowledge of official languages,17325,37710,50795,51655,109475,59935,65560,82880,392450
  English only,15790,34930,46060,46695,94450,54585,57845,73635,350360
  French only,10,0,50,15,45,20,60,70,205
  English and French,935,2235,2095,2590,5065,4810,2680,3615,20405
  Neither English nor French,585,545,2590,2355,9915,520,4975,5560,21480
Total population by first official language spoken,17325,37705,50795,51655,109475,59935,65560,82885,392450
  English,16425,36705,47545,48655,98335,58670,59755,76180,366090
  French,220,350,330,380,805,565,420,640,3070
  English and French,95,150,375,335,645,185,525,610,2305
  Neither English nor French,585,500,2550,2285,9690,515,4870,5455,20990
Total population by language spoken most often at home,17320,37705,50795,51655,109475,59935,65560,82880,392450
  Single responses,16770,37090,48470,49520,103310,59465,61540,78305,376170
    English,11990,33955,33245,34040,60240,54645,37690,49675,265795
    French,85,90,95,105,220,155,155,235,895
    Non-official languages,4690,3040,15135,15380,42845,4675,23695,28395,109470
      Algonquin,0,0,0,0,0,0,0,0,0
      Atikamekw,0,0,0,0,0,0,0,0,0
      Blackfoot,0,0,0,0,0,0,0,0,0
      Carrier,0,0,0,0,0,0,0,0,0
      Chilcotin,0,0,0,0,0,0,0,0,0
      Chipewyan,0,0,0,0,0,0,0,0,0
      Cree,0,0,0,0,0,0,0,0,0
      Siouan languages (Dakota/Sioux),0,0,0,0,0,0,0,0,0
      Dene,0,0,0,0,0,0,0,0,0
      Dogrib,0,0,0,0,0,0,0,0,0
      Gitksan,0,0,0,0,0,0,0,0,0
      Inuinnaqtun,0,0,0,0,0,0,0,0,0
"      Inuktitut, n.i.e.",0,0,0,0,0,0,0,0,0
      Kutchin-Gwich'in (Loucheux),0,0,0,0,0,0,0,0,0
      Malecite,0,0,0,0,0,0,0,0,0
      Mi'kmaq,0,0,0,0,0,0,0,0,0
      Mohawk,0,0,0,0,0,0,0,0,0
      Montagnais-Naskapi,0,0,0,0,0,0,0,0,0
      Nisga'a,0,0,0,0,0,0,0,0,0
      North Slave (Hare),0,0,0,0,0,0,0,0,0
      Ojibway,0,0,0,0,0,0,0,0,0
      Oji-Cree,0,0,0,0,0,0,0,0,0
      Shuswap,0,0,0,0,0,0,0,0,0
      South Slave,0,0,0,0,0,0,0,0,0
      Tlingit,0,0,0,0,0,0,0,0,0
      Italian,10,60,85,55,50,20,25,30,295
      Portuguese,0,20,130,95,75,35,90,90,450
      Romanian,10,20,0,80,10,20,15,25,165
      Spanish,250,95,230,420,440,125,550,800,2100
      Danish,0,0,15,0,0,20,15,15,50
      Dutch,0,0,0,10,10,40,45,45,100
      Flemish,0,0,0,0,0,0,0,0,0
      Frisian,0,0,0,0,0,30,0,0,35
      German,35,25,70,85,105,175,35,70,530
      Norwegian,0,0,0,0,0,10,0,0,10
      Swedish,0,0,0,0,0,0,0,0,10
      Yiddish,0,0,0,0,0,40,0,0,40
      Bosnian,0,0,65,100,30,0,10,10,205
      Bulgarian,45,0,20,0,0,10,0,40,70
