,BRITISH_COLUMBIA,CITY_OF_SURREY,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY_INCLUDING_CITY_CENTRE
Total population in private households by citizenship,4324460,463340,22185,54155,58190,58285,131800,67355,71370,93555
  Canadian citizens,3975535,408130,18465,51215,51270,50365,112330,62840,61650,80110
    Canadian citizens aged under 18,794250,100900,3385,13150,12500,11865,31120,12495,16390,19775
    Canadian citizens aged 18 and over,3181280,307230,15080,38065,38770,38505,81210,50345,45260,60340
  Not Canadian citizens,348925,55210,3715,2945,6925,7915,19465,4520,9725,13440
  Males in private households by citizenship,2125625,229805,11275,26760,28785,28870,65490,32230,36400,47670
    Canadian citizens,1963890,203700,9395,25450,25520,25205,56150,30265,31715,41115
      Canadian citizens aged under 18,411585,52570,1535,6870,6730,6195,16170,6340,8730,10265
      Canadian citizens aged 18 and over,1552300,151125,7860,18580,18790,19005,39985,23920,22985,30850
    Not Canadian citizens,161735,26105,1880,1310,3265,3665,9340,1965,4685,6560
  Females in private households by citizenship,2198830,233530,10910,27400,29405,29410,66310,35125,34970,45885
    Canadian citizens,2011645,204425,9070,25765,25750,25160,56180,32570,29930,39000
      Canadian citizens aged under 18,382665,48330,1855,6275,5770,5665,14955,6150,7655,9515
      Canadian citizens aged 18 and over,1628980,156100,7220,19485,19975,19500,41225,26420,22275,29490
    Not Canadian citizens,187185,29105,1840,1635,3655,4245,10125,2555,5035,6880
Total population in private households by immigrant status and period of immigration,4324455,463340,22180,54160,58190,58280,131800,67360,71370,93555
  Non-immigrants,3067585,270735,12440,42810,31460,30815,67110,49195,36905,49350
  Immigrants,1191875,187840,9005,10970,26035,26620,63685,17705,33825,42825
    Before 1971,223215,17760,775,1820,2215,2165,3735,5060,1985,2765
    1971 to 1980,161335,21595,675,1615,3435,2580,7330,2595,3370,4050
    1981 to 1990,156445,25660,980,1530,4180,3450,8515,1670,5330,6310
    1991 to 2000,305650,55865,2310,2975,7710,8180,20215,3295,11170,13480
    2001 to 2011,345220,66965,4255,3035,8490,10245,23900,5085,11965,16215
      2001 to 2005,160105,32090,1765,1415,4320,4820,11630,2305,5825,7595
      2006 to 2011,185115,34875,2490,1615,4165,5425,12270,2780,6135,8625
  Non-permanent residents,64995,4760,740,380,700,845,1005,460,645,1375
  Males in private households by immigrant status and period of immigration,2125625,229810,11270,26760,28785,28870,65490,32230,36400,47670
    Non-immigrants,1533255,137085,6540,21155,15870,15725,34150,23855,19795,26340
    Immigrants,561485,90490,4345,5445,12580,12795,30790,8210,16330,20670
      Before 1971,109510,9070,340,1075,1090,1125,2005,2460,975,1310
      1971 to 1980,76865,10395,330,810,1675,1320,3420,1180,1665,1995
