,,,"City of Surrey, BC",Surrey,Surrey,"Greater Vancouver, Regional district , BC",GVRD,GVRD,British Columbia [Province],BC,BC
Topic,Characteristics,Note,Total,Male,Female,Total,Male,Female,Total,Male,Female
Population and dwellings,Population; 2016,1,517887,,,2463431,,,4648055,,
Population and dwellings,Population; 2011,1,468251,,,2313328,,,4400057,,
Population and dwellings,Population percentage change; 2011 to 2016,,10.6,,,6.5,,,5.6,,
Population and dwellings,Total private dwellings,2,181159,,,1027613,,,2063417,,
Population and dwellings,Private dwellings occupied by usual residents,3,169964,,,960894,,,1881969,,
Population and dwellings,Population density per square kilometre,,1636.8,,,854.6,,,5,,
Population and dwellings,Land area in square kilometres,,316.41,,,2882.68,,,922503.01,,
Age characteristics,Total - Age groups and average age of the population - 100% data,4,517885,256400,261485,2463430,1202175,1261255,4648055,2278245,2369815
Age characteristics,  0 to 14 years,,92550,47860,44680,362110,186780,175330,691390,355400,335985
Age characteristics,    0 to 4 years,,29090,15010,14085,116270,60045,56220,220625,113355,107275
Age characteristics,    5 to 9 years,,32055,16675,15380,122730,63390,59345,236900,122070,114830
Age characteristics,    10 to 14 years,,31400,16180,15220,123110,63340,59765,233860,119975,113885
Age characteristics,  15 to 64 years,,352350,174490,177860,1714005,838860,875145,3107680,1527280,1580400
Age characteristics,    15 to 19 years,,34330,17880,16455,142280,73180,69100,258980,133000,125985
Age characteristics,    20 to 24 years,,35075,18445,16630,167270,85385,81890,287560,147615,139945
Age characteristics,    25 to 29 years,,33770,16820,16950,179940,89305,90635,303000,151585,151415
Age characteristics,    30 to 34 years,,36540,17715,18825,182630,89925,92705,313750,155035,158715
Age characteristics,    35 to 39 years,,36040,17265,18775,167950,81090,86860,293590,143070,150520
Age characteristics,    40 to 44 years,,36325,17350,18975,168370,79445,88930,295045,141930,153115
Age characteristics,    45 to 49 years,,37195,18135,19060,184285,87850,96440,322365,155325,167040
Age characteristics,    50 to 54 years,,38020,18960,19060,191375,93230,98140,354375,172065,182310
Age characteristics,    55 to 59 years,,34785,17180,17605,177095,85595,91505,354925,171210,183715
Age characteristics,    60 to 64 years,,30265,14735,15530,152805,73865,78940,324095,156450,167645
Age characteristics,  65 years and over,,72990,34045,38940,387315,176530,210780,848985,395560,453425
Age characteristics,    65 to 69 years,,25545,12325,13220,131035,62615,68420,287520,139490,148035
Age characteristics,    70 to 74 years,,17970,8610,9350,89675,42495,47180,201785,97675,104110
Age characteristics,    75 to 79 years,,12560,5945,6620,66510,30605,35905,145225,68715,76510
Age characteristics,    80 to 84 years,,8470,3920,4550,48820,21960,26860,105255,48645,56610
Age characteristics,    85 years and over,,8445,3240,5200,51280,18860,32420,109190,41035,68155
Age characteristics,      85 to 89 years,,5275,2230,3040,31475,12740,18735,67510,27930,39575
Age characteristics,      90 to 94 years,,2360,785,1575,14875,4905,9965,31815,10615,21205
Age characteristics,      95 to 99 years,,680,175,500,4195,1055,3140,8545,2215,6330
Age characteristics,      100 years and over,,130,45,85,740,155,580,1325,275,1050
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,100,100,100,100,100,100,100,100
Age characteristics,  0 to 14 years,,17.9,18.7,17.1,14.7,15.5,13.9,14.9,15.6,14.2
Age characteristics,  15 to 64 years,,68,68.1,68,69.6,69.8,69.4,66.9,67,66.7
Age characteristics,  65 years and over,,14.1,13.3,14.9,15.7,14.7,16.7,18.3,17.4,19.1
Age characteristics,    85 years and over,,1.6,1.3,2,2.1,1.6,2.6,2.3,1.8,2.9
Age characteristics,Average age of the population,,39,38.2,39.8,41,40.1,41.9,42.3,41.5,43.1
Age characteristics,Median age of the population,,38.7,37.7,39.6,40.9,39.7,42,43,41.9,44
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,5,169965,,,960895,,,1881970,,
Household and dwelling characteristics,  Single-detached house,,60195,,,282355,,,830660,,
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,6055,,,160060,,,177830,,
Household and dwelling characteristics,  Other attached dwelling,6,102375,,,513900,,,824190,,
Household and dwelling characteristics,    Semi-detached house,,3495,,,20530,,,57395,,
Household and dwelling characteristics,    Row house,,26630,,,93415,,,147830,,
Household and dwelling characteristics,    Apartment or flat in a duplex,,37535,,,156445,,,230075,,
Household and dwelling characteristics,    Apartment in a building that has fewer than five storeys,,34560,,,242205,,,385140,,
Household and dwelling characteristics,    Other single-attached house,,160,,,1305,,,3755,,
Household and dwelling characteristics,  Movable dwelling,7,1345,,,4580,,,49290,,
Household and dwelling characteristics,Total - Private households by household size - 100% data,8,169965,,,960895,,,1881970,,
Household and dwelling characteristics,  1 person,,34515,,,275455,,,541910,,
Household and dwelling characteristics,  2 persons,,47115,,,300170,,,663770,,
Household and dwelling characteristics,  3 persons,,28225,,,153090,,,277690,,
Household and dwelling characteristics,  4 persons,,30595,,,139175,,,243125,,
Household and dwelling characteristics,  5 or more persons,,29510,,,93005,,,155470,,
Household and dwelling characteristics,Number of persons in private households,,511540,,,2426235,,,4560240,,
Household and dwelling characteristics,Average household size,,3,,,2.5,,,2.4,,
Marital status,Total - Marital status for the population aged 15 years and over - 100% data,9,425340,208540,216800,2101315,1015395,1085925,3956665,1922840,2033825
Marital status,  Married or living common law,,255680,127605,128075,1193125,594180,598940,2297325,1146175,1151150
Marital status,    Married,,232650,116095,116550,1033885,513725,520160,1925345,959690,965645
Marital status,    Living common law,,23030,11510,11525,159240,80455,78780,371985,186485,185505
Marital status,  Not married and not living common law,,169660,80930,88725,908195,421215,486980,1659335,776660,882675
Marital status,    Never married,,116675,63800,52870,629040,334130,294905,1076085,582975,493110
Marital status,    Separated,,10195,4215,5985,50130,20265,29860,105700,45225,60475
Marital status,    Divorced,,21845,8650,13200,128045,47280,80765,263870,103475,160395
Marital status,    Widowed,,20945,4265,16680,100985,19540,81445,213685,44990,168700
Family characteristics,Total - Census families in private households by family size - 100% data,10,144495,,,679365,,,1311340,,
Family characteristics,  2 persons,,61060,,,327260,,,703685,,
Family characteristics,  3 persons,,32880,,,158785,,,275965,,
Family characteristics,  4 persons,,35880,,,145805,,,243960,,
Family characteristics,  5 or more persons,,14680,,,47510,,,87730,,
Family characteristics,Average size of census families,,3.1,,,2.9,,,2.8,,
Family characteristics,Total number of census families in private households - 100% data,11,144500,,,679365,,,1311345,,
Family characteristics,  Total couple families,,122895,,,574670,,,1113405,,
Family characteristics,    Married couples,,111380,,,495065,,,927440,,
Family characteristics,    Common-law couples,,11515,,,79610,,,185960,,
Family characteristics,  Total lone-parent families by sex of parent,,21605,,,104695,,,197940,,
Family characteristics,    Female parent,,17335,,,84740,,,155670,,
Family characteristics,    Male parent,,4270,,,19955,,,42265,,
Family characteristics,Total - Couple census families in private households - 100% data,,122895,,,574670,,,1113400,,
Family characteristics,  Couples without children,,48180,,,260290,,,577790,,
Family characteristics,  Couples with children,,74715,,,314380,,,535610,,
Family characteristics,    1 child,,26570,,,129480,,,221065,,
Family characteristics,    2 children,,34060,,,139080,,,230705,,
Family characteristics,    3 or more children,,14090,,,45815,,,83840,,
Family characteristics,Total - Lone-parent census families in private households - 100% data,,21600,,,104695,,,197940,,
Family characteristics,  1 child,,12880,,,66975,,,125890,,
Family characteristics,  2 children,,6315,,,29305,,,54900,,
Family characteristics,  3 or more children,,2405,,,8420,,,17145,,
Family characteristics,Total - Persons not in census families in private households - 100% data,,69550,33260,36290,462125,214705,247420,882895,418495,464405
Household type,Total - Private households by household type - 100% data,12,169965,,,960895,,,1881970,,
Household type,  One-census-family households,,115660,,,600775,,,1195735,,
Household type,    Without children in a census family,13,36060,,,226490,,,527700,,
Household type,    With children in a census family,14,79605,,,374290,,,668035,,
Household type,  Multiple-census-family households,,13545,,,37595,,,55620,,
Household type,  Non-census-family households,,40755,,,322525,,,630620,,
Household type,    One-person households,,34515,,,275455,,,541915,,
Household type,    Two-or-more person non-census-family households,,6240,,,47065,,,88705,,
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,15,513405,254160,259245,2440145,1191670,1248470,4598415,2255395,2343015
Knowledge of official languages,  English only,,456620,229945,226665,2130565,1058310,1072260,4127770,2050130,2077645
Knowledge of official languages,  French only,,245,130,115,1110,530,580,1810,820,985
Knowledge of official languages,  English and French,,23055,10345,12710,172140,76650,95500,314925,140650,174275
Knowledge of official languages,  Neither English nor French,,33480,13725,19750,136320,56185,80135,153910,63795,90115
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,16,513400,254160,259245,2440145,1191670,1248470,4598415,2255395,2343020
First official language spoken,  English,,473985,237530,236455,2265310,1116840,1148470,4373330,2156680,2216655
First official language spoken,  French,,3640,1815,1825,25710,12825,12875,55325,27680,27640
First official language spoken,  English and French,,2690,1270,1420,14470,6635,7835,18000,8315,9685
First official language spoken,  Neither English nor French,,33080,13535,19545,134655,55370,79285,151760,62720,89040
First official language spoken,Official language minority (number),17,4990,2455,2535,32940,16145,16795,64325,31840,32480
First official language spoken,Official language minority (percentage),17,1,1,1,1.3,1.4,1.3,1.4,1.4,1.4
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,18,513400,254155,259245,2440145,1191675,1248470,4598415,2255400,2343015
Mother tongue,  Single responses,,491865,243460,248410,2361890,1153910,1207980,4494995,2205775,2289220
Mother tongue,    Official languages,,251165,126945,124220,1341640,678670,662970,3227535,1614375,1613160
Mother tongue,      English,,247685,125210,122475,1316640,666170,650470,3170110,1585760,1584355
Mother tongue,      French,,3475,1735,1745,25005,12505,12500,57425,28615,28810
Mother tongue,    Non-official languages,,240700,116510,124190,1020250,475240,545015,1267460,591400,676060
Mother tongue,      Aboriginal languages,,105,30,75,860,390,470,8435,3940,4490
Mother tongue,        Algonquian languages,,50,15,40,315,135,180,1050,445,605
Mother tongue,          Blackfoot,,5,0,5,25,0,20,40,5,35
Mother tongue,          Cree-Montagnais languages,,30,10,20,220,105,115,840,375,465
Mother tongue,            Atikamekw,,0,0,0,0,0,0,0,0,0
Mother tongue,            Montagnais (Innu),,0,0,0,0,0,0,0,0,0
Mother tongue,            Moose Cree,,0,0,0,5,5,0,5,5,0
Mother tongue,            Naskapi,,0,0,0,0,0,0,0,0,0
Mother tongue,            Northern East Cree,,0,0,0,0,0,0,10,0,10
Mother tongue,            Plains Cree,,5,0,10,40,15,25,150,60,85
Mother tongue,            Southern East Cree,,0,0,0,0,0,0,0,0,0
Mother tongue,            Swampy Cree,,0,0,5,15,10,5,25,15,10
Mother tongue,            Woods Cree,,0,0,0,20,15,10,60,25,35
Mother tongue,            Cree; n.o.s.,,20,10,10,145,70,80,585,270,320
Mother tongue,          Eastern Algonquian languages,,0,0,0,0,0,0,10,5,10
Mother tongue,            Malecite,,0,0,0,0,0,0,5,0,0
