BUSINESS_NAME,PRODUCTS_OR_SERVICES,UNIT,HOUSE_NUMBER,ROAD,POSTAL_CODE,PHONE,EMPLOYEES,TOWN_CENTRE,BUSINESS_LICENCE_APPLICATION_TYPE,YEAR,LONGITUDE,LATITUDE
# 2 Happy Hair Cut Beauty Salon,Hair Salon/Barber,0,13753,72 Ave,V3W2P2,6045977766,1,NTC,Commercial/Industrial,2011,-122.84061,49.13367
#1 Happy Hair,Hairdressing,7,7548,120 St,V3W3N1,6045434057,2,NTC,Commercial/Industrial,2011,-122.89022,49.14015
#1 Impex Canada Ltd,Wholesaler,101,12815,85 Ave,V3W0K8,6045946862,1,NTC,Commercial/Industrial,2011,-122.86755,49.15752
#1 Nails,Esthetician,104,18408,64 Ave,V3S1E9,6045758037,5,CTC,Commercial/Industrial,2011,-122.71224,49.11866
#1 Sub Garden Ltd,Restaurant - Deli Take Out,0,13482,72 Ave,V3W2N8,6045729311,2,NTC,Commercial/Industrial,2011,-122.84829,49.13349
#2 Bear Creek Coin Laundry & Tanning,"Laundromat,Tanning Salon",0,13578,88 Ave,V3W3K8,6045988779,1,NTC,Commercial/Industrial,2011,-122.84641,49.16266
#4 Happy Haircut & Beauty Parlour Ltd,Hairdressing,104,15955,Fraser Hwy,V4N0Y3,6045121749,1,FTC,Commercial/Industrial,2011,-122.78023,49.158
(Crossfit Renegade) Renegade Athletics,Recreational Facility,6,6468,King George Blvd,V3W4Z3,6045847457,1,NTC,Commercial/Industrial,2011,-122.84536,49.12023
0492549 BC Ltd,Equipment Leasing,201,3237,King George Blvd,V4P1B7,6049530909,1,SSTC,Commercial/Industrial,2011,-122.81279,49.06096
0793982 BC Ltd,Financial Planning/Consultant,218,7928,128 St,V3W4E8,6047210065,1,NTC,Commercial/Industrial,2011,-122.86781,49.14655
0802186 BC Ltd,Financial Planning/Consultant,0,7928,128 St,V3W4E8,6045982955,2,NTC,Commercial/Industrial,2011,-122.86781,49.14655
0819155 BC Ltd,Automotive Repair Service,0,12691,King George Blvd,V3V3K7,6048361831,1,WTC,Commercial/Industrial,2011,-122.8703,49.20634
0852483 BC Ltd,Whlse.,208,19049,54 Ave,V3S4R1,6045399969,1,CTC,Commercial/Industrial,2011,-122.69482,49.10087
0894916 B C Ltd,Assembling of residential doors & moulding,204,12779,80 Ave,V3W3A6,6045802114,5,NTC,Commercial/Industrial,2011,-122.86859,49.14826
0900706 BC Ltd,Apartment/Townhouse Rental,0,12730,66 Ave,V3W1P3,6045905920,1,NTC,Commercial/Industrial,2011,-122.86996,49.12278
0914534 B C Ltd,Automotive Repair Service,220,12451,82 Ave,V3W3E8,6047823556,1,NTC,Commercial/Industrial,2011,-122.87724,49.15209
