BUSINESS_NAME,PRODUCTS_OR_SERVICES,UNIT,HOUSE_NUMBER,ROAD,ADDRESS,POSTAL_CODE,PHONE,TOWN_CENTRE,BUSINESS_LICENCE_APPLICATION_TYPE,NAIC,NAIC_DESCRIPTION,SECTORS,LONGITUDE,LATITUDE
#1 Happy Hair,Hairdressing,7,7548,120 St,7548 120 St,V3W3N1,6045434057,NTC,Commercial/Industrial,812115,Beauty Salons,,-122.890216,49.140154
#1 Impex Canada Ltd,Wholesaler,101,12815,85 Ave,12815 85 Ave,V3W0K8,6045946862,NTC,Commercial/Industrial,418990,All Other Wholesaler-Distributors,,-122.867552,49.157524
#1 Impex Canada Ltd,Wholesaler,101,12815,85 Ave,12815 85 Ave,V3W0K8,6045946862,NTC,Commercial/Industrial,419199,Import and/or Export or Manufacturer's Agents,,-122.867552,49.157524
#1 Nails,Esthetician,104,18408,64 Ave,18408 64 Ave,V3S1E9,6045758037,CTC,Commercial/Industrial,812115,Beauty Salons,,-122.712244,49.118659
#1 Sub Garden Ltd,Restaurant - Deli Take Out,,13482,72 Ave,13482 72 Ave,V3W2N8,6045729311,NTC,Commercial/Industrial,722110,Restaurants,,-122.848291,49.133488
#2 Bear Creek Coin Laundry & Tanning,"Laundromat,Tanning Salon",B113,13578,88 Ave,13578 88 Ave,V3W3K8,6045988779,NTC,Commercial/Industrial,812190,Other Personal Care Services,,-122.846414,49.162662
#2 Bear Creek Coin Laundry & Tanning,"Laundromat,Tanning Salon",B113,13578,88 Ave,13578 88 Ave,V3W3K8,6045988779,NTC,Commercial/Industrial,812310,Coin-Operated Laundries & Dry Cleaners,,-122.846414,49.162662
#4 Happy Haircut & Beauty Parlour Ltd,Hairdressing,104,15955,Fraser Hwy,15955 Fraser Hwy,V4N0Y3,6045121749,FTC,Commercial/Industrial,812115,Beauty Salons,,-122.780228,49.158002
(Crossfit Renegade) Renegade Athletics,Recreational Facility,6,6468,King George Blvd,6468 King George Blvd,V3W4Z3,6047657457,NTC,Commercial/Industrial,713940,Fitness & Recreational Sports Centres,,-122.845357,49.120227
0492549 BC Ltd,Equipment Leasing,201,3237,King George Blvd,3237 King George Blvd,V4P1B7,6045413999,SSTC,Commercial/Industrial,532190,"Passenger Car & Truck, Utility Trailer & RV (Recreational Vehicle) Rental & Leasing",,-122.812792,49.060965
