BUSINESS_NAME,PRODUCTS_OR_SERVICES,UNIT,HOUSE_NUMBER,ROAD,SURREY_POSTAL_CODE,PHONE,EMPLOYEES,TOWN_CENTRE,NAIC,LONGITUDE,LATITUDE
S & R Sawmills Ltd,Mfg. - Sawmills & Custom Cutting,0,18887,98A Ave,V4N4E1,6048880022,425,GTC,321111,-122.6996837,49.18178409
Valley View Memorial Gardens,Cemetary,0,14644,72 Ave,V3S2E7,6045967196,44,NTC,812220,-122.8176721,49.13356487
Bekaert Canada Ltd,Manufacturers,0,11041,Elevator Rd,V3V2R8,6045815441,135,WTC,332619,-122.9153089,49.17823852
Reliance Foundry Co Ltd,Manufacturing,207,6450,148 St,V3S7G7,6045924333,11,NTC,333519,-122.8110741,49.11969649
Reliance Foundry Co Ltd,Manufacturing,207,6450,148 St,V3S7G7,6045924333,11,NTC,417230,-122.8110741,49.11969649
Roaths Pawn Shop Ltd,Pawn Shop,0,13573,King George Hwy,V3T2V1,6045844010,7,SCC,522299,-122.8460923,49.19973553
99 Nursery & Florist Inc,"Nursery & Florist, Giftware",0,9376,King George Hwy,V3V5W3,6045846555,22,WTC,444220,-122.8452823,49.17330682
99 Nursery & Florist Inc,"Nursery & Florist, Giftware",0,9376,King George Hwy,V3V5W3,6045846555,22,WTC,453220,-122.8452823,49.17330682
Cloverdale Paint Inc,Retail Merchants,0,6950,King George Blvd,V3W4Z1,6045961736,106,NTC,325510,-122.8451521,49.1293827
Cloverdale Paint Inc,Retail Merchants,0,6950,King George Blvd,V3W4Z1,6045961736,106,NTC,444120,-122.8451521,49.1293827
Venus Cleaners (176 St),Dry Cleaner (no coin operated machines),0,5758,176 St,V3S4C8,6045744355,2,CTC,812320,-122.7347778,49.10701898
P K Building Supply,"Lumber Yard, Building Supplies",0,18981,88 Ave,V4N3G5,6048820064,6,GTC,444130,-122.6978059,49.16299378
P K Building Supply,"Lumber Yard, Building Supplies",0,18981,88 Ave,V4N3G5,6048820064,6,GTC,444190,-122.6978059,49.16299378
Big O Tires,Retail Tires,0,13526,King George Hwy,V3T2T7,6045852388,2,SCC,441310,-122.8475402,49.20009016
Prime Collision Ltd,Auto Body Repair,0,14746,108A Ave,V3R1W8,6045852301,7,GTC,811121,-122.8138983,49.19948801
Budget Rent A Car Truck,Auto & Truck Rental Service,0,10305,King George Blvd,V3T2W6,6046687100,3,SCC,532190,-122.8457157,49.18996016
Cam Chain Co Ltd (128 St),Mfg. - Chains for Sawmill & Woodworking Machinery,0,8355,128 St,V3W4G1,6045991522,38,NTC,333210,-122.8682515,49.15429999
T J Glass Odyssey Inc,Auto Body Repair,0,13524,105 Ave,V3T1Z6,6045816313,4,SCC,811121,-122.8473822,49.19303844
Pharmasave 179,Retail Merchants - Drug Store,0,10654,King George Hwy,V3T2X3,6045814431,6,SCC,446110,-122.8449248,49.19613355
Pharmasave 179,Retail Merchants - Drug Store,0,10654,King George Hwy,V3T2X3,6045814431,6,SCC,446120,-122.8449248,49.19613355
Crescent Beach Marina Co  Ltd,Marina,0,12555,Crescent Rd,V4A2V4,6045389666,13,SSTC,487210,-122.8713307,49.05628747
Dryco Drywall Supplies Ltd,Building Supplies,0,8515,148 St,V3S3G5,6045915141,20,FTC,444130,-122.8126829,49.15761918
X L Ironworks Co,Mfg. & Inst. Structural Steel & Misc. Metals,0,12720,82 Ave,V3W3G1,6045961747,45,NTC,332999,-122.8699558,49.15135284
Cedar Hills Animal Hospital,Veterinary Serv.,0,12863,96 Ave,V3V6V9,6045837387,6,SCC,541940,-122.8653458,49.17730982
Hugh & McKinnon Realty Ltd,"Real Estate Office, Property Mgmt .",0,14007,16 Ave,V4A1P9,6045311909,50,SSTC,531210,-122.8339427,49.03143487
Hugh & McKinnon Realty Ltd,"Real Estate Office, Property Mgmt .",0,14007,16 Ave,V4A1P9,6045311909,50,SSTC,531310,-122.8339427,49.03143487
H Y Louie Co Ltd,"Whlse. Groceries,Vending Machine",0,13557,77 Ave,V3W6Y2,6045917227,6,NTC,413190,-122.8468663,49.14286316
Garaventa Canada Ltd,"Mfg. - Inclined Stair Lifts, Wheelchair Elevators & Aerial Tramways",0,7505,134A St,V3W7B3,6045940422,138,NTC,232550,-122.8504695,49.13902583
A & A Contract Customs Brokers,Customs Broker,101,120,176 St,V3S9S2,6045427264,75,SSTC,488519,-122.7349152,49.00430114
Black & Lee Formal Wear Ltd,"Sales/Rental of Fine Formal Wear,Music Practice,Nutrition",80,10330,152 St,V3R4G8,6045828860,2,GTC,448110,-122.8001306,49.19012695
Black & Lee Formal Wear Ltd,"Sales/Rental of Fine Formal Wear,Music Practice,Nutrition",80,10330,152 St,V3R4G8,6045828860,2,GTC,532220,-122.8001306,49.19012695
Kingdom Truck Accessories Ltd,Truck accessories sales,0,10324,Scott Rd,V3V4G1,6045843722,4,WTC,441310,-122.848899,49.191464
Art Knapp Plantland (King George Hwy),Retail - Nursery & Garden Products,0,4391,King George Hwy,V4P2J9,6045969201,48,SSTC,444220,-122.8209286,49.08170578
Jim Pattison Toyota,Automotive Service/Body Repair,0,15389,Guildford Dr,V3R0H9,6045972424,82,GTC,441110,-122.7950706,49.19677339
Jim Pattison Toyota,Automotive Service/Body Repair,0,15389,Guildford Dr,V3R0H9,6045972424,82,GTC,811111,-122.7950706,49.19677339
Jim Pattison Toyota,Automotive Service/Body Repair,0,15389,Guildford Dr,V3R0H9,6045972424,82,GTC,811121,-122.7950706,49.19677339
Southridge Building Supplies Ltd,Retail Merchant - Lumber,0,17444,No 10 (56 Ave) Hwy,V3S1C3,6045762113,50,CTC,444130,-122.739628,49.10367472
Southridge Building Supplies Ltd,Retail Merchant - Lumber,0,17444,No 10 (56 Ave) Hwy,V3S1C3,6045762113,50,CTC,454390,-122.739628,49.10367472
Prospera Credit Union,Credit Union,102,1688,152 St,V4A4N2,6045388200,12,SSTC,522130,-122.8008931,49.03243524
South Fraser Community Services Society,Apartment Rentals,0,10689,135A St,V3T4E3,6045898678,1,SCC,531111,-122.8471032,49.19690819
Solid Rock Steel Fabricating Co Ltd,Mfg. - Specializing in Structural Steel,0,17780,Daly Rd,V4N4M5,6045811151,30,GTC,332999,-122.7294162,49.18840879
David Hunter Garden Centres Inc,Retail - Nursery Supplies,0,15175,72 Ave,V3S2G3,6045902431,4,NTC,444220,-122.8019849,49.13387796
Hallmark Air Conditioning A Div. Of Ainsworth Inc,Heating Air Conditioning & Refrigeration,104,17741,65A Ave,V3S1Z8,6045761355,25,CTC,232520,-122.7310256,49.12132995
Sunnyside Evergreen Pharmacy,Retail Merchant - Drug Store,0,2397,King George Hwy,V4A5A4,6045364404,6,SSTC,446110,-122.7946148,49.04517332
Sunnyside Evergreen Pharmacy,Retail Merchant - Drug Store,0,2397,King George Hwy,V4A5A4,6045364404,6,SSTC,446120,-122.7946148,49.04517332
Canadian Tire Associate Store #622,Retail Hardware & Auto Accessories,0,3059,152 St,V4P3K1,6045424317,60,SSTC,452110,-122.8021014,49.0574412
Canadian Tire Associate Store #622,Retail Hardware & Auto Accessories,0,3059,152 St,V4P3K1,6045424317,60,SSTC,811111,-122.8021014,49.0574412
