BUSINESS_NAME,PRODUCTS_OR_SERVICES,UNIT,HOUSE_NUMBER,ROAD,SURREY_POSTAL_CODE,PHONE,EMPLOYEES,TOWN_CENTR,NAIC,NAIC_DESCRIPTION,LATITUDE,LONGITUDE
Cosmaceutical Research Lab Inc,Wholesale - Personal Care Products,,12920,84 Ave,V3W1K7,6045901373,50,NTC,414520,"Toiletries, Cosmetics & Sundries Wholesaler-Distributors",49.155183,-122.864940
Cole International,"Custom Broker,Vending Machine",201,17637,1 Ave,V3S9S1,6045381512,10,SSTC,488519,Other Freight Transportation Arrangement,49.004142,-122.733826
P C B Highway Sufference Warehouse,Trucking Serv.,155,17735,1 Ave,V3S9S1,6045381566,4,SSTC,484120,General Freight Trucking,49.004000,-122.731600
Pacific Group,"Custom Broker for Air, Ocean, Truck Freight & Wharf Housing",101,17637,1 Ave,V3S9S1,6045381566,100,SSTC,488519,Other Freight Transportation Arrangement,49.004142,-122.733826
Affiliated Custom Brokers Ltd,Brokerage,212,17637,1 Ave,V3S9S1,6045351141,3,SSTC,488519,Other Freight Transportation Arrangement,49.004142,-122.733826
World Wide Custom Brokers Ltd,Customs Broker,221,17637,1 Ave,V3S9S1,6045384763,2,SSTC,488519,Other Freight Transportation Arrangement,49.004142,-122.733826
FedEx Trade Networks Transport & Brokerage Canada Inc,Customs Brokers,214A,17637,1 Ave,V3S9S1,6045411990,3,SSTC,488519,Other Freight Transportation Arrangement,49.004142,-122.733826
Livingston International Inc,Customs Broker,165,17735,1 Ave,V3S9S1,6045381144,18,SSTC,488519,Other Freight Transportation Arrangement,49.004000,-122.731600
Sovereign Mangement Group Inc,General Business Office,101,17637,1 Ave,V3S9S1,6045381566,27,SSTC,488519,Other Freight Transportation Arrangement,49.004142,-122.733826
A B F Freight System BC Ltd,Trucking,174,17735,1 Ave,V3S9S1,6045420727,4,SSTC,484120,General Freight Trucking,49.004000,-122.731600
Direct Cash Armoured Car Inc,Customs Broker,135,17637,1 Ave,V3S9S1,6045385777,9,SSTC,488519,Other Freight Transportation Arrangement,49.004142,-122.733826
Carson Custom Brokers,Customs Broker,260,17735,1 Ave,V3S9S1,6045384966,50,SSTC,488519,Other Freight Transportation Arrangement,49.004000,-122.731600
Summit International Trade Services Inc,Customs Broker,203,17637,1 Ave,V3S9S1,6045388414,3,SSTC,488519,Other Freight Transportation Arrangement,49.004142,-122.733826
Derby Bar & Grill,Food Primary-Class B Dining Room,115,17637,1 Ave,V3S9S1,6045362878,17,SSTC,722110,Restaurants,49.004142,-122.733826
Russell A Farrow Ltd,Customs Broker Office,214,17637,1 Ave,V3S9S1,6045355220,1,SSTC,488519,Other Freight Transportation Arrangement,49.004142,-122.733826
North American Thoroughbred Horse Company,Administration Office,207,17637,1 Ave,V3S9S1,6045426640,15,SSTC,541611,Administrative Management & General Management Consulting Services,49.004142,-122.733826
Spady Transport Ltd,Transportation,,17735,1 Ave,V3S9S1,6045351825,15,SSTC,484120,General Freight Trucking,49.004000,-122.731600
Boston Pizza (100 Ave),Restaurant,,15125,100 Ave,V3R9P4,6045813600,70,GTC,722110,Restaurants,49.184408,-122.803407
Dr Martin R Aidelbaum Inc,Oral & Maxillofacial Surgeon,404,15127,100 Ave,V3R0N9,6045897000,5,GTC,621210,Offices of Dentists,49.185239,-122.803124
International Currency Exchange,Currency Exchange,,13635,100 Ave,V3T1H9,6045820088,2,SCC,523130,Commodity Contracts Dealing,49.184437,-122.844180
Fleetwood Physiotherapist Corporation,Professional Practitioner-Medical/Physiotherapy,100,15129,100 Ave,V3R9P4,6045815236,4,GTC,621340,"Offices of Physical, Occupational & Speech Therapists & Audiologists",49.184410,-122.802708
Dr Titchener Chiropractic Corporation,Professional Practitioner-Chiropractor,101,15127,100 Ave,V3R0N9,6045894555,3,GTC,621310,Offices of Chiropractors,49.185239,-122.803124
Little Tea House,Restaurant.,101G,15277,100 Ave,V3R8X2,6045883050,3,GTC,722110,Restaurants,49.184440,-122.798790
Co Operators Insurance Agencies,Insurance Agency,107,15277,100 Ave,V3R8X2,6045810471,10,GTC,524210,Insurance Agencies & Brokerages,49.184440,-122.798790
Remax 2000 Realty (100 Ave),Real Estate Serv.,103,15127,100 Ave,V3R0N9,6045832000,8,GTC,531210,Offices of Real Estate Agents & Brokers,49.185239,-122.803124
Brainchild Education Centre,Computer Knowledge Centre,116,15277,100 Ave,V3R8X2,6045812622,6,GTC,443120,Computer & Software Stores,49.184440,-122.798790
Brainchild Education Centre,Computer Knowledge Centre,116,15277,100 Ave,V3R8X2,6045812622,6,GTC,611420,Computer Training,49.184440,-122.798790
Taiwan Cold Noodle,Retail Sales - Noodles & Frozen Foods,101H,15277,100 Ave,V3R8X2,7788810060,2,GTC,445299,All Other Specialty Food Stores,49.184440,-122.798790
Izumo Sushi Japanese Restaurant,Restaurant,,13631,100 Ave,V3T1H9,6045893405,8,SCC,722110,Restaurants,49.184437,-122.844285
Kwan Kee Noodle House,Food Court Restaurant,101D,15277,100 Ave,V3R8X2,6045882521,2,GTC,722110,Restaurants,49.184440,-122.798790
Abercromby Melnychuk Chartered Professional Accountants,Chartered Accountants,305,15127,100 Ave,V3R6Y8,6049519891,8,GTC,541212,Offices of Accountants,49.185239,-122.803124
Century Books,Retail Books & Magazines,101N,15277,100 Ave,V3R8X2,6045813471,1,GTC,451210,Book Stores & News Dealers,49.184440,-122.798790
Caissie & Company,Professional Practitioner-Lawyer,205,15127,100 Ave,V3R0N9,6045867200,6,GTC,541110,Offices of Lawyers,49.185239,-122.803124
J Kim Tae Kwon Do,Martial Arts,117,15277,100 Ave,V3R8X2,6045841000,1,GTC,611620,Athletic Instruction,49.184440,-122.798790
Laborers International Union of North America,Union Organization,203,15127,100 Ave,V3R0N9,6049518877,3,GTC,813990,Other Membership Organizations,49.185239,-122.803124
Humberto & Lisa Guillen,Apartment/Townhouse Rental,,12991,100 Ave,V3T1G9,6045121479,2,SCC,531111,Lessors of Residential Buildings & Dwellings,49.184582,-122.862515
Star Mart Convenience Store,Dollar Store,,13647,100 Ave,V3T1H9,7783953355,2,SCC,452999,All Other Miscellaneous General Merchandise Stores,49.184492,-122.843963
Rodem Korea,Food Court Restaurant,101F,15277,100 Ave,V3R8X2,7786861103,2,GTC,722110,Restaurants,49.184440,-122.798790
20050618 Enterprises Ltd,Retail Chinese Herbs,101M,15277,100 Ave,V3R8X2,6045832338,4,GTC,446191,Food (Health) Supplement Stores,49.184440,-122.798790
Bao Wei Qun,Acupuncture,101M,15277,100 Ave,V3R8X2,6045832338,1,GTC,621360,Offices of Acupuncturists & Acupressurists,49.184440,-122.798790
Edward's Acupuncture Centre,Acupuncture,101L,15277,100 Ave,V3R8X2,6045818312,5,GTC,621360,Offices of Acupuncturists & Acupressurists,49.184440,-122.798790
Surrey Central Pizza Point Ltd,Restaurant - No Alcohol,,13651,100 Ave,V3T1H9,6045858886,4,SCC,722110,Restaurants,49.184431,-122.843913
Chans Kitchen,Restaurant - No Alcohol,101B,15277,100 Ave,V3R8X2,7788858896,1,GTC,722110,Restaurants,49.184440,-122.798790
New Touch Beauty Hair Salon Inc,"Esthetician,Hair Salon/Barber",,13645,100 Ave,V3T1H9,6045801883,1,SCC,812114,Barber Shops,49.184434,-122.843990
New Touch Beauty Hair Salon Inc,"Esthetician,Hair Salon/Barber",,13645,100 Ave,V3T1H9,6045801883,1,SCC,812115,Beauty Salons,49.184434,-122.843990
Medisave Pharmacy #01,Retail Merchant - 0 to 2 Employees,102,15129,100 Ave,V3R9P4,6045814000,3,GTC,446110,Pharmacies & Drug Stores,49.184410,-122.802708
Dr A Morra Inc,Professional Practitioner - Orthodontist,405,15127,100 Ave,V3R0N9,6045851304,7,GTC,621210,Offices of Dentists,49.185239,-122.803124
Big C Sari Sari Store At I B A P A,"Currency exchange, groceries,Travel Agency",113,15277,100 Ave,V3R8X2,6049572873,4,GTC,445110,Supermarkets & Other Grocery (except Convenience) Stores,49.184440,-122.798790
Big C Sari Sari Store At I B A P A,"Currency exchange, groceries,Travel Agency",113,15277,100 Ave,V3R8X2,6049572873,4,GTC,523130,Commodity Contracts Dealing,49.184440,-122.798790
Big C Sari Sari Store At I B A P A,"Currency exchange, groceries,Travel Agency",113,15277,100 Ave,V3R8X2,6049572873,4,GTC,561510,Travel Agencies,49.184440,-122.798790
Impact Plaza Medical Centre,Professional Practitioner-Medical,109,15277,100 Ave,V3R8X2,6044965182,4,GTC,621110,Offices of Physicians,49.184440,-122.798790
Garcha Bro Meat Shop,Retail meat shop,,13643,100 Ave,V3T1H9,6045856100,2,SCC,445210,Meat Markets,49.184492,-122.844054
Dr J T Wang Inc,Professional Practitioner-Medical,109,15277,100 Ave,V3R8X2,6045888811,3,GTC,621110,Offices of Physicians,49.184440,-122.798790
M & M Meat Shops,Retail sale of frozen food products,111,15277,100 Ave,V3R8X2,6045881726,5,GTC,445299,All Other Specialty Food Stores,49.184440,-122.798790
Wilson Rasmussen LLP,Professional Practitioner-Lawyer,300,15127,100 Ave,V3R0N9,6045837917,9,GTC,541110,Offices of Lawyers,49.185239,-122.803124
Liang Inc Dr Garrick,Professional Practitioner-Dentist,402,15127,100 Ave,V3R0N9,7783957701,3,GTC,621210,Offices of Dentists,49.185239,-122.803124
Coast Wellness Centre,Massage Therapy (RMT),100,15129,100 Ave,V3R9P4,6045833553,1,GTC,621370,Offices of Massage Therapists,49.184410,-122.802708
Y L's Curry Bowl,Restaurant,101E,15277,100 Ave,V3R8X2,6049301155,5,GTC,722110,Restaurants,49.184440,-122.798790
More Gift Shop The,Retail Merchant - Gift Shop,101J,15277,100 Ave,V3R8X2,6045888228,1,GTC,453220,"Gift, Novelty & Souvenir Stores",49.184440,-122.798790
Monarch Pediatric Dental Centre Surrey,Dental Services,101,15129,100 Ave,V3R9P4,6045854980,10,GTC,621210,Offices of Dentists,49.184410,-122.802708
Dr. Mark F Casafrancisco Inc,Dentist,101,15129,100 Ave,V3R9P4,6045854980,1,GTC,621210,Offices of Dentists,49.184410,-122.802708
Dr Elsa Hui-Derksen Inc,Dentist,101,15129,100 Ave,V3R9P4,6045854980,1,GTC,621210,Offices of Dentists,49.184410,-122.802708
Dr Jennifer Yee Inc,Dentist,101,15129,100 Ave,V3R9P4,6045854980,1,GTC,621210,Offices of Dentists,49.184410,-122.802708
Dr. Peter Y K Chan Inc,Part-time Dentist,101,15129,100 Ave,V3R9P4,6045854980,1,GTC,621210,Offices of Dentists,49.184410,-122.802708
Dr John T W Hung Inc,Part-time Dentist,101,15129,100 Ave,V3R9P4,6045854980,1,GTC,621210,Offices of Dentists,49.184410,-122.802708
Fresh Blooms Flowers,Retail Merchant - Florist,101P,15277,100 Ave,V3R8X2,7789871636,1,GTC,453110,Florists,49.184440,-122.798790
Triple 8 Restaurant Ltd,Restaurant - No Alcohol,2,15138,100 Ave,V3R0J8,6045852559,5,GTC,722110,Restaurants,49.184007,-122.802573
Surrey North Delta Divison of Family Practice,Admin office,204,15127,100 Ave,V3R0N9,6044180946,2,GTC,541611,Administrative Management & General Management Consulting Services,49.185239,-122.803124
Sanhao BBQ Delight,Restaurant - No Alcohol,1,15138,100 Ave,V3R0J8,6044983288,50,GTC,722110,Restaurants,49.184007,-122.802573
Khanh Loc Deli & Sandwiches,Deli & Sandwiches at food court,101A,15277,100 Ave,V3R8X2,6045897572,3,GTC,722110,Restaurants,49.184440,-122.798790
Save On Dry Cleaners,Dry Cleaners,,13629,100 Ave,V3T1H9,6045803295,1,SCC,812320,Dry Cleaning & Laundry Services (Except Coin-Operated),49.184442,-122.844383
Lifesew Tailoring & Alterations,Tailor,,15277,100 Ave,V3R8X2,7788890595,1,GTC,315999,Dressmaking & Tailoring,49.184440,-122.798790
Grandfair Travel Ltd,Travel Agency,101K,15277,100 Ave,V3R8X2,6045826888,5,GTC,561510,Travel Agencies,49.184440,-122.798790
Arts Umbrella,Chartitable Society/Organization - Non-Profit Children's Art School,102,13678,100 Ave,V3T0H2,6045856996,12,SCC,813990,Other Membership Organizations,49.184060,-122.843796
Merchant Law Group LLP,Law Firm,303/,15127,100 Ave,V3R0N9,6046097777,5,GTC,541110,Offices of Lawyers,49.185239,-122.803124
Surrey Hearing Guildford Inc,Health Care Consultant,,15277,100 Ave,V3R8X2,6044963338,2,GTC,624190,Other Individual & Family Services,49.184440,-122.798790
Joe Lee,"Retail Merchant- Cell phone, accessories, home phone service, TV, Internet and Key Cutting",101Q,15277,100 Ave,V3R8X2,6049982777,1,GTC,443110,"Appliance, Television & Other Electronics Stores",49.184440,-122.798790
BDO Canada LLP,Professional Practitioner-Accountant,303,15127,100 Ave,V3R0N9,6044965080,10,GTC,541212,Offices of Accountants,49.185239,-122.803124
Sashimi & Sushi Express,Restaurant - No Alcohol,101C,15277,100 Ave,V3R8X2,6045841190,2,GTC,722512,Limited-service eating places,49.184440,-122.798790
9212426 Canada Ltd,Contractor - Hardscape/Landscape Installation Contractor,,13637,100 Ave,V3T1H9,6047195912,3,SCC,561730,Landscaping Services,49.184491,-122.844146
Dream Team Financial Solutions Inc,Insurance,,13625,100 Ave,V3T1H9,7785498854,10,,524210,Insurance Agencies & Brokerages,49.184494,-122.844386
Dr. Jonathan L.H. Hung Inc.,Professional Practitioner-Dentist,101,15129,100 Ave,V3R9P4,7789910106,2,GTC,621210,Offices of Dentists,49.184410,-122.802708
Greater Vancouver Education Group Inc,Consultant - Education Consultant,116,15277,100 Ave,V3R8X2,6045812622,3,GTC,6117,Educational support services,49.184440,-122.798790
