Business Name,Products or Services,Unit,Number,Street,Postal Code,Phone Number,Town Centre,NAIC,NAIC Description,No of Employees,Latitude,Longitude,,
Cosmaceutical Research Lab Inc,Wholesale - Personal Care Products,,12920,84 Ave,V3W1K7,6045901373,NTC,414520,"Toiletries, Cosmetics & Sundries Wholesaler-Distributors",50,49.15518305,-122.8649396,,
Cole International,"Custom Broker,Vending Machine",201,17637,1 Ave,V3S9S1,6045381512,SSTC,488519,Other Freight Transportation Arrangement,10,49.00418376,-122.7336964,,
Derby Bar & Grill,Food Primary-Class B Dining Room,115,17637,1 Ave,V3S9S1,6045362878,SSTC,722110,Restaurants,17,49.00418376,-122.7336964,,
Direct Cash Armoured Car Inc,Customs Broker,135,17637,1 Ave,V3S9S1,6045385777,SSTC,488519,Other Freight Transportation Arrangement,9,49.00418376,-122.7336964,,
FedEx Trade Networks Transport & Brokerage Canada Inc,Customs Brokers,214A,17637,1 Ave,V3S9S1,6045411990,SSTC,488519,Other Freight Transportation Arrangement,3,49.00418376,-122.7336964,,
North American Thoroughbred Horse Company,Administration Office,207,17637,1 Ave,V3S9S1,6045426640,SSTC,541611,Administrative Management & General Management Consulting Services,15,49.00418376,-122.7336964,,
Pacific Group,"Custom Broker for Air, Ocean, Truck Freight & Wharf Housing",101,17637,1 Ave,V3S9S1,6045381566,SSTC,488519,Other Freight Transportation Arrangement,100,49.00418376,-122.7336964,,
Russell A Farrow Ltd,Customs Broker Office,214,17637,1 Ave,V3S9S1,6045355220,SSTC,488519,Other Freight Transportation Arrangement,1,49.00418376,-122.7336964,,
Sovereign Mangement Group Inc,General Business Office,101,17637,1 Ave,V3S9S1,6045381566,SSTC,488519,Other Freight Transportation Arrangement,27,49.00418376,-122.7336964,,
Summit International Trade Services Inc,Customs Broker,203,17637,1 Ave,V3S9S1,6045388414,SSTC,488519,Other Freight Transportation Arrangement,3,49.00418376,-122.7336964,,
World Wide Custom Brokers Ltd,Customs Broker,221,17637,1 Ave,V3S9S1,6045384763,SSTC,488519,Other Freight Transportation Arrangement,2,49.00418376,-122.7336964,,
A B F Freight System BC Ltd,Trucking,174,17735,1 Ave,V3S9S1,6045420727,SSTC,484120,General Freight Trucking,4,49.00405593,-122.731587,,
Carson Custom Brokers,Customs Broker,260,17735,1 Ave,V3S9S1,6045384966,SSTC,488519,Other Freight Transportation Arrangement,50,49.00405593,-122.731587,,
Livingston International Inc,Customs Broker,165,17735,1 Ave,V3S9S1,6045381144,SSTC,488519,Other Freight Transportation Arrangement,18,49.00405593,-122.731587,,
