Business Name,Products or Services,Unit,Number,Street,Postal Code,Phone Number,No Of Employees,Town Centre,NAIC,NAIC Description,Latitude,Longitude
Cosmaceutical Research Lab Inc,Wholesale - Personal Care Products, ,12920, 84 Ave,V3W1K7,6045901373,50,NTC,414520,"Toiletries, Cosmetics & Sundries Wholesaler-Distributors",49.15518305,-122.8649396
Cole International,"Custom Broker,Vending Machine",201,17637,1 Ave,V3S9S1,6045381512,10,SSTC,488519,Other Freight Transportation Arrangement,49.00418376,-122.7336964
P C B Highway Sufference Warehouse,Trucking Serv.,155,17735,1 Ave,V3S9S1,6045381566,4,SSTC,484120,General Freight Trucking,49.00405593,-122.731587
Pacific Group,"Custom Broker for Air, Ocean, Truck Freight & Wharf Housing",101,17637,1 Ave,V3S9S1,6045381566,100,SSTC,488519,Other Freight Transportation Arrangement,49.00418376,-122.7336964
World Wide Custom Brokers Ltd,Customs Broker,221,17637,1 Ave,V3S9S1,6045384763,2,SSTC,488519,Other Freight Transportation Arrangement,49.00418376,-122.7336964
FedEx Trade Networks Transport & Brokerage Canada Inc,Customs Brokers,214A,17637,1 Ave,V3S9S1,6045411990,3,SSTC,488519,Other Freight Transportation Arrangement,49.00418376,-122.7336964
Livingston International Inc,Customs Broker,165,17735,1 Ave,V3S9S1,6045381144,18,SSTC,488519,Other Freight Transportation Arrangement,49.00405593,-122.731587
Sovereign Mangement Group Inc,General Business Office,101,17637,1 Ave,V3S9S1,6045381566,27,SSTC,488519,Other Freight Transportation Arrangement,49.00418376,-122.7336964
A B F Freight System BC Ltd,Trucking,174,17735,1 Ave,V3S9S1,6045420727,4,SSTC,484120,General Freight Trucking,49.00405593,-122.731587
Direct Cash Armoured Car Inc,Customs Broker,135,17637,1 Ave,V3S9S1,6045385777,9,SSTC,488519,Other Freight Transportation Arrangement,49.00418376,-122.7336964
Carson Custom Brokers,Customs Broker,260,17735,1 Ave,V3S9S1,6045384966,50,SSTC,488519,Other Freight Transportation Arrangement,49.00405593,-122.731587
Summit International Trade Services Inc,Customs Broker,203,17637,1 Ave,V3S9S1,6045388414,3,SSTC,488519,Other Freight Transportation Arrangement,49.00418376,-122.7336964
Derby Bar & Grill,Food Primary-Class B Dining Room,115,17637,1 Ave,V3S9S1,6045362878,17,SSTC,722110,Restaurants,49.00418376,-122.7336964
Russell A Farrow Ltd,Customs Broker Office,214,17637,1 Ave,V3S9S1,6045355220,1,SSTC,488519,Other Freight Transportation Arrangement,49.00418376,-122.7336964
North American Thoroughbred Horse Company,Administration Office,207,17637,1 Ave,V3S9S1,6045426640,15,SSTC,541611,Administrative Management & General Management Consulting Services,49.00418376,-122.7336964
Spady Transport Ltd,Transportation, ,17735,1 Ave,V3S9S1,6045351825,15,SSTC,484120,General Freight Trucking,49.00405593,-122.731587
Boston Pizza Guildford,Restaurant, ,15125,100 Ave,V3R9P4,6045813600,70,GTC,722110,Restaurants,49.18440821,-122.803407
Dr Martin R Aidelbaum Inc,Oral & Maxillofacial Surgeon,404,15127,100 Ave,V3R0N9,6045897000,5,GTC,621210,Offices of Dentists,49.18523907,-122.8031241
International Currency Exchange,Currency Exchange, ,13635,100 Ave,V3T1H9,6045820088,2,SCC,523130,Commodity Contracts Dealing,49.18443928,-122.844231
Fleetwood Sports & Rehab Physiotherapist Corporation,Professional Practitioner-Medical/Physiotherapy,100,15129,100 Ave,V3R9P4,6045815236,4,GTC,621340,"Offices of Physical, Occupational & Speech Therapists & Audiologists",49.18441016,-122.8027076
Dr Titchener Chiropractic Corporation,Professional Practitioner-Chiropractor,101,15127,100 Ave,V3R0N9,6045894555,3,GTC,621310,Offices of Chiropractors,49.18523907,-122.8031241
