TEMPEST_ACCOUNT_NO,HOUSE_NO,STREET,CRE_DATE,MOD_DATE,Latitude,Longitude
356844,12866,63B AVE,,,49.118159,-122.866129
356845,13111,60 AVE,,,49.112015,-122.858775
356846,6071,132 ST,,,49.113085,-122.856879
356849,6229,129 ST,,,49.115940,-122.865289
356852,13044,64 AVE,,,49.118860,-122.861123
356853,12836,63B AVE,,,49.118158,-122.866841
356854,6218,128A ST,,,49.115891,-122.866165
356857,12938,64 AVE,,,49.118918,-122.863983
356860,12886,64 AVE,,,49.118915,-122.865354
356861,12848,63B AVE,,,49.118163,-122.866529
356863,12877,63B AVE,,,49.118364,-122.866103
356864,6028,131 ST,,,49.112410,-122.858682
356869,12878,64 AVE,,,49.118919,-122.865583
356870,12869,63B AVE,,,49.118422,-122.866270
356875,6363,129A ST,,,49.118322,-122.863947
356877,12839,63B AVE,,,49.118383,-122.866800
356878,6246,128A ST,,,49.116296,-122.866164
356879,12862,64 AVE,,,49.118957,-122.866378
356880,6265,132 ST,,,49.116438,-122.856811
356886,12868,64 AVE,,,49.118956,-122.866107
356893,12817,63B AVE,,,49.118381,-122.867302
356895,6283,132 ST,,,49.116791,-122.856804
356898,6283,129 ST,,,49.116853,-122.865289
356905,6009,131 ST,,,49.112100,-122.859237
356906,6301,132 ST,,,49.117143,-122.856797
356907,6323,129A ST,,,49.117477,-122.863947
356910,6300,128A ST,,,49.116973,-122.866164
356913,6315,129A ST,,,49.117308,-122.863947
356915,12844,64 AVE,,,49.118952,-122.866921
356916,6308,128A ST,,,49.117108,-122.866164
356917,12974,64 AVE,,,49.118890,-122.863164
356919,12876,63A AVE,,,49.117503,-122.865828
356924,6384,129A ST,,,49.118518,-122.863453
356929,12865,63A AVE,,,49.117701,-122.866191
356931,6364,129A ST,,,49.118186,-122.863453
356936,6324,129A ST,,,49.117528,-122.863452
356937,6314,129A ST,,,49.117363,-122.863452
356938,6298,129A ST,,,49.117198,-122.863456
356940,6270,129A ST,,,49.116706,-122.863453
