GUID,Event Title,Teaser Text,Event Image,Event URL,Event Location,Event Location URL,Start Date,Start Time,Start Time Zone,End Date,End Time,End Time Zone,Categories__001,Categories__002,Categories__003,Categories__004,Categories__005
9fc74eb1-c06e-4a31-a1a8-87a5a92dc071,Pop-Up Junk Drop,Stay tuned for 2018 dates for another Pop Up Junk Drop.,https://www.surrey.ca/images/cos-master/pageImages/OperationsJunks.jpg,https://www.surrey.ca/city-services/20196.aspx,"Surrey Operations Centre Parking Lot, 6549 148 St",,22/07/2017,10:00,Canada/Pacific,NaN/NaN/NaN,23:59,Canada/Pacific,Community,Parks and Environment,Cloverdale,,
6d6f55ff-fb0b-43e8-be09-dc43129fde5a,"Thursday Artist Talk: Elizabeth Carefoot, ""The Art of the Altered Book""",Learn how about making an old or unwanted book into a work of visual art!,https://www.surrey.ca/images/cos-master/pageImages/ArtsCentre/ElizabethCarefootWeb.jpg,https://www.surrey.ca/culture-recreation/26116.aspx,"Surrey Art Gallery, 13750 88 Avenue",http://www.surrey.ca/culture-recreation/1619.aspx,5/04/2018,19:30,Canada/Pacific,5/04/2018,21:00,Canada/Pacific,Arts,Whalley,,,
b11a4318-c77d-488e-b67d-a1c30cc80478,Artist Talk and Spring Opening Reception ,Celebrate the opening of our spring exhibitions!,https://www.surrey.ca/images/cos-master/pageImages/ArtsCentre/OpeningReceptionWeb.jpg,https://www.surrey.ca/culture-recreation/26117.aspx,"Surrey Art Gallery, 13750 88 Avenue",http://www.surrey.ca/culture-recreation/1619.aspx,14/04/2018,18:30,Canada/Pacific,14/04/2018,21:00,Canada/Pacific,Arts,Whalley,,,
49addaa4-e15c-4d4c-98bd-0ce5fa84858e,Adjacentlands: Conversation on Contemporary Art,Learn about the changing nature of Canadian art and celebrate the launch of a new publication!,https://www.surrey.ca/images/cos-master/pageImages/ArtsCentre/AdjacentlandsWeb.jpg,https://www.surrey.ca/culture-recreation/26152.aspx,"Surrey Art Gallery, 13750 88 Avenue",http://www.surrey.ca/culture-recreation/1619.aspx,25/04/2018,18:30,Canada/Pacific,25/04/2018,21:00,Canada/Pacific,Arts,Whalley,,,
085fe08a-1d90-4834-b258-51598509fa34,"Thursday Artist Talk: Eve Lees, ""How to Use the News to Promote Your Art""",Catch the media's attention about your art!,https://www.surrey.ca/images/cos-master/pageImages/ArtsCentre/EveLeesWeb.jpg,https://www.surrey.ca/culture-recreation/26153.aspx,"Surrey Art Gallery, 13750 88 Avenue",http://www.surrey.ca/culture-recreation/1619.aspx,3/05/2018,19:30,Canada/Pacific,3/05/2018,21:00,Canada/Pacific,Arts,Whalley,,,
0949f349-221c-42af-b34e-ea8cb878a033,"Thursday Artist Talk: Emilie Mae, ""Palette Knife Adventures""",Learn how an abstract expressionist painter translates her personal experiences into art!,https://www.surrey.ca/images/cos-master/pageImages/ArtsCentre/EmilieMaeWeb.jpg,https://www.surrey.ca/culture-recreation/26155.aspx,"Surrey Art Gallery, 13750 88 Avenue",,7/06/2018,19:30,Canada/Pacific,7/06/2018,21:00,Canada/Pacific,Arts,Whalley,,,
10a9dd59-d281-4f02-bd9c-7e9fa9aaec71,Public Art Bus Tour,"Discover dynamic public art on a bus tour around Surrey, Vancouver, and North Vancouver!",https://www.surrey.ca/images/cos-master/pageImages/ArtsCentre/NebulaGarden.jpg,https://www.surrey.ca/culture-recreation/26162.aspx,"Surrey City Hall, 13450 104 Ave",http://www.surrey.ca/city-government/14172.aspx,26/06/2018,9:00,Canada/Pacific,26/06/2018,15:00,Canada/Pacific,Arts,City Centre,,,
80a08ae0-08d6-493f-8ff3-29a38717fc06,Exhibition Tour of Flow,Enjoy a free tour of the artwork in the exhibit Flow featuring work from our permanent collection.,https://www.surrey.ca/images/cos-master/pageImages/ArtsCentre/ExhibitionTour_web.jpg,https://www.surrey.ca/culture-recreation/26181.aspx,"Surrey Art Gallery, 13750 88 Avenue",http://www.surrey.ca/culture-recreation/1619.aspx,5/05/2018,14:30,Canada/Pacific,5/05/2018,16:00,Canada/Pacific,Arts,Whalley,,,
a8b7acf6-d8a5-4e33-9dc4-4ac09dc71f4c,Surrey Art Teachers Association Exhibition Reception,Celebrate the opening of the exhibition Praxis by the Surrey Art Teachers Association.,https://www.surrey.ca/images/cos-master/pageImages/ArtsCentre/TeachersOpeningWeb.jpg,https://www.surrey.ca/culture-recreation/26182.aspx,"Surrey Art Gallery, 13750 88 Avenue",http://www.surrey.ca/culture-recreation/1619.aspx,17/05/2018,18:00,Canada/Pacific,17/05/2018,19:30,Canada/Pacific,Arts,Whalley,,,
265931ad-18c4-4b5c-a372-1c158df9bb31,Artists Conversation with Jim Bizzocchi and Ben Bogart,Join artists Jim Bizzocchi and Ben Bogart for a conversation about their digital work on exhibit.,https://www.surrey.ca/images/cos-master/pageImages/ArtsCentre/ArtistsConversationWeb.jpg,https://www.surrey.ca/culture-recreation/26219.aspx,"Surrey Art Gallery, 13750 88 Avenue",,2/06/2018,14:30,Canada/Pacific,2/06/2018,16:00,Canada/Pacific,Arts,Whalley,,,
