CITY OF SURREY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN DATA 2015 YEAR TO DATE DEPARTMENT FINANCIAL INFORMATION - ACTUALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For the Period:  201500 - 201512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Funds: ´100´,´103´,´105´,´106´,´107´,´200´,´300´,´305´,´400´",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,REVENUES,,,,EXPENDITURES,,,,,,INTERNAL TRANSFERS,,,,,,,,,,,,,,,,,,,
,,,,Sales and,"Grants, Donations",,Salaries &,Operating,Internal Serv.,Internal Serv.,External,,Trsf from,Trsf to,,NET (SURPLUS),,,,,,,,,,,,,,,,
Fund,Department,Financial Plan Division,Taxation,Services,and Other,TOTAL,Benefits,Costs,Used,Recovered,Recoveries,TOTAL,Own Sources,Own Sources,TOTAL,EXPENDITURES,,,,,,,,,,,,,,,,
General Operating,Corporate,Corporate,"-290,753,111","-19,517,810","-34,126,462","-344,397,383","9,767","12,969,606","82,500","-10,017,000",0,"3,044,873","-43,889,181","109,375,380","65,486,199","-275,866,311",,,,,,,,,,,,,,,,
General Operating,Grants,MCG - City Grants,0,0,0,0,0,"1,775,972",0,0,0,"1,775,972","-500,000","221,028","-278,972","1,497,000",,,,,,,,,,,,,,,,
General Operating,Mayor & Council,MCG - Office of the Mayor,0,0,0,0,"771,384","146,114","3,370","-6,186","-3,792","910,890","-197,000",0,"-197,000","713,890",,,,,,,,,,,,,,,,
General Operating,Mayor & Council,MCG - Council,0,0,0,0,"591,431","72,436",35,0,"-1,578","662,324",0,0,0,"662,324",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Administration,0,-354,0,-354,"907,552","145,731","38,642","-203,545","-2,088","886,292",0,0,0,"885,938",,,,,,,,,,,,,,,,
General Operating,City Manager,IIR - Economic Development,0,0,"-87,350","-87,350","666,554","268,800","18,828","-13,446","-42,842","897,894","-20,000",0,"-20,000","790,544",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Legal Services,0,0,0,0,"1,824,912","249,731","4,301","-59,720","-15,085","2,004,139","-41,600",0,"-41,600","1,962,539",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Legislative Services,0,"-4,177",0,"-4,177","1,933,713","1,243,738","25,506","-69,812","-2,800","3,130,345",0,"144,000","144,000","3,270,168",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - By-law Services,0,"-1,071,008","-7,355,779","-8,426,787","4,277,513","2,081,557","657,165","-221,922","-316,159","6,478,154",0,"149,455","149,455","-1,799,178",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Public Safety,0,0,-508,-508,"220,626","82,405","10,179","-6,184","-54,610","252,416","-16,893","20,402","3,509","255,417",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Administration,0,0,0,0,"1,017,859","468,012","4,579","-218,157",-2,"1,272,291","-25,000","25,000",0,"1,272,291",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Employment,0,0,0,0,"779,460","95,708","1,444",0,-103,"876,509",0,0,0,"876,509",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Labour Relations/Compensation,0,0,0,0,"780,335","71,288","5,028",0,-703,"855,948",0,0,0,"855,948",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Occupational Safety,0,0,0,0,"490,488","113,582","1,825",0,-370,"605,525",0,0,0,"605,525",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Wellness & Diversity,0,0,-250,-250,"14,810","7,834","5,152",0,-365,"27,431",0,0,0,"27,181",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Audit Procurement,0,"-19,315",0,"-19,315","1,427,908","129,703","11,889","-14,236","-4,041","1,551,223",0,0,0,"1,531,908",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Financial Services,0,"-1,205,483","-93,264","-1,298,747","3,273,758","189,387","5,768","-269,736",-20,"3,199,157",0,0,0,"1,900,410",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Financial Reporting,0,"-33,020",0,"-33,020","1,428,557","50,080","13,144","-235,570","-21,354","1,234,857",0,0,0,"1,201,837",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Information Technology,0,0,0,0,"8,992,017","6,176,730","1,014,383","-1,341,427",-102,"14,841,601","-1,003,315","5,144,631","4,141,316","18,982,917",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Leadership,0,0,0,0,"1,478,922","100,890","25,166",0,"-3,494","1,601,484",0,0,0,"1,601,484",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Risk Management,0,0,0,0,"419,543","4,142,458","181,279","-950,915","-529,486","3,262,879","-1,590,879","10,000","-1,580,879","1,682,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Administration,0,"-144,660","-2,952","-147,612","3,007,897","570,203","16,197","-8,498","-3,910","3,581,889",0,"29,952","29,952","3,464,229",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Area Planning & Development,0,"-2,458,899","-266,139","-2,725,038","3,493,186","34,065","8,662",0,0,"3,535,913",0,"384,307","384,307","1,195,182",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Building,0,"-368,147","-17,573,624","-17,941,771","6,558,170","482,011","31,196","-172,741","-93,199","6,805,437","-65,000","1,296,528","1,231,528","-9,904,806",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Community Planning,0,0,0,0,"1,614,397","532,496","10,159","-3,729","-457,002","1,696,321",0,"143,807","143,807","1,840,128",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Facilities,0,-948,0,-948,"3,864,806","4,764,376","2,994,846","-3,309,564","-37,152","8,277,312","-639,360","360,999","-278,361","7,998,003",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Heritage Advisory Committee,0,0,"-5,000","-5,000",0,"78,238","24,348",0,0,"102,586","-92,042","17,455","-74,587","22,999",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Sustainability,0,0,0,0,"293,338","166,263","8,585","-10,000","-88,422","369,764","-105,100",0,"-105,100","264,664",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Administration,0,"-24,534",0,"-24,534","2,052,916","473,314","8,910",0,"-5,262","2,529,878",0,0,0,"2,505,344",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Emergency Planning,0,0,0,0,0,"42,529",699,0,"-6,164","37,064",0,0,0,"37,064",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Operations,0,76,0,76,"46,154,465","2,081,097","138,236","-8,274","-399,027","47,966,497",0,"2,038,710","2,038,710","50,005,283",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Mechanics,0,0,0,0,"518,473","488,061",259,0,"-51,615","955,178",0,0,0,"955,178",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Prevention,0,"-363,282","-5,964","-369,246","1,131,179","255,375","5,485",0,"-188,125","1,203,914",0,0,0,"834,668",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Radio & Communications,0,"-1,408,058",0,"-1,408,058","2,544,765","1,229,935",324,"-2,100","-70,185","3,702,739",0,0,0,"2,294,681",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Training,0,"-19,660",0,"-19,660","625,630","101,842",959,0,0,"728,431","-34,987",0,"-34,987","673,784",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Corporate Services,0,0,"-6,582,947","-6,582,947","3,422,265","2,170,764","129,045","-7,565","-681,293","5,033,216",0,"47,300","47,300","-1,502,431",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Information Services &Technology,0,"-346,555",0,"-346,555","7,670,425","4,967",0,0,"-54,493","7,620,899",0,0,0,"7,274,344",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Management & RCMP Finance,0,0,"-93,245","-93,245","1,160,327","63,054","186,870",0,0,"1,410,251","-46,489","93,245","46,756","1,363,762",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Operations,0,"-882,429","-369,189","-1,251,618","9,109,817","1,303,113","107,230","-13,307","-164,214","10,342,639",0,0,0,"9,091,021",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Contract,0,0,0,0,0,"107,732,029",0,0,"-312,646","107,419,383",0,"650,617","650,617","108,070,000",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Administration,0,"-63,495","-2,000","-65,495","2,418,762","1,287,544","235,899","-510,225","-9,668","3,422,312","-194,902","861,446","666,544","4,023,361",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Arenas,0,"-3,859,285","-4,392","-3,863,677","3,325,399","1,414,499","41,564","-59,110","-15,523","4,706,829","-36,323","50,000","13,677","856,829",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Art Centre,0,"-838,710","-460,770","-1,299,480","2,606,378","1,624,120","42,348","-10,530",0,"4,262,316","-369,869","104,840","-265,029","2,697,807",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Community Recreation Services,0,"-7,925,967","-418,375","-8,344,342","12,333,562","3,875,752","607,692","-358,056","-78,969","16,379,981","-252,747","57,000","-195,747","7,839,892",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Healthy Communities,0,"-40,529","-33,142","-73,671","1,377,530","211,749","104,221","-79,376","-39,053","1,575,071",0,0,0,"1,501,400",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Heritage Services,0,"-68,357","-97,585","-165,942","1,391,170","378,788","30,518",-694,0,"1,799,782",0,0,0,"1,633,840",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Indoor Pools,0,"-7,994,185","-43,374","-8,037,559","11,256,812","3,168,124","287,570","-162,414","-80,300","14,469,792","-23,000",0,"-23,000","6,409,233",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Marketing,0,"-55,345",0,"-55,345","1,226,949","763,545","4,222","-261,545","-14,341","1,718,830",0,"84,600","84,600","1,748,085",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Outdoor Pools,0,0,0,0,0,"912,873","6,437",0,0,"919,310",0,0,0,"919,310",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Parks Division,0,"-2,906,207","-2,178,865","-5,085,072","12,427,317","17,984,727","18,028,428","-17,062,155","-385,070","30,993,247","-4,760,881","1,620,469","-3,140,412","22,767,763",,,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Operations,0,"-7,909",0,"-7,909","22,262,449","5,219,010","4,073,593","-33,810,885","-236,554","-2,492,387",0,"1,754,200","1,754,200","-746,096",,,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Professional Services,0,"-25,207","-144,523","-169,730","6,792,330","403,801","1,401,932","-6,881,553","-12,087","1,704,423","-321,308","37,055","-284,253","1,250,440",,,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Land Development,0,"-4,470,324","-632,709","-5,103,033","3,043,734","1,428,499","3,183,781","-251,100","-2,816,735","4,588,179","-80,000",0,"-80,000","-594,854",,,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Realty Services,0,"-43,305","-1,639,998","-1,683,303","1,977,602","1,905,599","616,489","-2,148,195","-229,159","2,122,336","-139,481",0,"-139,481","299,552",,,,,,,,,,,,,,,,
