CITY OF SURREY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN DATA 2015 YEAR TO DATE DEPARTMENT FINANCIAL INFORMATION - OPERATIONAL BUDGETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For the Period:  201500 - 201512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Funds: ´100´,´103´,´105´,´106´,´107´,´200´,´300´,´305´,´400´",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,REVENUES,,,,EXPENDITURES,,,,,,INTERNAL TRANSFERS,,,,,,,,,,,,,,,,,,
,,,,Sales and,"Grants, Donations",,Salaries &,Operating,Internal Serv.,Internal Serv.,External,,Trsf from,Trsf to,,NET (SURPLUS),,,,,,,,,,,,,,,
Fund,Department,Financial Plan Division,Taxation,Services,and Other,TOTAL,Benefits,Costs,Used,Recovered,Recoveries,TOTAL,Own Sources,Own Sources,TOTAL,EXPENDITURES,,,,,,,,,,,,,,,
General Operating,Corporate,Corporate,"-294,514,000","-17,811,000","-30,807,000","-343,132,000",0,"13,545,100","2,292,000","-10,017,000",0,"5,820,100","-3,870,000","58,694,000","54,824,000","-282,487,900",,,,,,,,,,,,,,,
General Operating,Grants,MCG - City Grants,0,0,0,0,0,"1,497,000",0,0,0,"1,497,000",0,0,0,"1,497,000",,,,,,,,,,,,,,,
General Operating,Mayor & Council,MCG - Office of the Mayor,0,0,0,0,"600,500","115,500","2,000",0,0,"718,000",0,0,0,"718,000",,,,,,,,,,,,,,,
General Operating,Mayor & Council,MCG - Council,0,0,0,0,"542,000","123,000",0,0,0,"665,000",0,0,0,"665,000",,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Administration,0,"-2,000",0,"-2,000","824,000","196,000",0,"-178,000",0,"842,000",0,0,0,"840,000",,,,,,,,,,,,,,,
General Operating,City Manager,IIR - Economic Development,0,0,0,0,"518,000","327,000","1,000",0,0,"846,000",0,0,0,"846,000",,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Legal Services,0,0,0,0,"1,738,200","145,300",500,"-53,000",0,"1,831,000",0,0,0,"1,831,000",,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Legislative Services,0,"-8,000",0,"-8,000","2,027,000","1,047,000","8,000",0,0,"3,082,000",0,"144,000","144,000","3,218,000",,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - By-law Services,0,"-8,333,000",0,"-8,333,000","4,371,000","1,546,000","469,000","-45,000",0,"6,341,000",0,0,0,"-1,992,000",,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Public Safety,0,0,0,0,"385,000","10,000",0,0,0,"395,000",0,0,0,"395,000",,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Administration,0,0,0,0,"909,000","63,000","1,000",0,0,"973,000",0,0,0,"973,000",,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Employment,0,0,0,0,"814,400","318,000",0,"-75,000",0,"1,057,400",0,0,0,"1,057,400",,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Labour Relations/Compensation,0,0,0,0,"771,600","100,400",0,0,0,"872,000",0,0,0,"872,000",,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Occupational Safety,0,0,0,0,"559,800","97,200",0,0,0,"657,000",0,0,0,"657,000",,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Wellness & Diversity,0,0,0,0,0,"30,000",0,0,0,"30,000",0,0,0,"30,000",,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Audit Procurement,0,"-14,000",0,"-14,000","2,122,000","193,000",0,0,0,"2,315,000",0,0,0,"2,301,000",,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Financial Services,0,"-1,067,000","-93,000","-1,160,000","2,776,000","470,000",0,"-268,000",0,"2,978,000","-250,000",0,"-250,000","1,568,000",,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Financial Reporting,0,"-73,000",0,"-73,000","1,643,000",0,0,"-237,000","-28,000","1,378,000",0,0,0,"1,305,000",,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Information Technology,0,0,0,0,"9,366,000","5,891,136","14,980","-1,678,416",0,"13,593,700",0,"4,942,300","4,942,300","18,536,000",,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Leadership,0,0,0,0,"1,469,200","431,900","13,900",0,0,"1,915,000",0,0,0,"1,915,000",,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Risk Management,0,0,0,0,"410,000","4,250,000","10,000","-996,000","-100,000","3,574,000","-1,892,000",0,"-1,892,000","1,682,000",,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Administration,0,"-31,066",0,"-31,066","3,211,166","383,900","14,000",0,0,"3,609,066",0,0,0,"3,578,000",,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Area Planning & Development,0,"-1,995,618",0,"-1,995,618","4,314,301","66,000","101,317",0,0,"4,481,618",0,0,0,"2,486,000",,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Building,0,"-291,919","-17,122,864","-17,414,783","7,702,683","314,000",0,0,0,"8,016,683",0,"630,100","630,100","-8,768,000",,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Community Planning,0,0,0,0,"1,967,000",0,0,0,0,"1,967,000",0,0,0,"1,967,000",,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Facilities,0,0,0,0,"4,416,581","5,012,419","2,497,000","-2,426,000","-8,000","9,492,000",0,0,0,"9,492,000",,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Heritage Advisory Committee,0,0,0,0,0,"23,000",0,0,0,"23,000",0,0,0,"23,000",,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Sustainability,0,0,0,0,"190,100","109,900",0,0,0,"300,000","-50,000",0,"-50,000","250,000",,,,,,,,,,,,,,,
General Operating,Fire,Fire - Administration,0,"-5,200",0,"-5,200","2,234,157","131,200","2,800",0,0,"2,368,157",0,0,0,"2,362,957",,,,,,,,,,,,,,,
General Operating,Fire,Fire - Emergency Planning,0,0,0,0,"4,759","53,500",0,"-5,500","-2,000","50,759",0,0,0,"50,759",,,,,,,,,,,,,,,
General Operating,Fire,Fire - Operations,0,0,0,0,"45,620,383","1,921,846","154,112",0,"-70,000","47,626,341",0,"1,857,000","1,857,000","49,483,341",,,,,,,,,,,,,,,
General Operating,Fire,Fire - Mechanics,0,0,0,0,"538,799","361,000","1,000",0,0,"900,799",0,0,0,"900,799",,,,,,,,,,,,,,,
General Operating,Fire,Fire - Prevention,0,"-178,224","-7,384","-185,608","1,209,341","84,000","8,997",0,"-20,200","1,282,138",0,0,0,"1,096,530",,,,,,,,,,,,,,,
General Operating,Fire,Fire - Radio & Communications,0,"-1,425,767",0,"-1,425,767","2,647,769","1,357,419","1,500",0,"-11,800","3,994,888",0,0,0,"2,569,121",,,,,,,,,,,,,,,
General Operating,Fire,Fire - Training,0,"-12,000",0,"-12,000","759,143","106,350","1,000",0,"-12,000","854,493",0,0,0,"842,493",,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Corporate Services,0,"-72,000","-6,485,700","-6,557,700","3,112,000","1,269,900","304,600",0,"-892,000","3,794,500",0,0,0,"-2,763,200",,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Information Services &Technology,0,"-239,000",0,"-239,000","7,829,300","24,600",0,0,"-54,000","7,799,900",0,0,0,"7,560,900",,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Management & RCMP Finance,0,0,0,0,"1,759,000","99,900","177,800",0,0,"2,036,700",0,0,0,"2,036,700",,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Operations,0,"-745,000","-351,300","-1,096,300","9,066,200","1,482,700","119,800",0,0,"10,668,700",0,0,0,"9,572,400",,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Contract,0,0,0,0,0,"108,190,200",0,0,0,"108,190,200",0,0,0,"108,190,200",,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Administration,0,0,0,0,"2,823,200","1,209,700","64,700","-31,600",0,"4,066,000","-60,000","350,000","290,000","4,356,000",,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Arenas,0,"-4,106,216",0,"-4,106,216","3,207,400","1,716,116","61,500","-29,800","-15,000","4,940,216",0,"50,000","50,000","884,000",,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Art Centre,0,"-1,039,100","-180,900","-1,220,000","2,757,700","1,646,200","17,200","-14,800",0,"4,406,300","-450,000",0,"-450,000","2,736,300",,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Community Recreation Services,0,"-8,726,600","-130,800","-8,857,400","14,121,101","3,437,203","329,200",0,0,"17,887,504","-200,000",0,"-200,000","8,830,104",,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Healthy Communities,0,"-48,400",0,"-48,400","1,456,896","156,900","22,300",0,0,"1,636,096",0,0,0,"1,587,696",,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Heritage Services,0,"-39,700","-65,300","-105,000","1,489,500","411,100","29,400",0,0,"1,930,000",0,0,0,"1,825,000",,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Indoor Pools,0,"-10,545,600","-17,900","-10,563,500","11,700,200","3,959,400","270,700",0,"-90,000","15,840,300",0,0,0,"5,276,800",,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Marketing,0,"-68,200",0,"-68,200","1,287,000","748,900","1,500","-155,400","-11,400","1,870,600",0,"72,100","72,100","1,874,500",,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Outdoor Pools,0,0,0,0,0,"951,700",0,0,"-12,700","939,000",0,0,0,"939,000",,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Parks Division,0,"-2,148,600","-1,017,000","-3,165,600","12,612,700","15,645,400","10,904,200","-10,121,400","-295,300","28,745,600","-3,260,700","691,800","-2,568,900","23,011,100",,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Operations,0,0,0,0,"23,255,400","5,185,906","3,344,074","-33,999,180",0,"-2,213,800",0,"1,847,800","1,847,800","-366,000",,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Professional Services,"-8,000","-10,000",0,"-18,000","7,397,000","329,000","1,522,000","-8,117,000",0,"1,131,000",0,"15,000","15,000","1,128,000",,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Land Development,0,"-4,397,000","-481,000","-4,878,000","3,494,000","719,000","2,528,000","-253,000","-1,735,000","4,753,000",0,0,0,"-125,000",,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Realty Services,0,"-35,000","-1,209,000","-1,244,000","2,494,000","1,201,000","327,000","-2,093,000",0,"1,929,000",0,0,0,"685,000",,,,,,,,,,,,,,,
Solid Waste Operating,Engineering,N/A,0,"-39,000,000","-205,000","-39,205,000",0,"26,139,706","6,064,770","-95,000",0,"32,109,476",0,"7,095,524","7,095,524",0,,,,,,,,,,,,,,,
Transportation Operating,Engineering,N/A,"-19,236,000","-3,272,000","-586,000","-23,094,000","5,216,800","23,496,116","13,120,797","-4,479,500","-3,274,700","34,079,513","-64,409,513","53,424,000","-10,985,513",0,,,,,,,,,,,,,,,
Parking Operating,Engineering,N/A,0,"-584,000",0,"-584,000","144,000","205,000","258,000",0,0,"607,000","-2,170,000","2,147,000","-23,000",0,,,,,,,,,,,,,,,
Energy Operating,Engineering,N/A,0,"-147,000",0,"-147,000","357,000","233,000","26,000",0,0,"616,000","-4,417,000","3,948,000","-469,000",0,,,,,,,,,,,,,,,
