CITY OF SURREY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN DATA 2016 YEAR TO DATE DEPARTMENT FINANCIAL INFORMATION - OPERATIONAL BUDGETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For the Period:  201600 - 201612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Funds: ´100´,´103´,´105´,´106´,´107´,´200´,´300´,´305´,´400´",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,REVENUES,,,,EXPENDITURES,,,,,,,INTERNAL TRANSFERS,,,,,,,,,,,,,,,,,,,
,,,,Sales and,"Grants, Donations",,Salaries &,Operating,Internal Serv.,Internal Serv.,External,,Targeted,Trsf from,Trsf to,,NET (SURPLUS),,,,,,,,,,,,,,,,
Fund,Department,Financial Plan Division,Taxation,Services,and Other,TOTAL,Benefits,Costs,Used,Recovered,Recoveries,TOTAL,Dept Savings,Own Sources,Own Sources,TOTAL,EXPENDITURES,,,,,,,,,,,,,,,,
General Operating,Corporate,Corporate,"-309,642,000","-18,692,000","-31,899,000","-360,233,000",0,"13,568,000","99,444",0,0,"13,667,444",0,"-15,613,000","58,011,305","42,398,305","-304,167,251",,,,,,,,,,,,,,,,
General Operating,Grants,MCG - City Grants,0,0,0,0,0,"1,662,000",0,0,0,"1,662,000",0,0,0,0,"1,662,000",,,,,,,,,,,,,,,,
General Operating,Mayor & Council,MCG - Office of the Mayor,0,0,0,0,"607,000","116,000","2,000",0,0,"725,000","-28,000",0,0,0,"697,000",,,,,,,,,,,,,,,,
General Operating,Mayor & Council,MCG - Council,0,0,0,0,"540,944","123,056",0,0,0,"664,000",0,0,0,0,"664,000",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Administration,0,"-2,000",0,"-2,000","660,000","156,000","40,000",0,0,"856,000","-225,000",0,0,0,"629,000",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - By-law Services,0,"-8,615,000",0,"-8,615,000","4,849,000","1,548,000","469,000","-45,000",0,"6,821,000",0,0,0,0,"-1,794,000",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Public Safety,0,0,0,0,"838,000","252,000",0,0,0,"1,090,000",0,0,0,0,"1,090,000",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Legal Services,0,0,0,0,"1,814,000","146,000",0,"-53,000",0,"1,907,000",0,0,0,0,"1,907,000",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Legislative Services,0,"-2,000",0,"-2,000","2,029,000","1,115,000","8,000",0,0,"3,152,000",0,0,"175,000","175,000","3,325,000",,,,,,,,,,,,,,,,
General Operating,City Manager,IIR - Economic Development,0,0,0,0,"615,000","527,000",0,0,0,"1,142,000",0,0,0,0,"1,142,000",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Administration,0,0,0,0,"958,000","63,000","1,000",0,0,"1,022,000","-35,000",0,0,0,"987,000",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Employment,0,0,0,0,"813,000","558,000",0,"-315,000",0,"1,056,000",0,0,0,0,"1,056,000",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Labour Relations/Compensation,0,0,0,0,"779,000","100,400",0,0,0,"879,400",0,0,0,0,"879,400",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Occupational Safety,0,0,0,0,"661,900","97,200",0,0,0,"759,100",0,0,0,0,"759,100",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Wellness & Diversity,0,0,0,0,0,"30,000",0,0,0,"30,000",0,0,0,0,"30,000",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Audit Procurement,0,"-14,345",0,"-14,345","1,652,700","196,575",0,0,0,"1,849,275",0,0,0,0,"1,834,930",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Financial Services,0,"-1,108,060","-93,285","-1,201,345","3,366,400","132,085",0,"-268,000",0,"3,230,485",0,0,0,0,"2,029,140",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Financial Reporting,0,"-76,270",0,"-76,270","1,557,200","347,200",0,"-235,600","-28,000","1,640,800",0,"-250,000",0,"-250,000","1,314,530",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Information Technology,0,0,0,0,"10,398,200","6,419,424","14,980","-1,975,604",0,"14,857,000",0,0,"5,742,000","5,742,000","20,599,000",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Leadership,0,0,0,0,"1,585,200","435,100","13,900",0,0,"2,034,200","-252,000",0,0,0,"1,782,200",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Risk Management,0,0,0,0,"410,200","4,225,425","10,000","-971,425","-100,000","3,574,200",0,"-1,892,000",0,"-1,892,000","1,682,200",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Administration,0,"-32,300",0,"-32,300","3,194,400","383,900","14,000",0,0,"3,592,300","-416,000",0,0,0,"3,144,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Area Planning & Development,0,"-1,967,500","-144,500","-2,112,000","4,430,000","66,000","139,000",0,0,"4,635,000",0,0,0,0,"2,523,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Building,0,"-303,300","-17,622,900","-17,926,200","8,152,100","314,000",0,0,0,"8,466,100",0,0,"630,100","630,100","-8,830,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Community Planning,0,0,0,0,"1,997,000",0,0,0,0,"1,997,000",0,0,0,0,"1,997,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Facilities,0,0,0,0,"4,435,900","6,163,500","2,559,000","-2,457,400","-8,000","10,693,000",0,0,0,0,"10,693,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Heritage Advisory Committee,0,0,0,0,0,"23,000",0,0,0,"23,000",0,0,0,0,"23,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Sustainability,0,0,0,0,"187,600","137,400",0,0,0,"325,000",0,"-75,000",0,"-75,000","250,000",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Administration,0,"-5,403",0,"-5,403","2,414,420","158,200","2,800",0,0,"2,575,420","-684,000",0,0,0,"1,886,017",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Emergency Planning,0,0,0,0,"4,856","47,500",0,"-5,500","-2,000","44,856",0,0,0,0,"44,856",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Operations,0,0,0,0,"47,014,132","1,922,853","131,112",0,"-70,000","48,998,097",0,0,"1,297,000","1,297,000","50,295,097",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Mechanics,0,0,0,0,"524,975","368,000","1,000",0,0,"893,975",0,0,0,0,"893,975",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Prevention,0,"-185,175","-7,672","-192,847","1,228,830","83,900","8,998",0,"-20,200","1,301,528",0,0,0,0,"1,108,681",,,,,,,,,,,,,,,,
