CITY OF SURREY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN DATA 2017 YEAR TO DATE DEPARTMENT FINANCIAL INFORMATION - OPERATIONAL BUDGETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For the Period:  201700 - 201712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Funds: ´100´,´103´,´105´,´106´,´107´,´200´,´300´,´305´,´400´",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,REVENUES,,,,EXPENDITURES,,,,,,INTERNAL TRANSFERS,,,,,,,,,,,,,,,,,,,
,,,,Sales and,"Grants, Donations",,Salaries &,Operating,Internal Serv.,Internal Serv.,External,,Trsf from,Trsf to,,NET (SURPLUS),,,,,,,,,,,,,,,,
Fund,Department,Financial Plan Division,Taxation,Services,and Other,TOTAL,Benefits,Costs,Used,Recovered,Recoveries,TOTAL,Own Sources,Own Sources,TOTAL,EXPENDITURES,,,,,,,,,,,,,,,,
General Operating,Corporate,Corporate,"-328,802,000","-20,809,000","-36,328,000","-385,939,000",0,"13,596,000","1,569,000",0,0,"15,165,000","-17,129,000","60,655,000","43,526,000","-327,248,000",,,,,,,,,,,,,,,,
General Operating,Grants,MCG - City Grants,0,0,0,0,0,"1,682,000",0,0,0,"1,682,000",0,0,0,"1,682,000",,,,,,,,,,,,,,,,
General Operating,Mayor & Council,MCG - Office of the Mayor,0,0,0,0,"635,000","116,000","2,000",0,0,"753,000",0,0,0,"753,000",,,,,,,,,,,,,,,,
General Operating,Mayor & Council,MCG - Council,0,0,0,0,"557,000","123,000",0,0,0,"680,000",0,0,0,"680,000",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Administration,0,"-2,000",0,"-2,000","757,000","156,000","190,000",0,0,"1,103,000",0,0,0,"1,101,000",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - By-law Services,0,"-1,495,000","-7,408,000","-8,903,000","5,237,000","1,549,000","469,000","-159,000",0,"7,096,000",0,0,0,"-1,807,000",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Public Safety,0,0,0,0,"941,000","277,000",0,0,0,"1,218,000",0,0,0,"1,218,000",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Legal Services,0,0,0,0,"1,997,000","146,000",0,"-57,000",0,"2,086,000",0,0,0,"2,086,000",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Legislative Services,0,"-2,000",0,"-2,000","2,148,000","1,115,000","8,000",0,0,"3,271,000",0,"175,000","175,000","3,444,000",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Administration,0,0,0,0,"1,193,000","493,000","1,000","-315,000",0,"1,372,000",0,0,0,"1,372,000",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Employment,0,0,0,0,"884,000","145,000",0,0,0,"1,029,000",0,0,0,"1,029,000",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Labour Relations/Compensation,0,0,0,0,"825,000","100,000",0,0,0,"925,000",0,0,0,"925,000",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Occupational Safety,0,0,0,0,"723,000","97,000",0,0,0,"820,000",0,0,0,"820,000",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Wellness & Diversity,0,0,0,0,0,"30,000",0,0,0,"30,000",0,0,0,"30,000",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Audit Procurement,0,"-15,000",0,"-15,000","1,729,000","197,000",0,0,0,"1,926,000",0,0,0,"1,911,000",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Financial Services,0,"-1,151,194","-95,806","-1,247,000","3,558,000","126,000",0,"-276,000",0,"3,408,000",0,0,0,"2,161,000",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Financial Reporting,0,"-79,000",0,"-79,000","1,706,000","347,000","7,000","-242,000","-28,000","1,790,000","-250,000",0,"-250,000","1,461,000",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Information Technology,0,0,0,0,"11,065,000","6,797,000","15,000","-1,975,000",0,"15,902,000",0,"5,742,000","5,742,000","21,644,000",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Leadership,0,0,0,0,"1,629,000","435,000","14,000",0,0,"2,078,000",0,0,0,"2,078,000",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Risk Management,0,0,0,0,"423,000","4,225,000","125,000","-988,000","-215,000","3,570,000","-1,892,000",0,"-1,892,000","1,678,000",,,,,,,,,,,,,,,,
General Operating,Investment and Intergovernmental Relations,IIR - Administration,0,0,0,0,"246,000","200,000",0,0,0,"446,000",0,0,0,"446,000",,,,,,,,,,,,,,,,
General Operating,Investment and Intergovernmental Relations,IIR - Economic Development,0,0,0,0,"711,000","327,000",0,0,0,"1,038,000",0,0,0,"1,038,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Administration,0,"-34,000",0,"-34,000","3,344,000","384,000","14,000",0,0,"3,742,000",0,0,0,"3,708,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Area Planning & Development,0,"-2,045,000","-150,000","-2,195,000","4,170,000","66,000","139,000",0,0,"4,375,000",0,0,0,"2,180,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Building,0,"-315,000","-18,310,000","-18,625,000","8,887,000","314,000",0,0,0,"9,201,000",0,"630,000","630,000","-8,794,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Community Planning,0,0,0,0,"2,053,000","22,000",0,0,0,"2,075,000",0,0,0,"2,075,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Facilities,0,0,0,0,"4,467,000","6,464,000","2,577,000","-2,457,000","-8,000","11,043,000",0,0,0,"11,043,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Heritage Advisory Committee,0,0,0,0,0,"23,000",0,0,0,"23,000",0,0,0,"23,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Sustainability,0,0,0,0,"227,000","260,000",0,0,0,"487,000","-237,000",0,"-237,000","250,000",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Administration,0,"-5,000",0,"-5,000","2,633,000","136,000","3,000",0,0,"2,772,000",0,0,0,"2,767,000",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Emergency Planning,0,0,0,0,"5,000","52,000",0,"-6,000","-2,000","49,000",0,0,0,"49,000",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Operations,0,0,0,0,"48,369,000","1,997,000","131,000",0,"-70,000","50,427,000",0,"1,297,000","1,297,000","51,724,000",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Mechanics,0,0,0,0,"545,000","413,000","1,000",0,0,"959,000",0,0,0,"959,000",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Prevention,0,"-193,000","-8,000","-201,000","1,262,000","84,000","9,000",0,"-20,000","1,335,000",0,0,0,"1,134,000",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Radio & Communications,0,"-1,488,000",0,"-1,488,000","2,735,000","1,368,000","2,000",0,"-12,000","4,093,000",0,0,0,"2,605,000",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Training,0,"-12,000",0,"-12,000","794,000","106,000","1,000",0,"-12,000","889,000",0,0,0,"877,000",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Corporate Services,0,"-72,000","-6,636,000","-6,708,000","4,173,000","1,878,000","768,000",0,"-941,000","5,878,000",0,0,0,"-830,000",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Information Services &Technology,0,"-258,000",0,"-258,000","9,179,000","25,000",0,0,"-54,000","9,150,000",0,0,0,"8,892,000",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Management & RCMP Finance,0,0,0,0,"1,561,000","100,000",0,0,0,"1,661,000",0,0,0,"1,661,000",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Operations,0,"-804,000","-351,000","-1,155,000","10,376,000","1,577,000","110,000",0,0,"12,063,000",0,0,0,"10,908,000",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Contract,0,0,0,0,0,"129,587,000",0,0,0,"129,587,000",0,0,0,"129,587,000",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Administration,0,"-7,000",0,"-7,000","2,972,000","1,649,000","65,000","-32,000",0,"4,654,000","-60,000","354,000","294,000","4,941,000",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Arenas,0,"-4,421,000",0,"-4,421,000","3,449,000","1,805,000","62,000","-29,000","-15,000","5,272,000",0,"80,000","80,000","931,000",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Art Centre,0,"-1,065,000","-182,000","-1,247,000","2,999,000","2,063,000","17,000","-15,000",0,"5,064,000","-450,000","1,000","-449,000","3,368,000",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Community Recreation Services,0,"-9,382,000","-132,000","-9,514,000","14,490,000","3,488,000","320,000",0,"-31,000","18,267,000",0,0,0,"8,753,000",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Healthy Communities,0,"-52,000",0,"-52,000","1,905,000","187,000","22,000",0,0,"2,114,000",0,0,0,"2,062,000",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Heritage Services,0,"-51,000","-76,000","-127,000","1,737,000","438,000","29,000",0,"-3,000","2,201,000",0,0,0,"2,074,000",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Indoor Pools,0,"-13,708,000","-43,000","-13,751,000","16,869,000","4,612,000","452,000",0,"-90,000","21,843,000",0,0,0,"8,092,000",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Marketing,0,"-72,000",0,"-72,000","1,468,000","776,000","2,000","-155,000","-11,000","2,080,000",0,"25,000","25,000","2,033,000",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Outdoor Pools,0,0,0,0,"46,000","977,000",0,0,"-13,000","1,010,000",0,0,0,"1,010,000",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Parks Division,0,"-2,631,000","-1,720,000","-4,351,000","13,873,000","18,288,000","14,451,000","-13,371,000","-371,000","32,870,000","-4,711,000","1,669,000","-3,042,000","25,477,000",,,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Operations,0,0,0,0,"25,243,000","5,962,000","3,659,000","-37,391,000","-153,000","-2,680,000",0,"2,314,000","2,314,000","-366,000",,,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Professional Services,0,"-6,000",0,"-6,000","8,139,000","389,000","1,536,000","-8,575,000",0,"1,489,000",0,"15,000","15,000","1,498,000",,,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Land Development,0,"-4,940,000","-196,000","-5,136,000","3,618,000","742,000","2,618,000","-232,000","-1,735,000","5,011,000",0,0,0,"-125,000",,,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Realty Services,0,"-50,000","-1,459,000","-1,509,000","2,627,000","1,777,000","840,000","-2,803,000",0,"2,441,000",0,0,0,"932,000",,,,,,,,,,,,,,,,
Solid Waste Operating,Engineering,N/A,0,"-41,949,000","-130,000","-42,079,000",0,"28,984,000","4,636,000",0,0,"33,620,000",0,"8,459,000","8,459,000",0,,,,,,,,,,,,,,,,
Transportation Operating,Engineering,N/A,"-26,601,000","-70,000","-314,000","-26,985,000","5,800,000","21,883,000","13,510,000","-4,998,000","-3,329,000","32,866,000","-51,980,000","46,099,000","-5,881,000",0,,,,,,,,,,,,,,,,
