TYPE,SITE_NO,SITE_NAME,ADDRESS,HERITAGE_NEIGHBOURHOOD,REGISTER_RESOLUTION_DATE,HERITAGE_REGISTER_AMENDED,HERITAGE_VALUE,WEBLINK,Latitude,Longitude
Registered and Protected,160,McKettrick House,15250 54A Avenue,Kensington Prairie,20001204,No,Architectural,http://www.surrey.ca/city-services/3279.aspx,49.101266,-122.799569
Registered,156,James William White House,5962 180 Street,Cloverdale,19980615,No,Architectural,http://www.surrey.ca/city-services/3363.aspx,49.110725,-122.723151
Registered,172,Hall’s Prairie Elementary School (South Building),18035  8 Avenue,Hazelmere,20001204,No,Historical,http://www.surrey.ca/city-services/3428.aspx,49.017109,-122.723289
Registered,49,Highway Garage,5723 176 Street,Cloverdale,19981102,No,Historical,http://www.surrey.ca/city-services/3252.aspx,49.106424,-122.735219
Registered and Protected,163,Kensington Prairie Elementary School,16824 32 Avenue,Kensington Prairie,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3414.aspx,49.059957,-122.755636
Registered,154,Dr. Sinclair House,17725 58A Avenue,Cloverdale,20001002,No,"Architectural, Historical",http://www.surrey.ca/city-services/3281.aspx,49.108899,-122.731462
Registered,36,Mound Farm - Bion Smith House,5202 168 Street,Cloverdale,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3377.aspx,49.097480,-122.746463
Registered,34,Mound Farm - George Snow House,5202 168 Street,Cloverdale,19981102,Yes,Architectural,http://www.surrey.ca/city-services/3382.aspx,49.096843,-122.746402
Registered,211,Mound Farm Park,5201 168 Street,Cloverdale,20040112,No,Environmental,http://www.surrey.ca/city-services/3267.aspx,49.098563,-122.746093
Registered,89,Mud Bay School House,4382 King George Highway,Mud Bay,19981102,No,Historical,http://www.surrey.ca/city-services/3315.aspx,49.081681,-122.820037
Registered,143,Ferguson House,14048 113A Avenue,Port Mann,19981102,No,Architectural,http://www.surrey.ca/city-services/3250.aspx,49.208412,-122.832759
Registered,212,Green Timbers -  Inaugural Plantation,14255 96 Ave,Green Timbers,20040112,No,"Historical, Environmental",http://www.surrey.ca/city-services/3409.aspx,49.177576,-122.827719
Registered,134,Olsen House,10979 Olsen Road,South Westminster,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3224.aspx,49.202123,-122.891529
Registered,40,Heppell Family House,4945 184 Street,Cloverdale,19981102,No,Architectural,http://www.surrey.ca/city-services/3312.aspx,49.092199,-122.713403
Registered,177,Lee House,13971 Crescent Road,Elgin,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3211.aspx,49.067488,-122.835149
Registered,190,Swanson House,6571 King George Highway,Newton,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3244.aspx,49.121994,-122.846112
Registered,118,House (Tynehead),8897 168 Street,Tynehead,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3276.aspx,49.164751,-122.758069
Registered,201,Fleetwood Memorial United Church,8590 160 Street,Fleetwood,20001204,No,"Historical, Cultural",http://www.surrey.ca/city-services/3401.aspx,49.158841,-122.778263
Registered,185,Lamb House,2688 McBride Avenue,Crescent Beach,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3216.aspx,49.051774,-122.883369
Registered,123,Hillside Farm - Small Gambrel Barn,6821 176 Street,Clayton,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3403.aspx,49.127386,-122.736112
Registered and Protected,7,Elgin School (Elgin Centre),3530 144 Street,Elgin,19970603,No,Historical,http://www.surrey.ca/city-services/3375.aspx,49.066161,-122.822301
Registered,70,Bailey House,2409 Christopherson Road,Crescent Beach,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3228.aspx,49.046034,-122.882979
Registered,183,Neville R. Preston House,2878 O’Hara Lane,Crescent Beach,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3352.aspx,49.054820,-122.886139
Registered,54,Nicholas/David Kitzel House,216 184 Street,Hazelmere,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3378.aspx,49.006168,-122.713298
Registered,127,Smith Farm - Milk Shed,16927 66 Avenue,Clayton,19981102,No,Historical,http://www.surrey.ca/city-services/3320.aspx,49.122956,-122.753324
Registered and Protected,67,Ocean Park Community Hall,1577 128 Street,Ocean Park,19981102,No,"Architectural, Historical, Cultural",http://www.surrey.ca/city-services/3364.aspx,49.030860,-122.867751
Registered and Protected,21,Old Anniedale School,9744 176 Street,Anniedale,19970603,No,Historical,http://www.surrey.ca/city-services/3317.aspx,49.179919,-122.733663
Registered,229,Pacific Highway (Stone Marker),176 Street and Highway 10,Cloverdale,20060911,No,Significant Transportation Corridor,http://www.surrey.ca/city-services/3395.aspx,49.104310,-122.735145
Registered,213,Peace Arch,Canada-USA Border Crossing at Highway No. 99,Douglas,20040112,No,"Historical, Architectural",http://www.surrey.ca/city-services/3218.aspx,49.002113,-122.756523
Registered,223,Brownsville Park and Sandbar,1100 Block of Portage Road,South Westminster,20040112,No,"Historical, Cultural",http://www.surrey.ca/city-services/3380.aspx,49.205237,-122.891584
Registered,248,Port Kells Park,19340 88 Ave,Port Kells,20060911,,Historical Environmental,http://www.surrey.ca/city-services/3268.aspx,49.162658,-122.687227
Registered and Protected,145,Roll’s Carpenter Shop,13946 Fraser Highway,Whalley,19981102,No,Architectural,http://www.surrey.ca/city-services/3319.aspx,49.179141,-122.836132
Registered,71,Canon William Holdom House,12644 28 Avenue,Crescent Beach,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3370.aspx,49.052829,-122.871664
Registered,73,Church of the Ascension Anglican,2770 McKenzie Avenue,Crescent Beach,19981102,No,Architectural Historical,http://www.surrey.ca/city-services/3400.aspx,49.052997,-122.882557
Registered and Protected,8,1881 Town Hall,17635 60 Avenue,Cloverdale,19970603,No,Historical,http://www.surrey.ca/city-services/3245.aspx,49.111717,-122.734292
Registered and Protected,194,Christ Church Cemetery,16591 Bell Road and 16631 Old McLellan Road,Surrey Centre,19970603,No,"Historical, Cultural",http://www.surrey.ca/city-services/3333.aspx,49.108777,-122.761660
Registered and Protected,31,Cloverdale United Church,17553 58A Avenue,Cloverdale,19981102,No,Architectural,http://www.surrey.ca/city-services/3356.aspx,49.109034,-122.736445
Registered,241,Peace Arch Tea Room,Hwy 99 and 1 Ave,Douglas,20060911,No,Historical Architectural,http://www.surrey.ca/city-services/3421.aspx,49.003911,-122.758148
Registered,,Rickshaw sign,10522 King George Boulevard,Whalley,20160411,,,,49.193549,-122.845085
Registered,182,Welsh House,2566 Maple Street,Crescent Beach,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3226.aspx,49.049521,-122.883750
Registered,45,Robert D. MacKenzie House (1922),5634 182 Street,Cloverdale,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3398.aspx,49.104761,-122.717930
Registered,150,Port Kells Post Office,8764 Harvie Road,Port Kells,19981102,No,Historical,http://www.surrey.ca/city-services/3338.aspx,49.162185,-122.699473
Registered and Protected,9,Pillath House,11113 148 Street,Port Mann,19970603,No,"Architectural, Historical",http://www.surrey.ca/city-services/3243.aspx,49.204459,-122.813203
Registered,80,"Camp Alexandra Nursery - ""Wigwam""",2916 McBride Avenue,Crescent Beach,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3388.aspx,49.055625,-122.885143
Registered,235,Cloverdale Hotel,5733 176 St,Cloverdale,20060911,No,Historical Architectural,http://www.surrey.ca/city-services/3273.aspx,49.106565,-122.735228
Registered,79,"Camp Alexandra Recreation Hall - ""Alexandra Hall""",2916 McBride Avenue,Crescent Beach,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3427.aspx,49.055338,-122.884593
Registered and Protected,2,1912 Municipal Hall,17671 56 Avenue,Cloverdale,19970603,No,"Architectural, Historical",http://www.surrey.ca/city-services/3295.aspx,49.104482,-122.733148
Registered and Protected,23,Avenue of Trees,North side of Old McLellan Road between Bell Road and Christ Church,Surrey Centre,19970603,No,"Cultural, Natural",http://www.surrey.ca/city-services/3259.aspx,49.108458,-122.761686
Registered,175,Larsen Garage,3071 176 Street,Grandview Heights,20001204,No,Historical,http://www.surrey.ca/city-services/3241.aspx,49.057936,-122.735620
Registered,124,Smith Farmhouse,16913 66 Avenue,Clayton,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3271.aspx,49.122805,-122.753454
Registered,78,"Camp Alexandra Dining Hall - ""The Lodge""",2916 McBride Avenue,Crescent Beach,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3413.aspx,49.055482,-122.884992
Registered and Protected,5,Christ Church,16631 Old McLellan Road,Surrey Centre,19970603,No,"Architectural, Historical",http://www.surrey.ca/city-services/3239.aspx,49.108732,-122.761465
Registered,198,Bolivar Barn,7412 192 Street,Clayton,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3229.aspx,49.137531,-122.689002
