Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1929-01,1929,1,3.6,,-3.3,,0.2,,11.1,,-13.3,S,36.3,,23.9,,60.2,,,,,,,
1929-02,1929,2,6.2,,-1.9,,2.2,,10.6,S,-11.1,,29.2,,1.3,,30.5,,,,,,,
1929-03,1929,3,10.8,,3.7,,7.3,,14.4,,0.6,S,77,,0,,77,,,,,,,
1929-04,1929,4,13.1,,3.8,,8.5,,18.9,,-1.7,,41.4,,0,,41.4,,,,,,,
1929-05,1929,5,17.1,,7.7,,12.4,,21.1,,3.9,S,36.3,,0,,36.3,,,,,,,
1929-06,1929,6,19.5,,9.9,,14.7,,23.9,,6.7,S,30.2,,0,,30.2,,,,,,,
1929-07,1929,7,23.8,,11.1,,17.5,,28.9,,6.7,,15.7,,0,,15.7,,,,,,,
1929-08,1929,8,23.9,,12.3,,18.1,,27.8,,7.8,,24.6,,0,,24.6,,,,,,,
1929-09,1929,9,21.8,,10.1,,16,,30,,5,,16,,0,,16,,,,,,,
1929-10,1929,10,16.9,,7.7,,12.3,,24.4,,2.8,S,52.1,,0,,52.1,,,,,,,
1929-11,1929,11,10.2,,2.7,,6.5,,14.4,,-2.8,S,62.7,,0,,62.7,,,,,,,
1929-12,1929,12,6.7,,1.2,,4,,13.3,,-7.2,,95.8,,30.5,,126.2,,,,,,,
1930-01,1930,1,3,,-5.8,,-1.4,,8.9,,-12.2,,64.5,,2.5,,67.1,,,,,,,
1930-02,1930,2,9.9,,2.1,,6,,13.9,,-1.7,,165.9,,0,T,165.9,,,,,,,
1930-03,1930,3,11.8,,2.6,,7.2,,19.4,,-1.7,S,66.3,,0,,66.3,,,,,,,
1930-04,1930,4,15.4,,6.4,,10.9,,19.4,,2.2,,75.7,,0,,75.7,,,,,,,
1930-05,1930,5,17.1,,7,,12.1,,23.3,,1.7,,55.1,,0,,55.1,,,,,,,
1930-06,1930,6,20.1,,9.9,,15,,26.7,,5.6,,52.6,,0,,52.6,,,,,,,
1930-07,1930,7,23.4,,11.1,,17.3,,30.6,,7.8,S,2.5,,0,,2.5,,,,,,,
1930-08,1930,8,24.2,,12.6,,18.4,,27.2,S,9.4,,5.8,,0,,5.8,,,,,,,
1930-09,1930,9,20.4,,10.8,,15.6,,26.1,,5.6,,65.5,,0,,65.5,,,,,,,
1930-10,1930,10,14.6,,5.9,,10.3,,19.4,,-1.1,,173.5,,0,,173.5,,,,,,,
1930-11,1930,11,10,,3,,6.5,,17.8,,-3.9,,66,,6.4,,72.4,,,,,,,
1930-12,1930,12,9,,2.9,,6,,14.4,,-2.2,,64.5,,0,,64.5,,,,,,,
1931-01,1931,1,9.7,,4.1,,6.9,,17.2,,-0.6,,216.7,,0,,216.7,,,,,,,
1931-02,1931,2,9.9,,2.9,,6.4,,15,,0,S,76.5,,0,T,76.5,,,,,,,
1931-03,1931,3,11.9,,4.4,,8.2,,15.6,,-0.6,,156.5,,5.8,,162.3,,,,,,,
1931-04,1931,4,16.4,,6.2,,11.3,,25.6,S,0.6,,66.5,,0,,66.5,,,,,,,
1931-05,1931,5,19.7,,8.9,,14.3,,26.1,,3.9,,52.1,,0,,52.1,,,,,,,
1931-06,1931,6,20.5,,10.7,,15.6,,26.1,,7.8,,137.4,,0,,137.4,,,,,,,
1931-07,1931,7,24.1,,11.7,,17.9,,28.9,,8.3,,9.9,,0,,9.9,,,,,,,
1931-08,1931,8,23.7,,11.7,,17.7,,33.3,,8.9,,5.3,,0,,5.3,,,,,,,
1931-09,1931,9,19.2,,10.8,,15,,24.4,,6.7,S,148.3,,0,,148.3,,,,,,,
1931-10,1931,10,15.4,,7.3,,11.4,,21.7,,3.3,,62.5,,0,,62.5,,,,,,,
1931-11,1931,11,9.1,,2.5,,5.8,,15,,-4.4,,134.6,,6.4,,141,,,,,,,
1931-12,1931,12,7.3,,2.4,,4.9,,12.2,,-2.8,,175.5,,3.8,,179.3,,,,,,,
