SUPPLIER NAME, AGGREGATE AMOUNT PAID TO SUPPLIER 
3M CANADA COMPANY COMPAGNIE 3M CANADA,"60,564.25"
ARGUS CARRIERS LTD.,"144,576.14"
BC HYDRO & POWER AUTHORITY,"264,485.92"
BC LIBRARIES COOPERATIVE,"170,011.14"
BEST SERVICE PROS LTD.,"152,478.13"
BIBLIOCOMMONS INC.,"59,446.61"
BIBLIOTHECA,"128,756.15"
CASCADE ENERGY,"30,498.72"
CENTRE FOR EQUITABLE LIBRARY ACCESS,"31,702.30"
CLEAN FOR YOU CLEANING SERVICES LTD.,"50,736.08"
CVS MIDWEST TAPE LLC,"339,601.41"
EBSCO CANADA LTD.,"38,799.98"
FORTISBC ENERGY INC.,"46,833.58"
HARBOUR WEST CONSULTING INC.,"28,071.77"
IMPERIAL HOBBIES,"34,320.15"
JONATHAN MORGAN & COMPANY LTD.,"27,434.19"
LIBRARY BOUND INC.,"49,439.70"
"LYNDA.COM, INC.","37,554.00"
MILLS BASICS,"50,165.26"
NUTECH FACILITY SERVICES LTD,"48,313.88"
"OVERDRIVE, INC.","432,886.09"
PALADIN SECURITY GROUP LTD.,"121,729.83"
PRIME BUILDING MAINTENANCE LTD.,"83,202.88"
PUBLIC LIBRARY INTERLINK,"243,929.61"
RICOH CANADA INC,"59,629.60"
RIOKIM HOLDINGS (STRAWBERRY HILL) INC.,"41,723.09"
SURREY CRIME PREVENTION SOCIETY,"25,000.00"
THE NEWS GROUP KELOWNA,"65,578.60"
UNITED LIBRARY SERVICES INC.,"29,176.17"
VANCOUVER KIDSBOOKS,"505,075.39"
WHITEHOTS INC.,"636,841.90"
,
"TOTAL PAYMENT TO SUPPLIERS WHO RECEIVED AGGREGATE PAYMENTS OF $25,000 OR MORE","4,038,562.52"
,
"TOTAL PAYMENT TO SUPPLIERS WHO RECEIVED AGGREGATE PAYMENTS OF $25,000 OR LESS","834,844.25"
,
CONSOLIDATED TOTAL,"4,873,406.77"
