SUPPLIER NAME,AGGREGATE AMOUNT PAID TO SUPPLIER
3M CANADA COMPANY COMPAGNIE 3M CANADA,169065.25
ARGUS CARRIERS LTD.,138267.84
ASIAN PUBLICATIONS,31986.48
B C HYDRO & POWER AUTHORITY,249976.77
BC LIBRARIES COOPERATIVE,202723.7
BEST FACILITIES SERVICES LTD.,130806.87
"BRO DART LTD.,  CANADIAN DIVISION",33034.69
CLEAN FOR YOU CLEANING SERVICES LTD.,50454.08
CVS MIDWEST TAPE LLC,340543.85
EBSCO CANADA LTD.,38080.91
EDU REFERENCE PUBLISHERS DIRECT INC.,32223.08
FORTISBC ENERGY INC.,64665.11
GDI SERVICES (CANADA) LP,47948.67
IMPERIAL HOBBIES,39607.25
MILLS BASICS,28219.06
"OCLC ONLINE COMPUTER LIBRARY CENTER, INC.",25289.13
"OVERDRIVE, INC.",241030.01
PALADIN SECURITY GROUP LTD.,180460.62
PRIME BUILDING MAINTENANCE LTD.,127215.21
PUBLIC LIBRARY INTERLINK,245554.92
"RECORDED BOOKS,LLC",48995.36
RIOKIM HOLDINGS (STRAWBERRY HILL) INC.,94032.92
STRICKER BOOKS,30534.92
THE NEWS GROUP,79969.06
UNITED LIBRARY SERVICES INC.,121783.04
UNITED PROTECTION SERVICES INC.,28047.04
VANCOUVER KIDSBOOKS,603244.14
WHITEHOTS INC.,638464.24
"PAYMENTS TO SUPPLIERS WHO RECEIVED AGGREATE PAYMENTS EXCEEDING $25,000",4062224.22
,
"CONSOLIDATED TOTAL PAID TO SUPPLIERS WHO RECEIVED AGGREGATE PAYMENTS OF $25,000 OR LESS",937489.85
