3M CANADA COMPANY COMPAGNIE 3M CANADA,"147,135.73"
ARGUS CARRIERS LTD. ,"135,445.53"
B C HYDRO & POWER AUTHORITY ,"285,989.20"
BC LIBRARIES COOPERATIVE ,"272,823.67"
BEST SERVICE PROS LTD. ,"133,442.62"
BMS INTEGRATED SERVICES INC,"30,314.49"
"BRO DART LTD., CANADIAN DIVISION ","27,093.79"
CENTRE FOR EQUITABLE LIBRARY ACCESS ,"31,889.12"
CLEAN FOR YOU CLEANING SERVICES LTD. ,"48,774.13"
CVS MIDWEST TAPE LLC ,"278,976.28"
EBSCO CANADA LTD. ,"36,977.49"
EDU REFERENCE PUBLISHERS DIRECT INC. ,"29,194.42"
FORTISBC ENERGY INC. ,"72,931.55"
GDI SERVICES (CANADA) LP ,"62,246.95"
IMPERIAL HOBBIES ,"40,395.54"
LIBRARY BOUND INC. ,"83,237.18"
MILLS BASICS ,"25,835.98"
"OVERDRIVE, INC. ","372,566.41"
PALADIN SECURITY GROUP LTD. ,"129,732.11"
PRIME BUILDING MAINTENANCE LTD. ,"111,957.72"
PUBLIC LIBRARY INTERLINK ,"249,753.26"
"RECORDED BOOKS,LLC ","61,378.35"
RICOH CANADA INC ,"60,940.15"
RIOKIM HOLDINGS (STRAWBERRY HILL) INC.,"25,434.43"
SURREY CRIME PREVENTION SOCIETY ,"25,000.00"
THE NEWS GROUP KELOWNA ,"57,549.80"
UNITED LIBRARY SERVICES INC. ,"52,025.29"
VANCOUVER KIDSBOOKS ,"543,407.31"
WHITEHOTS INC. ,"653,880.32"
,
"TOTAL PAYMENT TO SUPPLIERS WHO RECEIVED AGGREGATE PAYMENTS EXCEEDING $25,000 ","4,086,328.82"
,
"TOTAL PAYMENT TO SUPPLIERS WHO RECEIVED AGGREGATE PAYMENTS OF $25,000 OR LESS ","828,254.37"
