MAIN_TITLE_CLASS,SUBTITLE_CLASS,USER_,SECONDARY_USER,SERVICE_TYPE,LOCATION,ADDRESS,CITY,PROVINCE,POSTAL_CODE,TELEPHONE,WEBSITE,TIME_,E_MAIL,LONGITUDE,LATITUDE
Education/ESL & Citizenship,Child & Teen  Education,family with children,,Clover Valley Family Resource Program,Cloverdale Rec Centre ,6188 176 St,Surrey,BC,,Tel: 604-613-5237,www.tinyurl.com/cskmhws,,clovervalleyFRP@options.bc.ca,-122.7344604,49.11519194
Education/ESL & Citizenship,Child & Teen  Education,family with children,refugee,First Steps ECD Settlement Program,North Surrey Location: Umoja ,10025 Whalley Blvd,Surrey,BC,,Tel: 604-597-0205 ext 2104 or 2131,www.tinyurl.com/ayc224k,,ruth.beardsley@options.bc.ca,-122.8434811,49.18495928
Education/ESL & Citizenship,Child & Teen  Education,family with children,,Guildford Family Resource Program ,,10310 154 St,Surrey,BC, V3R 5Y7,Tel: 604-583-3844   ,tinyurl.com/a67f553,,,-122.7950441,49.18936699
Education/ESL & Citizenship,Child & Teen  Education,family with children,female ,Growing Together Education Program (Options) ,,10707 146 St ,Surrey,BC,V3R 1T5 ,Tel: 604-584-1181,www.tinyurl.com/bnnb4g7,,,-122.8178245,49.19694731
Education/ESL & Citizenship,Child & Teen  Education,youth,,City Centre Learning Centre,City Centre  in Surrey,13104 109 Ave,Surrey,BC,V3T 2N7,Tel:604-590-4658,www.tinyurl.com/bxg649d,Evening classes available at City Centre, North Surrey and White Rock/South Surrey.,,-122.8589316,49.20073354
Education/ESL & Citizenship,Child & Teen  Education,youth,,Cloverdale Learning Centre,Cloverdale Learning Centre,5741 176 St,Surrey,BC,,Tel: 604-574-3615  ,www.tinyurl.com/ae2qrln,,cloverdaleLC@surreyschools.ca,-122.7351908,49.10665894
Education/ESL & Citizenship,Child & Teen  Education,youth,,Guildford Learning Centre,Guildford Learning Centre,10215 152A St  ,Surrey,BC,V3R 4H6,Tel: 604-951-9553  ,www.tinyurl.com/a72ssgw,Evening classes available at City Centre, North Surrey and White Rock/South Surrey.,,-122.7997161,49.18822935
Education/ESL & Citizenship,Child & Teen  Education,youth,,North Surrey Learning Centre,North Surrey Learning Centre,13479 77 Ave  ,Surrey,BC,V3W 6Y1,Tel: 778-578-7707  ,www.tinyurl.com/a5sfpv9,Evening classes available at City Centre, North Surrey and White Rock/South Surrey.,,-122.8489874,49.14287612
Education/ESL & Citizenship,Child & Teen  Education,youth,,White Rock/South Surrey Learning Centre,White Rock/South Surrey Learning Centre,2320 King George Blvd ,Surrey,BC,V4A 5A5,Tel: 604-536-0550  ,www.tinyurl.com/agjquwm,Evening classes available at City Centre, North Surrey and White Rock/South Surrey.,whiterocklc@surreyschools.ca,-122.7916187,49.0444905
Education/ESL & Citizenship,Child & Teen  Education,family with children,,Newton Family Resource Program  ,,6846 King George Blvd,Surrey,BC,,Tel: 604-572-8032 local 1551  ,www.tinyurl.com/b3fp85g,,,-122.8445297,49.12715611
Education/ESL & Citizenship,Child & Teen  Education,youth,,Pizza & Pencils Homework Club ,PCRS Youth Lounge ,14727 108 Ave,Surrey,BC,,Tel: 604-587-8100 ,www.pcrs.ca/surrey_youth_resource_centres,Drop-in teen homework club Tuesdays 3 pm to 5 pm. Other teen services.  ,,-122.8144564,49.19889521
Education/ESL & Citizenship,Child & Teen  Education,family with children,,Semiahmoo Family Place ,Kensington Prairie Community Centre,16824 32 Ave ,Surrey,BC,V3S 0L5,Tel: 604-541-3261 ,www.semiahmoofamilyplace.com,,,-122.7552192,49.06011705
Education/ESL & Citizenship,Child & Teen  Education,family with children,new immigrant,Mandarin/English,Guildford Family Place ,10310 154 St,Surrey,BC,,Tel: 604-501-5844 (Victor) Call for times,www.surreylibraries.ca/programs-services/5378.aspx,,,-122.7950441,49.18936699
Education/ESL & Citizenship,Child & Teen  Education,family with children,new immigrant,S.U.C.C.E.S.S. Surrey Service Centre  ,S.U.C.C.E.S.S. Surrey Service Centre ,10090 152 St,Surrey,BC,,Tel. 604-588-6869 ext 108 (Monica),www.surreylibraries.ca/programs-services/5378.aspx,,,-122.8005815,49.18575463
Education/ESL & Citizenship,Child & Teen  Education,family with children,new immigrant,Punjabi/English,Newton Family Place, The Early Years Centre,6846 King George Blvd,Surrey,BC,,Tel: 604-598-7379 (Surrinder),www.surreylibraries.ca/programs-services/5378.aspx,,,-122.8445297,49.12715611
Education/ESL & Citizenship,Child & Teen  Education,children,,Umoja Homework Help,,10025 Whalley Blvd,Surrey,BC,,Tel: 604-581-5574 ,www.umojaoperation.ca,,,-122.8434811,49.18495928
Education/ESL & Citizenship,Child & Teen  Education,family with children,,Whalley Family Resource Program,Oak Avenue Neighbourhood Hub,12740 102 Ave,Surrey,BC,,Tel: 604-580-2344  ,www.tinyurl.com/cr8bnc2,,,-122.8693954,49.18785903
Education/ESL & Citizenship,Adult Education,single adult ,,Invergarry Learning Centre ,,12772 88 Ave,Surrey,BC,V3W 3J9 ,Tel: 604-595-8218 ,www.surreyschools.ca/schools/iaec/Pages/default.aspx,,,-122.8691504,49.16244718
Education/ESL & Citizenship,Adult Education,single adult ,new immigrant,Newton Adult Education Centre,,12870 72 Ave,Surrey,BC,,Tel: 604-594-2000 ,www.surreyschools.ca/schools/newtonadulted/Pages/default.aspx,,,-122.8653874,49.13358041
Education/ESL & Citizenship,Adult Education,family with children,,P.E.A.P.S.  (Parent Education & Peer Support Program),Early Years Centre,6846 King George Blvd,Surrey,BC,,Tel: 604-580-2344 ,,Monday: 12 pm to 2 pm,PEAPS@options.bc.ca,-122.8445297,49.12715611
Education/ESL & Citizenship,Adult Education,family with children,,P.E.A.P.S.  (Parent Education & Peer Support Program),Cloverdale Rec Centre,6188 176 St,Surrey,BC,,Tel: 604-580-2345,,Wednesday: 12 pm to 2 pm,PEAPS@options.bc.ca,-122.7344604,49.11519194
Education/ESL & Citizenship,Adult Education,single adult ,,Queen Elizabeth Adult Education Centre,,9457 King George Blvd,Surrey,BC,,Tel: 604-581-1413 ,www.tinyurl.com/blt2u8q,,,-122.8461894,49.17405052
Education/ESL & Citizenship,Computer Classes,senior,,Chuck Bailey's Seniors Computer Club,,13458 107A Ave,Surrey,BC,V3T 0G4 ,Tel. 604-598-5898,www.surrey.ca/culture-recreation/10920.aspx,,,-122.849782,49.1971863
Education/ESL & Citizenship,Computer Classes,senior,,Cloverdale Seniors Computer Club,,6188 176 St,Surrey,BC,,Tel: 604-598-7960,www.surrey.ca/culture-recreation/8524.aspx,,,-122.7344604,49.11519194
Education/ESL & Citizenship,Computer Classes,senior,,Computer Sessions ,Seniors Come Share,15008 26 Ave ,Surrey,BC,V4P 3H5,Tel: 604-531-9400 (Terry),www.comeshare.ca,,,-122.8041991,49.04891781
Education/ESL & Citizenship,Computer Classes,senior,,Newton Senior's Computer Club,,13775  70 Ave,Surrey,BC,V3W 0E1,Tel: 604-501-5010  ,www.newtonseniorscomputerclub.com,,,-122.8409302,49.13016114
Education/ESL & Citizenship,English Language Lessons,new immigrant,family with children,DIVERSEcity ELSA program ,Newton,7330 137 St,Surrey,BC,,Tel: 604-597-0205 ext 1224,www.dcrs.ca,,,-122.8425791,49.13602606
Education/ESL & Citizenship,English Language Lessons,new immigrant,family with children,DIVERSEcity ELSA program ,Fleetwood,8855 156 St,Surrey,BC,,Tel: 604-597-0205 ext 1225,www.dcrs.ca,,,-122.7904667,49.16350597
Education/ESL & Citizenship,English Language Lessons,new immigrant,family with children,DIVERSEcity ELSA program ,Surrey Centre Library,10350 University Dr,Surrey,BC,,Tel: 604-597-0205 ext 1226,www.dcrs.ca,Mornings, with free off-site day care.,,-122.8495093,49.19075212
Education/ESL & Citizenship,English Language Lessons,new immigrant,,Douglas College  ELSA Level 4 & 5,,10060 King George Blvd,Surrey,BC,,Tel: 604-588-7772  ,www.tinyurl.com/a69ld2w,Office open Monday to Friday 8 am to 10 pm,,-122.8450716,49.18536694
Education/ESL & Citizenship,English Language Lessons,new immigrant,,ESL Classes ,Cedargrove Baptist Church,10330 144 St,Surrey,BC,V3T 4V3,,www.the-grove.net ,,esl@the-grove.net,-122.8228235,49.19047368
Education/ESL & Citizenship,English Language Lessons,new immigrant,, S.U.C.C.E.S.S. ELSA program,,10090 152 St,Surrey,BC,,Tel: 604-588-6869 ext 103  ,www.tinyurl.com/b3p2fvk,,,-122.8005815,49.18575463
Education/ESL & Citizenship,English Language Lessons,new immigrant,single adult,Surrey School District's Literacy Foundations ,Invergarry Adult Education Centre,12772  88 Ave ,Surrey,BC,V3W 3J9 ,Tel: 604-595-8218,,,,-122.8691504,49.16244718
Education/ESL & Citizenship,English Language Lessons,new immigrant,single adult,Surrey School District's Literacy Foundations ,Newton Adult Education Centre,12870 72 Ave,Surrey,BC,,Tel: 604-594-2000 ,www.tinyurl.com/a8gd7y6,,,-122.8653874,49.13358041
Education/ESL & Citizenship,English Language Lessons,new immigrant,,Umoja Literacy program,,10025 Whalley Blvd,Surrey,BC,V3T 4G1,Tel: 604-581-5574  ,www.umojaoperation.ca,,,-122.8434811,49.18495928
Education/ESL & Citizenship,Citizenship,new immigrant,,Discover Canada ,Cedargrove Baptist Church,10330 144 St,Surrey,BC,V3T 4V3,Tel: 604-581-8933  ,www.the-grove.net,,esl@the-grove.net,-122.8228235,49.19047368
Housing,Housing Referral & Registry Services,ALL,,Habitat Housing Society ,,13520 78 Ave,Surrey,BC,V3W 8J6,Tel: 604-590-7368   ,www.options.bc.ca,,,-122.8480559,49.14434602
Housing,Housing Referral & Registry Services,ALL,,Housing Registry,,13520 78 Ave,Surrey,BC,V3W 8J6,Tel: 604-590-7368  ,www.options.bc.ca,Call for drop in hours.,housing@options.bc.ca,-122.8480559,49.14434602
Housing,Housing Referral & Registry Services,ALL,,Housing Search Resource Room,,13771 72A Ave ,Surrey,BC,V3W 9C6,Tel: 604-596-2311  ,www.sourcesbc.ca,,,-122.8393133,49.13477813
Housing,Housing Referral & Registry Services,senior,,People Helping People ,,13458 107A Ave,Surrey,BC,BC V3T 0G4 ,Tel: 604-502-6366 ,www.surrey.ca/culture-recreation/1793.aspx,,,-122.849782,49.1971863
Housing,Affordable Housing Sites,,,Alder Gardens (YMCA),,13788 71 Ave,Surrey,BC,V3W 0M9,Tel: 604-895-5800 ,www.ywcavan.org/housingSubmit.php,,tbrubacher@ywcavan.org,-122.8395629,49.13124544
Housing,Affordable Housing Sites,aboriginal,,Kekinow Native Housing Society ,,7445 132 St,Surrey,BC,V3W 1J8,Tel: 604-591-5299  ,www.kekinow.ca,,info@kekinow.ca ,-122.8569802,49.13788696
Housing,Affordable Housing Sites,family with children,special needs,Newton Kinsmen Housing Society  Ravine Estates ,,11030 Ravine Rd,Surrey,BC,V3T 5S2,Tel: 604-581-2322 ,,,,-122.8545332,49.20318417
Housing,Affordable Housing Sites,senior,,PICS Seniors Housing Complex,,7566 120A St,Surrey,BC,,Tel: 604-596 0053,www.pics.bc.ca,,,-122.8886871,49.14052987
Housing,Affordable Housing Sites,senior,,Sunnyside Villas ,,2603 151st St,Surrey,BC,,,,,,-122.8042402,49.04940193
Housing,Shelters & Transition/Safe Houses,single adult ,,Extreme Weather Shelter ,Cloverdale Christian Fellowship,17802 66 Ave,Surrey,BC,,Tel: 778-233-8735 Daytime; 604-574-1725 After 7pm ,,Doors open 7 pm to 7 am,,-122.7289638,49.12218716
Housing,Shelters & Transition/Safe Houses,ALL,,Gateway Shelter (The Front Room) ,,10667 135 A St,Surrey,BC,,Tel: 604-589-7777 ,,,,-122.8470568,49.19637938
Housing,Shelters & Transition/Safe Houses,single adult ,,Hyland House ,,6595 King George Blvd,Surrey,BC,,Tel: 604-599-8900, Mobile Outreach Worker: 604-765-6751,tinyurl.com/b96fjqh,,,-122.8459244,49.12268571
