STRUCTURE_TYPE,STRUCTURE_TYPE2,DESCRIPTION,LOCATION,STRUCTURE_DETAIL_TYPE,SPECIAL_FEATURES,MATERIAL_TYPE,WIDTH_M,SEATING_TYPE,GIFT_DONATION,PLAQUE_DETAIL,BENCH_STYLE,CAPACITY,DIMENSION_M2,COMPONENT_TYPE,SURFACE_MATERIAL,WINTERIZED,LENGTH_M,HOUSE_NO,STATUS,STATUS_DATE,PARK_OWNERSHIP,INSERVICE_DATE,INSERVICE_COST,CONDITION,YRS_LIFE_EXPECTANCY,WARRANTYDATE,WARRANTY_PROVIDER,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,Latitude,Longitude
3,Shelters and Tables,"Table #10 - Permanent; Green Timbers Urban Forest Park, 14698 96 Ave","east side of lake, in picnic area",,,Plastic,,,,,,,,Table - Permanent,,,,14698,OPERATING,20091023145700,,20090801,0,,,,,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,49.180771,-122.820003
3,Shelters and Tables,"Table #11 - Permanent; Green Timbers Urban Forest Park, 14698 96 Ave","east side of lake, in picnic area",,,Plastic,,,,,,,,Table - Permanent,,,,14698,OPERATING,20091023145800,,20090801,0,,,,,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,49.180576,-122.819826
3,Shelters and Tables,"Table #3 - Permanent; Bakerview Park, 1845 154 St",east of playground,,,Wood,,,,,,,,Table - Permanent,,,,01845,OPERATING,20100218130400,,20090201,0,,,,,"Bakerview Park, 1845 154 St",Park,49.035080,-122.797038
3,Shelters and Tables,"Table #4 - Permanent; Bakerview Park, 1845 154 St",east of playground,,,Wood,,,,,,,,Table - Permanent,,,,01845,OPERATING,20100218130600,,20090201,0,,,,,"Bakerview Park, 1845 154 St",Park,49.034971,-122.796962
3,Shelters and Tables,"Table #5 - Permanent; Bakerview Park, 1845 154 St",east of playground,,,Wood,,,,,,,,Table - Permanent,,,,01845,OPERATING,20100218130600,,20090201,0,,,,,"Bakerview Park, 1845 154 St",Park,49.034943,-122.797092
3,Shelters and Tables,"Table #9 - Permanent; Unwin Park, 13313 68 Ave",east of diamond 1,,,Wood,,,,,,,,Table - Permanent,,,,13313,OPERATING,20100624170500,,,0,,,,,"Unwin Park, 13313 68 Ave",Park,49.129900,-122.852681
3,Shelters and Tables,"Table #1 - Portable; Green Timbers Park, 14255 96 Ave",just east of West Cape Cod building,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806095700,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.179009,-122.830565
3,Shelters and Tables,"Table #2 - Portable; Green Timbers Park, 14255 96 Ave",SW of West Cape Cod building,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806100600,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178805,-122.831089
3,Shelters and Tables,"Table #3 - Portable; Green Timbers Park, 14255 96 Ave",SW of West Cape Cod building,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806100700,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178857,-122.831183
3,Shelters and Tables,"Table #4 - Portable; Green Timbers Park, 14255 96 Ave",along West edge of commemorative planting,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806100800,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178378,-122.830186
3,Shelters and Tables,"Table #5 - Portable; Green Timbers Park, 14255 96 Ave",along West edge of commemorative planting,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806101000,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178283,-122.830266
3,Shelters and Tables,"Table #6 - Portable; Green Timbers Park, 14255 96 Ave",along West edge of commemorative planting,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806101100,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178214,-122.830332
3,Shelters and Tables,"Table #7 - Portable; Green Timbers Park, 14255 96 Ave",along West edge of commemorative planting,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806101200,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178154,-122.830390
0,Benches and Bleachers,"2 Benches; Hunter Park - 88A, 5480 - 184A St",Near middle of park,,,,0,Bench,,,,0,,,,,,05480,OPERATING,,,,0,,,,,"Hunter Park, 5480 184A St",,49.102035,-122.711031
1,Gates,"Bollard; Robin Park, 11240 150 St",Robin Cr - SW corner of park,Bollard,,Metal,,,,,,,,,,,,11240,OPERATING,,,,,,,,,"Robin Park, 11240 150 St",Park,49.206120,-122.806070
