SUPPLIER NAME, AGGREGATE AMOUNT PAID TO SUPPLIER 
0890551 BC LTD. DBA ALPINE LANDSCAPING,"232,305.48"
0946235 B.C. LTD.,"59,787.00"
164 DEVELOPMENT INC.,"76,473.60"
360 SURVEILLANCE INC.,"51,755.20"
365 PRODUCTIONS INC,"150,156.36"
3M CANADA COMPANY COMPAGNIE 3M CANADA,"239,043.87"
3R DEMOLITION CORP,"449,554.16"
4TH UTILITY INCORPORATED,"117,014.34"
624270 BC LTD.,"72,334.43"
635913 BC LTD DBA MUSTANG CONTRACTING,"145,241.26"
654465 B.C. LTD DBA M J PAWLOWSKI & ASSOCIATES,"25,095.29"
7218 KG FINANCIAL INC. C/O VALUE PROPERTY CENTRE INC,"575,434.78"
A&G SUPPLY LTD.,"307,222.84"
A.C. PAVING COMPANY LTD.,"825,162.11"
A.R. THOMSON GROUP,"31,631.93"
A.R.M. CONTRACTING,"94,967.25"
A.S.I. MANUFACTURING LTD.,"25,456.20"
ABBOTSFORD COMMUNITY SERVICES,"44,974.46"
ABC TRANSMISSIONS LTD.,"34,358.81"
ABNEY ROOFING LTD.,"46,415.91"
ACE LOCK  &  KEY,"56,315.83"
ACKLANDS-GRAINGER INC.,"87,762.46"
ACME VISIBLE FILING SYSTEMS LTD.,"45,914.85"
ACOM BUILDING MAINTENANCE LTD.,"1,142,151.00"
ACRODEX INC.,"294,413.08"
ACTION GLASS INC.,"25,740.50"
ACTION STAINLESS LTD.,"139,910.40"
ADCENTIVES,"595,147.49"
ADS ENVIRONMENTAL SERVICES,"577,964.03"
AECOM CANADA LTD.,"141,636.21"
AEGIS INDUSTRIAL FINISHING LTD,"28,704.38"
AGGRESSIVE TUBE BENDING INC.,"25,871.80"
AJS DESIGN INC.,"35,842.13"
ALL PRO SERVICES LTD.,"214,557.30"
ALLIANCE  FIRE & SAFETY CO.,"41,264.69"
ALLONDALE ANIMAL HOSPITAL,"65,874.82"
ALPHA NEON (2012) LTD.,"25,449.43"
ALSCO CANADA CORPORATION,"39,601.54"
ALTASTREAM POWER SYSTEMS,"166,455.79"
AMAZON COM,"29,453.62"
AMBIENT DYNAMICS LTD.,"50,047.20"
AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE,"55,444.19"
AMERESCO CANADA LTD.,"30,450.00"
ANDREW SHERET LIMITED,"711,168.26"
ANGEL ANIMAL HOSPITAL,"90,725.25"
ANTHEM WEST CLAYTON DEVELOPMENT LP,"210,685.73"
APLIN &  MARTIN CONSULTANTS LTD.,"989,413.05"
APOLLA DEVELOPMENT LTD.,"73,500.00"
APPLE CANADA INC.,"114,936.73"
ARCOSE CONSULTING LTD.,"33,522.00"
ARGUS CARRIERS LTD.,"234,031.15"
ARTS CLUB THEATRE COMPANY,"231,764.51"
ART'S NURSERY LIMITED,"49,663.64"
ASSA ABLOY ENTRANCE SYSTEMS CANADA INC.,"64,193.72"
ASSOCIATED ENGINEERING (B.C.) LTD.,"793,486.14"
ASSOCIATED FIRE SAFETY EQUIPMENT INC.,"218,465.86"
ASTECH CONSULTANTS LTD.,"86,588.58"
ASTROGRAPHIC INDUSTRIES LTD.,"35,702.34"
ATHELITE SPORTS ACADEMY INC.,"206,487.85"
ATHWAL CONSTRUCTION INC.,"387,850.26"
ATLANTIC INDUSTRIES LIMITED,"66,182.99"
ATLAS POWER SWEEPING LTD.,"136,444.92"
"AUDIO VISUAL SYSTEM INTEGRATION INC., DBA SHARP'S AUDIO VISUAL","86,693.65"
AVENUE MACHINERY CORP.,"110,387.81"
B C HYDRO & POWER AUTHORITY,"11,056,395.40"
B&B BEARING AND ELECTRIC MOTOR LTD.,"37,764.30"
B&B CONTRACTING (2012) LTD.,"8,258,888.86"
B&R METALWORKS 1998 INC.,"132,180.83"
B.A. BLACKTOP LTD.,"3,248,539.33"
B.C. HARDWOOD FLOOR CO. LTD.,"36,025.76"
BADGER DAYLIGHTING LP,"329,053.16"
BAG TO EARTH INC.,"92,610.00"
BAILLIE & ASSOCIATES CONSULTING LTD.,"25,300.80"
BARCO INC.,"39,168.90"
BARNES WHEATON (NORTH SURREY) CHEVROLET BUICK GMC LTD.,"37,521.74"
BASH MASTERS CATERERS LTD.,"42,966.00"
BAY HILL CONTRACTING LTD.,"25,635.91"
BC BOILER SERVICES LTD.,"56,259.52"
BC EVENT MANAGEMENT INC.,"98,659.50"
BC HYDRO & POWER AUTHORITY,"152,830.11"
BC ONE CALL LIMITED,"29,410.76"
BC PLANT HEALTH CARE INC.,"2,816,858.04"
BCRS ROAD SAFE INC.,"1,128,041.55"
BD HALL CONSTRUCTORS CORPORATION,"5,352,857.68"
BDI A DIVISION OF BELL  MOBILITY INC.,"37,734.09"
BE GARDENING & LANDSCAPING,"69,098.38"
"BEL CONTRACTING, A DIVISION OF BELPACIFIC EXCAVATING & SHORING LIMITED PARTNERSHIP","1,394,629.23"
BELL CANADA,"103,897.25"
BELL MOBILITY INC.,"598,724.78"
BEST BUY,"26,318.88"
BETTSM CONTROLS INC.,"127,353.71"
BILL MATHERS CONTRACTING,"614,899.34"
BLACHERE ILLUMINATION CANADA,"44,856.00"
BLACK PRESS GROUP LTD.,"553,167.64"
BLACKALL INDUSTRIES INC D.B.A. HIGHLAND LOWBED SERVICE,"43,821.75"
BLACKRETE PAVING LTD.,"740,268.94"
BLACKSTONE CONSTRUCTION MANAGEMENT LTD.,"85,757.21"
BLINK ACRO,"31,641.76"
BLUE PINE ENTERPRISES LTD.,"41,013.00"
BMS INTEGRATED SERVICES INC,"53,691.03"
BOLLMAN ROOFING & SHEET METAL LTD.,"79,809.97"
BORDEN LADNER GERVAIS LLP,"34,454.70"
BOTTOMLINE TECHNOLOGIES [CANADA] INC.,"44,940.00"
BOULEVARD SIGNS INC. (DBA FASTSIGNS),"44,687.28"
BRANDT TRACTOR LTD.,"240,160.13"
BRAY ENTERPRISES LTD.,"46,124.40"
BRIERE PRODUCTION GROUP INC.,"247,705.15"
BRITISH COLUMBIA INSTITUTE OF TECHNOLOGY,"33,649.83"
BRITISH COLUMBIA MUNICIPAL SAFETY ASSOCIATION,"80,594.06"
BRITISH COLUMBIA SAFETY AUTHORITY,"42,775.81"
BUDGET BRAKE & MUFFLER AUTO CENTRES,"227,213.45"
BUNT & ASSOCIATES ENGINEERING (BC) LTD.,"36,235.51"
BUSCH SYSTEMS INTERNATIONAL,"61,445.67"
BUSY BEE SANITARY SUPPLIES INC.,"108,974.87"
BYTE CAMP EDUCATION SOCIETY,"37,320.60"
C W B CONSTRUCTION & LANDSCAPING,"190,354.01"
C.E.S. ENGINEERING LTD.,"65,415.11"
CALIAN LTD.,"441,604.21"
CAMCENTRAL SYSTEMS INC.,"256,487.86"
CAN AM BUILDING SUPPLY LTD.,"29,335.95"
CAN RIDGE INDUSTRIES LTD.,"37,491.62"
CANADA POST CORPORATION,"126,000.00"
CANADA REVENUE AGENCY,"10,030,846.75"
CANADA'S BIG TRUCK RENTAL,"84,386.56"
CANADIAN DEWATERING LP,"36,248.17"
CANADIAN HORIZONS (18TH AVENUE) DEVELOPMENT CORP,"211,500.00"
CANADIAN LAWN CARE SERVICES LTD.,"127,232.36"
CANADIAN MATTRESS RECYCLING INC.,"184,706.30"
"CANADIAN UNION OF PUBLIC EMPLOYEES, SURREY LOCAL 402","2,661,545.78"
CANCO CRANES & EQUIPMENT LTD,"53,704.02"
CANEM SYSTEMS LTD.,"39,099.23"
CANNOR NURSERIES LTD.,"141,015.70"
CANSEL SURVEY EQUIPMENT LTD.,"82,934.36"
CANSTAR RESTORATIONS,"52,126.81"
CAPILANO HIGHWAY SERVICES COMPANY,"47,722.50"
CAPITAL TECHNOLOGY PARTNERS,"78,037.26"
CARSCADDEN STOKES MCDONALD ARCHITECTS INC.,"608,806.91"
"CARSWELL, A DIVISION OF THOMSON CANADA LIMITED","46,385.17"
CARTER CHEVROLET BUICK GMC CADILLAC LTD.,"33,184.48"
CASCADIA ENERGY LTD.,"605,695.22"
CATALYS LUBRICANTS INC.,"41,843.02"
CATERING VISIONS,"90,851.48"
CDC CONSTRUCTION LTD.,"356,226.14"
CDN TIRE STORE,"30,945.07"
CEDAR CREST LANDS (B.C.) LTD.,"522,158.64"
CEDAR RIM NURSERY LTD.,"138,404.67"
CF PROJECTS INC.,"127,338.75"
CHARTIS INSURANCE COMPANY OF CANADA,"72,571.18"
CHEMAQUA,"44,515.39"
CHERNOFF THOMPSON ARCHITECTS,"57,071.54"
CHEVRON CANADA LIMITED,"104,640.49"
CHRISTIE LITES (VANCOUVER) INC,"27,659.67"
CINTAS,"65,714.29"
CITRIX SYSTEMS INC.,"58,237.18"
CITY OF LANGLEY,"47,255.12"
CITY OF VANCOUVER,"160,060.91"
CLASSIS CUSTOM SITE FURNISHINGS LTD.,"25,536.00"
CLEAN FOR YOU CLEANING SERVICES LTD.,"188,291.18"
CLEAN IT RECYCLING SOLUTIONS INC.,"32,042.56"
CLEARTECH INDUSTRIES INC.,"370,087.77"
CLEMAS CONTRACTING LTD.,"32,151.00"
CLOVER TOWING LTD.,"141,620.45"
CLOVERDALE BUSINESS IMPROVEMENT ASSOC.,"183,500.00"
CLOVERDALE PAINT INC.,"151,423.36"
COAST POWERTRAIN LTD.,"34,712.82"
COASTAL CONTROLS LTD,"36,327.55"
COASTAL TRAINING CONSULTANTS LTD.,"26,216.06"
COASTLAND ENGINEERING & SURVEYING LTD.,"66,981.46"
COBRA ELECTRIC  LTD.,"4,520,521.73"
COLLIERS MACAULAY NICOLLS INC.,"131,072.07"
COLLINGWOOD APPRAISALS LTD.,"51,576.68"
COLUMBIA BITULITHIC - DIVISION OF LAFARGE CANADA INC.,"63,687.96"
COMMERCIAL LIGHTING PRODUCTS LTD.,"115,721.53"
COMMERCIAL TRUCK EQUIPMENT CO.,"107,792.02"
COMMISSIONAIRES BC,"103,519.00"
COMPASS GROUP CANADA LTD,"58,472.28"
COMPLETE POWER SYSTEMS LTD.,"35,813.41"
COMPUTRONIX (CANADA) LTD.,"99,388.45"
CONCORD SECURITY CORPORATION,"1,922,145.48"
CONTENT STRATEGY INC.,"55,660.50"
COREPM SERVICES Ltd. dba CORE PROJECT MANAGEMENT,"25,574.54"
CORIX UTILITIES INC.,"2,479,113.18"
CORIX WATER PRODUCTS LP,"126,728.77"
COX INSURANCE ASSOCIATES ADJUSTING CORPORATION,"30,983.64"
CPS (CANADA) INC.,"40,218.93"
CREATIVE TRANSPORTATION SOLUTIONS LTD.,"47,935.13"
CRESCENT BEACH LIFE GUARDING CORPORATION,"97,125.00"
CRESSEY DEVELOPMENT LLP,"3,287,188.64"
CROCKER EQUIPMENT CO. LTD.,"43,047.05"
CROWN CONTRACTING LIMITED,"2,481,681.89"
CSDC SYSTEMS INC.,"338,687.42"
CTH SYSTEMS INC.,"281,359.80"
CUBEX LIMITED,"115,813.70"
CULINARY CAPERS CATERING INC.,"201,522.62"
CWPC PROPERTY CONSULTANTS LTD.,"53,296.95"
CYNTECH CONSTRUCTION LTD,"136,728.89"
DAFCO FILTRATION GROUP CORPORATION,"31,345.37"
DAMS FORD LINCOLN SALES LTD.,"716,071.29"
DAVEY TREE EXPERT CO. OF CANADA LIMITED,"81,903.06"
DB PERKS & ASSOCIATES LTD.,"235,362.25"
DECCAN INTERNATIONAL,"32,866.50"
DELL CANADA INC.,"1,210,171.76"
DELOITTE LLP,"97,650.00"
DELPHI GROUP,"83,747.97"
DELTA AGGREGATES LTD.,"112,509.99"
DENBOW TRANSPORT LTD.,"98,402.46"
DIAMOND HEAD CONSULTING LTD.,"571,792.22"
DILIGENT CORPORATION,"68,911.50"
DILLON CONSULTING LIMITED,"813,629.39"
DINESEN NURSERIES LTD.,"472,751.90"
DIRECT EQUIPMENT WEST LTD.,"56,582.79"
DIVISION 15 MECHANICAL LTD.,"3,031,318.87"
DJ WEEDBUSTERS LTD.,"136,809.24"
DMD & ASSOCIATES LTD.,"59,245.39"
DOUBLE M EXCAVATING LTD.,"440,710.18"
DOUBLE R RENTALS 1987 LIMITED,"96,963.47"
DOWNTOWN SURREY BUSINESS IMPROVEMENT ASSOCIATION,"906,963.00"
DREAMSEATS LLC,"44,604.59"
DUMARESQ SOFTWARE AND CONSULTING,"41,475.00"
DYE & DURHAM CORPORATION,"220,754.85"
DYNA ENGINEERING LTD.,"25,809.28"
DYNAMIC OWL CONSULTING INC.,"46,562.07"
E.B. HORSMAN & SON,"53,437.01"
EAST RICHMOND NURSERIES INC.,"80,780.05"
"E-COMM,EMERGENCY COMMUNICATION FOR BRITISH COLUMBIA INC.","972,426.65"
"ECONOLITE CANADA, INC.","221,656.06"
ECOWASTE INDUSTRIES LTD.,"179,812.41"
ECOWORKS LANDSCAPE SERVICES LTD.,"165,554.03"
EDI ENVIRONMENTAL DYNAMICS INC.,"29,043.71"
EDIFICE CONSTRUCTION INC.,"186,601.01"
EECOL ELECTRIC CORP,"35,729.27"
ELK FITNESS REPAIR,"164,991.89"
ELLA VENTURES LTD. DBA BC UPFITTERS AND LINE-X,"47,980.12"
ELLISDON CORPORATION,"4,446,249.64"
EMCO CORPORATION,"334,643.52"
ENCOM WIRELESS DATA SOLUTIONS,"158,350.50"
ENGINEERED PUMP SYSTEMS LTD.,"66,896.15"
ENKON ENVIRONMENTAL,"158,661.86"
ENM DEVELOPMENTS LTD.,"35,712.50"
ENTERPRISE RENT-A-CAR CANADA COMPANY,"45,423.23"
ERICSSON MFG. LTD.,"43,042.56"
EROSION CONTROL CONTRACTORS INC.,"29,065.59"
ESC AUTOMATION INC.,"28,560.14"
ESRI CANADA LIMITED,"610,407.50"
EUROVIA BRITISH COLUMBIA INC.,"5,246,736.58"
EVENTPOWER,"80,146.36"
EXOTEK SYSTEMS,"71,093.70"
EXTREME GLASS LTD.,"73,907.84"
FABCO PLASTICS WESTERN (BC),"80,029.36"
FAMILY SERVICES OF GREATER VANCOUVER,"139,889.99"
FARM-TEK SERVICES INC.,"234,376.15"
FDM SOFTWARE LTD.,"133,073.68"
FEDERATION OF CANADIAN MUNICIPALITIES,"67,065.77"
FERNGROVE GARDEN CARE,"62,305.42"
FINAL DRIVE INVESTMENTS LTD,"51,988.65"
FINNING INTERNATIONAL INC.,"410,510.52"
FIRST TRUCK CENTRE VANCOUVER INC.,"355,762.93"
FIRSTONSITE RESTORATION L.P.,"169,946.21"
FITNESS TOWN COMMERCIAL (FTC),"159,540.58"
FLEETWOOD BUSINESS IMPROVEMENT ASSOCIATION,"225,000.00"
FLYNN CANADA LTD.,"184,724.40"
FOCUS PRE-PRESS SYSTEMS,"30,865.84"
FORRESTER SWITZERLAND GMBH,"55,193.22"
FORTISBC - NATURAL GAS,"706,697.58"
FORTRAN TRAFFIC SYSTEMS LTD,"32,258.69"
FRASER HEIGHTS ANIMAL HOSPITAL,"81,354.30"
FRASER VALLEY EQUIPMENT LTD.,"75,627.70"
FRASER VALLEY REFRIGERATION LTD.,"418,760.41"
FRICIA CONSTRUCTION INC.,"426,312.46"
FROGGERS CREEK TREE CONSULTANTS LTD.,"31,531.51"
G & R SINGH & SON TRUCKING LTD.,"352,120.55"
GARDAWORLD CASH SERVICES CANADA CORPORATION,"51,336.23"
GCL CONTRACTING AND ENGINEERING INC.,"3,806,838.77"
GEMCO CONSTRUCTION LTD.,"37,275.00"
GEOPACIFIC CONSULTANTS LTD.,"53,249.85"
"GESCAN,  DIVISION OF SONEPAR CANADA INC.","37,452.42"
GEVERS ENGINEERING LIMITED,"109,646.09"
GFS BRITISH COLUMBIA INC.,"108,728.28"
GIBRALTAR HOLDINGS LTD.,"76,980.83"
GL ENTERPRISES,"40,696.05"
GOLD KEY SALES AND LEASE LTD.,"164,233.60"
GOLDER ASSOCIATES LTD.,"101,127.89"
GORANSON CONSTRUCTION LTD.,"265,012.33"
GRAHAM CONSTRUCTION & ENGINEERING,"35,350.84"
GRAHAM CONSTRUCTION & ENGINEERING LP,"8,295,657.09"
GRANDVIEW BLACKTOP LTD.,"423,597.90"
GREATER VANCOUVER REGIONAL DISTRICT,"25,833.68"
GREATER VANCOUVER SEWERAGE AND DRAINAGE DISTRICT,"33,515,150.00"
GREATER VANCOUVER WATER DISTRICT,"43,564,429.86"
GREEN OVER GREY LIVING WALLS AND DESIGN INC.,"29,138.62"
GREEN TIMBERS HERITAGE SOCIETY,"165,000.00"
GREGG DISTRIBUTORS (B.C.) LTD.,"66,110.72"
GRIFF BUILDING SUPPLIES LTD.,"46,084.78"
H.Y. ENGINEERING LTD.,"77,199.70"
HABITAT SYSTEMS INC.,"227,994.96"
HACH SALES & SERVICE CANADA INC.,"29,368.14"
HADDON HOLDINGS LIMITED,"35,287.71"
"HALTON RECYCLING LTD, DBA EMTERRA GROUP & EMTERRA ENVIRO","54,463.66"
HANLEY AGENCIES LTD.,"420,803.30"
HARMONY EXPRESSIVE ARTS,"28,425.75"
"HARRIS CANADA SYSTEMS, INC.","55,009.06"
HARVEST FRASER RICHMOND ORGANICS LTD,"3,592,520.38"
HATCH MOTT MACDONALD LTD,"162,568.88"
HAZICO HOLDINGS,"37,651.51"
HAZMASTERS INC.,"64,669.23"
HCMA ARCHITECTURE +  DESIGN,"1,107,765.95"
HEATHERBRAE BUILDERS CO. LTD.,"3,482,235.86"
HEMMERA ENVIROCHEM INC.,"30,775.37"
HERITAGE OFFICE FURNISHINGS LTD.,"402,666.88"
HI-LITE TRUCK ACCESSORIES LTD.,"51,503.57"
HI-PRO SPORTING GOODS LTD.,"28,217.95"
HOLIDAYLIGHTS.COM INC. DBA STAR ILLUMINATIONS,"114,360.96"
HOOTSUITE MEDIA INC.,"51,253.94"
HORIZON LANDSCAPE CONTRACTORS INC.,"1,604,244.39"
HOULE ELECTRIC LIMITED,"127,439.36"
HRC CONSTRUCTION INC.,"208,991.90"
HUB FIRE ENGINES & EQUIPMENT LTD.,"25,276.02"
HUGH & MCKINNON REALTY LTD.,"67,741.84"
HYTEK MECHANICAL INC.,"228,122.59"
IBM CANADA LTD.,"176,027.88"
ICOM PRODUCTIONS INC.,"26,250.00"
IDEASPACE,"33,529.50"
IMPERIAL PARKING CANADA CORPORATION,"36,848.71"
IMPERIAL PAVING LIMITED,"470,389.09"
IMPEX MANAGEMENT LTD.,"108,566.47"
INDUSTRA CONSTRUCTION CORP,"63,614.08"
INLINE SALES AND SERVICE LTD.,"51,921.27"
INNOVATIVE TRAFFIC SOLUTIONS INC.,"106,310.40"
INPROTECT SYSTEMS INC.,"26,199.90"
INSIGHTS LEARNING & DEVELOMENT (CANADA WEST) LTD.,"39,585.00"
INSTANT LAWN TURF FARM(1994),"66,589.95"
INTEGRITY-PAAHI SOLUTIONS INC. DBA IPS,"51,458.80"
INTERNATIONAL CROWD MANAGEMENT INC.,"137,525.82"
INTERNATIONAL DIRECT RESPONSE SERVICES LTD,"360,049.30"
INTERNATIONAL WEB EXPRESS INC,"125,862.86"
INTERPROVINCIAL TRAFFIC SERVICES LTD.,"81,791.44"
IRC BUILDING SCIENCES GROUP BC INC,"27,462.75"
IRON MOUNTAIN CANADA CORPORATION,"151,142.41"
