SUPPLIER NAME, AGGREGATE AMOUNT PAID TO SUPPLIER 
0755013 BC LTD.,"83,056.96"
0789244 BC LTD.,"164,479.90"
0793916 BC LTD,"79,927.00"
0890551 BC LTD. DBA ALPINE LANDSCAPING,"170,722.77"
0915630 BC LTD,"51,454.20"
0920447 BC LTD.,"38,098.84"
0921879 B.C. LTD.,"151,853.27"
0922644 BC LTD.,"38,748.42"
0927281 B.C. LTD.,"40,594.00"
0946235 B.C. LTD.,"42,702.16"
0948184 BC LTD.,"122,286.54"
0966540 BC LTD,"493,741.47"
0969566 BC LTD.,"30,774.63"
360 SURVEILLANCE INC.,"587,767.57"
3M CANADA COMPANY COMPAGNIE 3M CANADA,"74,767.04"
4TH UTILITY INCORPORATED,"44,313.93"
581947 B.C. LTD.,"93,858.45"
624270 BC LTD.,"43,898.94"
635913 BC LTD DBA MUSTANG CONTRACTING,"256,957.83"
690174 B.C.  LTD.,"32,552.10"
7218 KG FINANCIAL INC. C/O VALUE PROPERTY CENTRE INC,"550,588.97"
A&G SUPPLY LTD.,"48,309.93"
A.A. ADVERTISING LTD.,"83,338.75"
A.R. THOMSON GROUP,"35,074.47"
A.R.M. CONTRACTING,"81,746.07"
ABBOTSFORD COMMUNITY SERVICES,"29,428.94"
ABD TRUCK CRANE SERVICE LTD.,"48,811.37"
ACAPULCO POOLS LTD.,"37,224.92"
ACCURACIA SECURITY PATROL LTD,"259,004.15"
ACE LOCK  &  KEY,"55,967.87"
ACKLANDS-GRAINGER INC.,"88,550.81"
ACME VISIBLE FILING SYSTEMS LTD.,"33,342.68"
ACOM BUILDING MAINTENANCE LTD.,"936,957.65"
ACRODEX INC.,"141,482.05"
ACTION STAINLESS LTD.,"63,797.24"
ACTIVE FIRE & SAFETY SERVICES LTD.,"30,547.84"
ACTIVE FITNESS EQUIPMENT SERVICES LTD.,"58,076.61"
ADCENTIVES,"170,467.46"
ADS ENVIRONMENTAL SERVICES,"59,085.79"
AECOM CANADA LTD.,"651,421.75"
AEROTEK ULC,"76,299.30"
AFFILIATION OF MULTICULTURAL SOCIETIES SERVICE AGENCIES BC,"25,076.27"
"ALEXANDER, HOLBURN, BEAUDIN & LANG LLP BARRISTERS&SOLICITORS","157,075.09"
ALLIANCE  FIRE & SAFETY CO.,"30,744.99"
ALLONDALE ANIMAL HOSPITAL,"60,450.70"
ALPHA BETA (HYLAND PROPERTIES)LTD.,"95,246.11"
ALPINE BIKE PARKS CANADA LTD,"197,557.30"
ALSCO CANADA CORPORATION,"32,316.34"
ALTASTREAM POWER SYSTEMS,"180,768.36"
ALTIVON L.P.,"54,696.93"
AMBROS DEVELOPMENTS VI LTD.,"43,706.04"
AMERESCO CANADA LTD.,"30,712.50"
AMPCO MANUFACTURERS INC.,"111,095.23"
ANDREW SHERET LIMITED,"944,331.61"
ANGEL ANIMAL HOSPITAL,"61,474.72"
ANTHEM FLEETWOOD 3 DEVELOPMENTS LTD.,"154,914.07"
ANTON ELECTRICAL SERVICES INC.,"53,862.48"
APARC SYSTEMS LTD.,"109,035.79"
APEX GRANITE AND TILE INC,"33,966.45"
APEX TENT & EVENT RENTALS,"36,451.19"
APLIN &  MARTIN CONSULTANTS LTD.,"793,756.45"
APPLE CANADA INC.,"46,060.12"
ARGUS CARRIERS LTD.,"190,761.53"
ARMTEC LIMITED PARTNERSHIP,"34,104.05"
ARNOLD & SONS ROOFING LTD.,"30,739.65"
ART'S NURSERY LIMITED,"43,136.71"
ASSA ABLOY ENTRANCE SYSTEMS CANADA INC.,"31,605.93"
ASSOCIATED ENGINEERING (B.C.) LTD.,"775,786.65"
ASSOCIATED FIRE SAFETY EQUIPMENT INC.,"208,825.17"
ASTECH CONSULTANTS LTD.,"63,616.32"
ASTROGRAPHIC INDUSTRIES LTD.,"89,915.84"
ATHELITE SPORTS ACADEMY INC.,"129,149.44"
AVENUE MACHINERY CORP.,"47,463.53"
B & B BEARING AND ELECTRIC MOTOR LTD.,"102,624.16"
B & B CONTRACTING LTD.,"3,776,281.49"
B & B HEAVY CIVIL CONSTRUCTION LTD.,"482,790.71"
B & R METALWORKS 1998 INC.,"177,754.00"
B C HYDRO & POWER AUTHORITY,"9,035,279.90"
B.A. BLACKTOP LTD.,"29,145,722.32"
B.C. HARDWOOD FLOOR CO. LTD.,"73,931.64"
BADGER DAYLIGHTING LP,"1,055,434.29"
BAG TO EARTH INC.,"91,047.25"
BAILLIE & ASSOCIATES CONSULTING LTD.,"25,842.61"
BASH MASTERS CATERERS LTD.,"42,869.75"
BAY HILL CONTRACTING LTD.,"57,374.50"
BC BOILER SERVICES LTD.,"132,753.52"
BC EVENT MANAGEMENT INC.,"56,071.71"
BC PLANT HEALTH CARE INC.,"1,832,035.53"
BCR PROPERTIES LTD.,"119,716.71"
BCRS ROAD SAFE INC.,"45,508.71"
BE GARDENING & LANDSCAPING,"61,972.41"
BEDFORD TECHNOLOGY LLC,"110,842.68"
BEEDIE 132ND STREET SURREY LP,"75,010.71"
BELL CANADA,"921,369.60"
BELL DISTRIBUTION,"32,346.13"
BELL MOBILITY INC.,"550,223.90"
BENTON & OVERBURY LTD.,"39,045.63"
BFI CANADA INC. VANCOUVER DISTRICT,"12,095,690.16"
BILL MATHERS CONTRACTING,"495,338.77"
BING THOM ARCHITECTS INC.,"713,206.05"
BLACK PRESS GROUP LTD.,"250,390.21"
BLACKALL INDUSTRIES INC D.B.A. HIGHLAND LOWBED SERVICE,"35,684.62"
BLACKBURN YOUNG OFFICE SOLUTIONS,"37,060.80"
BLD DECOR AND SCENERY,"36,915.85"
BLUE PINE ENTERPRISES LTD.,"236,350.41"
BMS INTEGRATED SERVICES INC,"102,548.69"
BNSF RAILWAY COMPANY,"41,735.00"
BOB JAMES CONTRACTING,"36,000.07"
BORDEN LADNER GERVAIS LLP,"50,864.47"
BOUNDARY ELECTRIC (1985) LTD.,"92,516.00"
BOYDEN VANCOUVER,"57,444.20"
BRANDT TRACTOR LTD.,"186,408.81"
BRAY ENTERPRISES LTD.,"43,362.49"
BREEZE ADERA PROJECTS LTD.,"466,171.78"
BRIERE PRODUCTION GROUP INC.,"112,059.62"
BROOKFIELD INFRASTRUCTURE PARTNERSHIPS SURREY,"664,067.25"
BROOKLYN INVESTMENTS LTD,"42,450.93"
BRYCO PROJECTS INC,"1,681,654.63"
BUDGET BRAKE & MUFFLER AUTO CENTRES,"96,225.76"
BUSY BEE SANITARY SUPPLIES INC.,"124,636.16"
C.E.S. ENGINEERING LTD.,"41,580.00"
CAMCENTRAL SYSTEMS INC.,"197,740.20"
CAMPBELL HEIGHTS LIMITED PARTNERSHIP,"51,000.00"
CAN RIDGE INDUSTRIES LTD.,"25,259.10"
CANADA POST CORPORATION,"148,372.89"
CANADA REVENUE AGENCY,"8,680,463.55"
CANADA TICKET INC.,"28,038.27"
CANADIAN ENGINEERED PRODUCTS AND SALES LTD.,"484,559.32"
CANADIAN FUEL OIL POLISHING (1995) LTD.,"33,862.83"
CANADIAN LAWN CARE SERVICES LTD.,"112,348.89"
CANADIAN MATTRESS RECYCLING INC.,"86,302.60"
CANADIAN NATIONAL RAILWAY COMPANY,"33,020.96"
CANADIAN PACIFIC RAILWAY COMPANY,"34,964.94"
"CANADIAN UNION OF PUBLIC EMPLOYEES, SURREY LOCAL 402","2,305,820.85"
CANBRIGHT ENTERPRISES LTD.,"131,359.71"
CAN-DIVE CONSTRUCTION LTD.,"30,054.17"
CANNOR NURSERIES LTD.,"126,481.20"
CANSEL SURVEY EQUIPMENT LTD.,"28,510.48"
CANWEST CUTTING & CORING LTD.,"209,202.28"
CAPILANO HIGHWAY SERVICES COMPANY,"167,286.17"
CAPITAL TECHNOLOGY PARTNERS,"67,994.85"
CARDINAL CONTRACTING LTD.,"43,307.55"
"CARSWELL, A DIVISION OF THOMSON CANADA LIMITED","59,504.42"
CARTEL COMMUNICATION SYSTEMS INC.,"82,724.80"
CARTER DODGE CHRYSLER JEEP LTD,"173,884.98"
CASCADIA ENERGY LTD.,"487,800.20"
CASCADIA SPORT SYSTEMS INC.,"25,168.91"
CASH & CARRY ,"29,547.45"
CATALYS LUBRICANTS INC.,"28,136.46"
CDN TIRE STORE  ,"25,340.63"
CEDAR CREST LANDS (B.C.) LTD.,"1,398,090.80"
CEDAR RIM NURSERY LTD.,"71,490.69"
CENTRE FOR PUBLIC SAFETY AND CRIMINAL JUSTICE RESEARCH,"169,785.00"
CF PROJECTS INC.,"39,773.58"
CH2M HILL CANADA LIMITED,"93,844.27"
CHARTIS INSURANCE COMPANY OF CANADA,"66,783.33"
CHEMAQUA,"29,648.58"
CHERNOFF THOMPSON ARCHITECTS,"51,809.27"
CHEVRON CANADA LIMITED,"2,849,307.34"
CHRISTIE LITES (VANCOUVER) INC,"32,917.53"
CHRISTIE LITES SALES LTD.,"286,015.89"
CHURCHILL ARMOURED CAR SERVICE,"43,264.97"
CINTAS,"65,803.45"
CITRIX SYSTEMS INC.,"49,068.93"
CITY OF LANGLEY,"212,999.65"
CITY OF VANCOUVER,"26,157.25"
CLEAN FOR YOU CLEANING SERVICES LTD.,"294,645.31"
CLEARTECH INDUSTRIES INC.,"157,848.16"
CLEMAS CONTRACTING LTD.,"56,529.46"
CLOVER TOWING LTD.,"89,482.05"
CLOVERDALE BUSINESS IMPROVEMENT ASSOC.,"173,000.00"
COAST WHOLESALE APPLIANCES LTD.,"99,447.41"
COBRA ELECTRIC  LTD.,"5,624,405.38"
COGENT CONTRACTING INC.,"238,116.85"
COLLINGWOOD APPRAISALS LTD.,"39,391.86"
COLUMBIA BITULITHIC - DIVISION OF LAFARGE CANADA INC.,"455,538.13"
COMMERCIAL LIGHTING PRODUCTS LTD.,"174,579.71"
COMMISSIONAIRES BC,"854,303.13"
COMPASS GROUP CANADA LTD,"53,130.10"
COMPUTRONIX (CANADA) LTD.,"190,578.17"
CONCORD SECURITY CORPORATION,"2,009,541.70"
COOKE-SASSEVILLE SENC,"106,020.33"
CORIOLIS CONSULTING CORP.,"27,020.45"
CORIX UTILITIES INC.,"2,192,179.64"
CORIX WATER PRODUCTS LP,"102,094.55"
COUGAR METAL,"42,295.43"
COURTESY WINDOW CLEANERS LTD.,"25,890.90"
CREATIVE CHILDREN FURNITURE AND ART SUPPLIES LTD.,"27,388.93"
CREATIVE TRANSPORTATION SOLUTIONS LTD.,"173,478.38"
CRESCENT BEACH LIFE GUARDING CORPORATION,"94,250.00"
CRESSEY (DOUGLAS) DEVELOPMENT LP,"145,014.50"
CROCKER EQUIPMENT CO. LTD.,"49,994.28"
CROWN CONTRACTING LIMITED,"3,020,658.45"
CROYDON PROJECTS INC.,"79,732.80"
CSDC SYSTEMS INC.,"140,928.65"
CULINARY CAPERS CATERING INC.,"187,855.58"
CUMMINS WESTERN CANADA VANCOUVER BRANCH,"41,272.49"
CUSTOM LOADING LTD.,"270,877.59"
CWPC PROPERTY CONSULTANTS LTD.,"65,325.75"
D.A. ABERDEEN & ASSOCIATES LTD.,"101,713.72"
DAMS FORD LINCOLN SALES LTD.,"244,216.18"
DANMAR CONSTRUCTION LTD.,"244,747.91"
