SUPPLIER NAME, AGGREGATE AMOUNT PAID TO SUPPLIER 
0793916 BC LTD,"144,864.71"
0890551 BC LTD. DBA ALPINE LANDSCAPING,"230,296.04"
0919816 B.C. LTD.,"116,872.35"
0939827 BC LTD.,"25,543.56"
0946235 B.C. LTD.,"26,649.00"
0946314 B.C. LTD.,"89,325.60"
0974484 BC LTD.,"70,737.68"
0994960 B.C. LTD. dba J F BUTLER & SONS LTD.,"73,679.13"
341234 BC LTD. DBA MICROSERVE,"85,720.16"
365 PRODUCTIONS INC,"270,438.00"
3M CANADA COMPANY COMPAGNIE 3M CANADA,"143,104.21"
4TH UTILITY INCORPORATED,"65,601.63"
57TH AVENUE DEVELOPMENTS LTD.,"101,154.33"
624270 BC LTD.,"53,986.49"
635913 BC LTD DBA MUSTANG CONTRACTING,"230,066.67"
662347 BC LTD.,"413,795.08"
7218 KG FINANCIAL INC. C/O VALUE PROPERTY CENTRE INC,"566,003.35"
A&G SUPPLY LTD.,"102,791.66"
A.A. ADVERTISING LTD.,"72,904.93"
A.C. PAVING COMPANY LTD.,"1,350,702.76"
A.R.M. CONTRACTING,"103,026.00"
ABBOTSFORD COMMUNITY SERVICES,"63,014.39"
ABC TRANSMISSIONS LTD.,"34,316.09"
ABD TRUCK CRANE SERVICE LTD.,"26,688.48"
ABNEY ROOFING LTD.,"34,801.22"
ACE LOCK  &  KEY,"62,747.60"
ACKLANDS-GRAINGER INC.,"74,596.11"
ACME VISIBLE FILING SYSTEMS LTD.,"49,237.29"
ACOM BUILDING MAINTENANCE LTD.,"1,108,035.52"
ACRODEX INC.,"202,863.40"
ACTIVE FITNESS EQUIPMENT SERVICES LTD.,"65,185.79"
ADCENTIVES,"345,225.85"
ADS ENVIRONMENTAL SERVICES,"482,726.91"
ADVANCE WIRE PRODUCTS LTD.,"30,979.24"
AECOM CANADA LTD.,"365,486.17"
AGGRESSIVE TUBE BENDING INC.,"30,390.44"
ALARMTRON (B.C.) LTD.,"48,937.91"
ALBERTA TRAFFIC SUPPLY,"553,554.54"
"ALISON BLEDSOE, CONSULTANT","36,421.89"
ALL PRO SERVICES LTD.,"648,644.65"
ALLIANCE  FIRE & SAFETY CO.,"36,509.03"
ALLONDALE ANIMAL HOSPITAL,"49,997.43"
ALSCO CANADA CORPORATION,"36,791.26"
ALTASTREAM POWER SYSTEMS,"163,797.16"
AMAZON *MARKETPLCE CA,"29,494.42"
AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE,"34,090.78"
AMERESCO CANADA LTD.,"30,450.00"
ANDREW SHERET LIMITED,"463,249.88"
ANGEL ANIMAL HOSPITAL,"92,691.65"
APEX GRANITE AND TILE INC,"76,048.15"
APLIN &  MARTIN CONSULTANTS LTD.,"1,090,123.07"
APPLE CANADA INC.,"87,616.69"
"ARCHER PLASTICS, INC.","38,805.76"
ARGUS CARRIERS LTD.,"216,969.79"
ARMTEC LIMITED PARTNERSHIP,"82,938.60"
ARPAC STORAGE SYSTEMS CORPORATION,"372,812.76"
ARTS CLUB THEATRE,"262,025.05"
ART'S NURSERY LIMITED,"29,810.80"
ASSA ABLOY ENTRANCE SYSTEMS CANADA INC.,"26,880.53"
ASSOCIATED ENGINEERING (B.C.) LTD.,"648,284.57"
ASSOCIATED FIRE SAFETY EQUIPMENT INC.,"224,535.82"
ASTECH CONSULTANTS LTD.,"48,091.00"
ASTRO TURF WEST DISTRIBUTORS LTD.,"487,045.71"
ASTROGRAPHIC INDUSTRIES LTD.,"34,455.68"
ATHELITE SPORTS ACADEMY INC.,"180,091.87"
ATLAS POWER SWEEPING LTD.,"117,318.58"
AVENUE MACHINERY CORP.,"43,230.00"
B & B HEAVY CIVIL CONSTRUCTION LTD.,"841,329.73"
B&B BEARING AND ELECTRIC MOTOR LTD.,"52,514.66"
B&B CONTRACTING (2012) LTD.,"6,467,817.10"
B&R METALWORKS 1998 INC.,"167,198.60"
B.A. BLACKTOP LTD.,"3,566,041.52"
BADGER DAYLIGHTING LP,"1,281,049.20"
BAG TO EARTH INC.,"88,431.00"
BASH MASTERS CATERERS LTD.,"39,616.50"
BC BOILER SERVICES LTD.,"45,632.58"
