SUPPLIER NAME, AGGREGATE AMOUNT PAID TO SUPPLIER 
0695661 BC LTD.,248561.3
0760918 B.C. LTD.,47368
0825207 BC LTD.,50129
0866236 BC LTD,82915.84
0885838 B.C. LTD.,44684.33
0890551 BC LTD. DBA ALPINE LANDSCAPING,100743.85
0931701 B.C. LTD. DBA KAY GUMSLEY,112971.6
0962873 B.C. LTD.,25000
3M CANADA COMPANY COMPAGNIE 3M CANADA,98036.82
4REFUEL CANADA LP,113531.29
4TH UTILITY INCORPORATED,73244.52
555978 B.C. LTD.,332000
624091 ALBERTA LTD. O/A R & N MAINTENANCE WESTERN DIV,88162.29
635913 BC LTD DBA MUSTANG CONTRACTING,307159.08
690174 B.C.  LTD.,91598.09
7218 KG FINANCIAL INC. C/O VALUE PROPERTY CENTRE INC,563958.73
A & T EQUESTRIAN,25499.8
A&G SUPPLY LTD.,46452.42
A.A. ADVERTISING LTD.,58461.94
A.R. THOMSON GROUP,40512.07
A.R.M. CONTRACTING,60164.16
ABC TRANSMISSIONS LTD.,51811.64
ABD TRUCK CRANE SERVICE LTD.,40252.52
ABSOLUTE DEMOS & RENOS BY SALEX LTD.,88988.82
ACAPULCO POOLS LTD.,302150.3
ACCESS POINT INFORMATION CANADA LTD.,47584.36
ACCURACIA SECURITY PATROL LTD,276707.09
ACE LOCK  &  KEY,63012.66
ACKLANDS-GRAINGER INC.,131095.15
ACOM BUILDING MAINTENANCE LTD.,977363.54
ACRODEX INC.,174999.23
ACTION STAINLESS LTD.,85580.34
ACTIVE FIRE & SAFETY SERVICES LTD.,93784.87
ACTIVE FITNESS EQUIPMENT SERVICES LTD.,76354.47
ADCENTIVES,177315.05
ADVANCE DEMOLITION AND RECYCLING INC.,29120
AECOM CANADA LTD.,809316.93
AGRIUM ADVANCED TECHNOLOGIES,33453.73
"ALEXANDER, HOLBURN, BEAUDIN & LANG LLP BARRISTERS & SOLICITORS",161600.28
ALLIANCE  FIRE & SAFETY CO.,26308.55
ALLONDALE ANIMAL HOSPITAL,60156.3
ALPINE BIKE PARKS CANADA LTD,64336.16
ALPINE LANDSCAPING,54968.65
ALSCO CANADA CORPORATION,45507.74
ALTASTREAM POWER SYSTEMS,177500.31
ALTIVON L.P.,75360.45
AMERESCO CANADA LTD.,62139.7
ANDREW SHERET LIMITED,444908.44
ANGEL ANIMAL HOSPITAL,40551.88
ANIXTER CANADA INC.,139451.76
ANNEX CONSULTING GROUP INC.,359116.89
ANSAN INDUSTRIES LTD.,26331.2
ANTHEM CLOVERDALE RETAIL LP,30228.05
ANTHEM FLEETWOOD 3 DEVELOPMENTS LTD.,59192
ANTON ELECTRICAL SERVICES INC.,390565.77
APARC SYSTEMS LTD.,161753.78
APEX TENT & EVENT RENTALS,175194.89
APLIN &  MARTIN CONSULTANTS LTD.,798874.42
APPLE CANADA INC.,68180.88
APRIL CREEK JOINT VENTURE,53762.5
ARGUS CARRIERS LTD.,206953.76
ARMTEC LIMITED PARTNERSHIP,63661.74
ARNTORP MANAGEMENT LTD.,25140
ART´S NURSERY LIMITED,63060.15
ARTS CLUB THEATRE,248439.29
ASSOCIATED ENGINEERING (B.C.) LTD.,182868.53
ASSOCIATED FIRE & SAFETY,163519.55
ASSOCIATED FIRE SAFETY EQUIPMENT INC.,36161.24
ASTECH CONSULTANTS LTD.,31960.58
ASTROGRAPHIC INDUSTRIES LTD.,30087.13
ATHELITE SPORTS ACADEMY INC.,106088.12
ATLANTIC INDUSTRIES LIMITED,64455.82
ATLAS POWER SWEEPING LTD.,88205.29
AVENUE MACHINERY CORP.,34441.75
B & B BEARING AND ELECTRIC MOTOR LTD.,128081.5
B & B CONTRACTING LTD.,7897518.69
B & R METALWORKS 1998 INC.,124715.08
B C HYDRO & POWER AUTHORITY,8349127.36
B.A. BLACKTOP LTD.,46465531.52
B.C. HARDWOOD FLOOR CO. LTD.,33356.06
B.C.I.T.,29424.74
BADGER DAYLIGHTING LP,640395.9
BAG TO EARTH INC.,172277
BAILLIE & ASSOCIATES CONSULTING LTD.,25282.04
BANK OF MONTREAL,38743.71
BARBARA M. SMITH (Appraiser),65345.3
BARNES DISTRIBUTION CANADA,78804.36
BASH MASTERS CATERERS LTD.,86516.15
BAY HILL CONTRACTING LTD.,510622.1
BC BOILER SERVICES LTD.,166312.75
BC COMFORT AIR CONDITIONING LTD.,56400.43
BC EVENT MANAGEMENT INC.,101557.04
BC PLACE STADIUM,67200
BC PLANT HEALTH CARE INC.,1229158.3
BE GARDENING & LANDSCAPING,53285.07
BEATTY FLOORS LTD.,56018.2
BEEDIE 132ND STREET SURREY LP,67192.16
BELL CANADA,2230171.68
BELL MOBILITY INC.,525019.73
BELZONA MOLECULAR (B.C.) LTD,46746
BENTON & OVERBURY LTD.,40332.3
BERGER BOYZ EXCAVATING,46742.08
BEST FACILITIES SERVICES LTD.,67638.82
BFI CANADA INC. VANCOUVER DISTRICT,14275003.58
BFW DEVELOPMENTS LTD.,63043.9
BIGBELLY SOLAR,313746.91
BILL MATHERS CONTRACTING,511320.73
BING THOM ARCHITECTS INC.,998550.02
BIO-ORGANIC GARBAGE SERVICES LTD.,28304.14
BLACHERE ILLUMINATION CANADA,38231.97
BLACK PRESS GROUP LTD.,289329.38
BLACKALL INDUSTRIES INC D.B.A. HIGHLAND LOWBED SERVICE,29157.68
BLACKBURN YOUNG OFFICE SOLUTIONS,75616.24
BLD DECOR AND SCENERY,107214.39
BLUE MAX LIGHTING & EMERGENCY EQPT. LTD.,48984.23
BLUE PINE ENTERPRISES LTD.,31215.8
BLUEFISH COMMUNICATIONS,147803.6
BOARDWALK TOWNHOMES LTD.,57036.48
BORDEN LADNER GERVAIS LLP,58329.34
BRANDT TRACTOR LTD.,181692.2
BRAY ENTERPRISES LTD.,84618.15
BRIERE PRODUCTION GROUP INC.,105981.06
BRYCO PROJECTS INC,213054.96
BUDGET BRAKE & MUFFLER AUTO CENTRES,83343.58
BUNT & ASSOCIATES ENGINEERING (BC) LTD.,31377.8
BUSCH SYSTEMS INTERNATIONAL,28085.31
BUSY BEE SANITARY SUPPLIES INC.,149409.81
C.P. DISTRIBUTORS LTD.,30465.35
CAM MANAGEMENT SOLUTIONS,31360
CAMCENTRAL SYSTEMS INC.,285218.22
CAN RIDGE INDUSTRIES LTD.,26175.28
CANADA POST CORPORATION,207514.1
CANADA REVENUE AGENCY,8262429.12
CANADA SAFEWAY LIMITED,36735.94
CANADIAN DEWATERING LP,70929.27
CANADIAN LAWN CARE SERVICES LTD.,82123.35
CANADIAN MATTRESS RECYCLING INC.,131953.12
CANADIAN NATIONAL RAILWAY COMPANY,61929.3
CANADIAN PACIFIC RAILWAY COMPANY,65696.44
"CANADIAN UNION OF PUBLIC EMPLOYEES, SURREY LOCAL 402",2248569.1
CANBRIGHT ENTERPRISES LTD.,63259.51
CANNOR NURSERIES LTD.,239878.24
CANUEL CATERERS,93008.59
CANWEST CUTTING & CORING LTD.,198724.64
CAPILANO HIGHWAY SERVICES COMPANY,192711.76
CARPELL SURFACES INC,44758.11
"CARSWELL, A DIVISION OF THOMSON CANADA LIMITED",59301.66
CARTER CHEVROLET BUICK GMC CADILLAC LTD.,104600.16
CASCADE WEAR LTD.,33481.69
CASCADIA ENERGY LTD.,524465.63
CASH & CARRY,29906.7
CEDAR RIM NURSERY LTD.,85841.83
CF PROJECTS INC.,46707.06
CGI INFORMATION SYSTEMS & MGMT CONSULTANTS INC.,87615.36
CH2M HILL CANADA LIMITED,39028.91
CHARTIS INSURANCE COMPANY OF CANADA,62871.86
CHEMAQUA,27907.09
CHERNOFF THOMPSON ARCHITECTS,140187.31
CHEVRON CANADA LIMITED,2909432.83
CHRISTIE LITES (VANCOUVER) INC,123769.91
CHURCHILL ARMOURED CAR SERVICE,77845.01
CINTAS,52720.65
CITIWEST CONSULTING LTD.,100808.03
CITRIX SYSTEMS INC.,29086.5
CITY OF LANGLEY,28661.14
CLEAN FOR YOU CLEANING SERVICES LTD.,296561.18
CLEARTECH INDUSTRIES INC.,176220.03
CLEMAS CONTRACTING LTD.,48090
CLHB EXPLORATION SVC LTD.C3191,160726.54
CLOVER TOWING LTD.,47880
CLOVERDALE BUSINESS IMPROVEMENT ASSOC.,160000
CLOVERDALE CURLING CLUB,56981.24
COAST SPAS LIFESTYLES INC.,35941.6
COASTAL TRAINING CONSULTANTS LTD.,25854.5
COBRA ELECTRIC  LTD.,6384196.8
COBRA ELECTRIC (SOUTH COAST) LTD.,90119.01
COLLABORATORS IN KNOWLEDGE INC,122766
COLLINGWOOD APPRAISALS LTD.,42896.65
COMMERCIAL AQUATIC SUPPLIES,37096.99
COMMERCIAL LIGHTING PRODUCTS LTD.,196580.78
COMMERCIAL TRUCK EQUIPMENT CO.,31023
COMMISSIONAIRES BC,568022.94
COMPASS GROUP CANADA LTD,41224.69
COMPUGEN INC.,112223.57
COMPUTRONIX (CANADA) LTD.,198079.52
COMTEX MICRO SYSTEM INC.,59185.41
CONCORD SECURITY CORPORATION,904259
COOKE-SASSEVILLE SENC,43670.89
CORIX UTILITIES INC.,2446008.37
CORIX WATER PRODUCTS LP,257552.78
CRANE DESIGN & CONSULTING INC.,27450.5
CREATIVE CHILDREN FURNITURE AND ART SUPPLIES LTD.,31767.74
CRESCENT BEACH LIFE GUARDING CORPORATION,87150
CRESSEY (DOUGLAS) DEVELOPMENT LP,623002.22
CROCKER EQUIPMENT CO. LTD.,66098.21
CROWN CONTRACTING LIMITED,95751.35
CSDC SYSTEMS INC.,151215.24
CULINARY CAPERS CATERING INC.,193807.54
CURB KING BORDERLINE EDGING INC.,35592.69
CUSTOM LOADING LTD.,110357.52
CWPC PROPERTY CONSULTANTS LTD.,65362.78
CYPRESS SOLUTIONS,25822.11
