LOCATION,NAME,FACILITY_TYPE,WEBLINK,FACILITY_SUBTYPE,FACILITYID,LONGITUDE,LATITUDE
10504 139 ST,Our Lady Of Good Counsel,School,http://www.olgcschool.ca,Private,1001254922,-122.8353677,49.19346605
,Pacific Highway Border Crossing (Truck Crossing),Other,,,1001263698,-122.7341478,49.00301105
15181 FRASER HWY,Mr. Lube (Fleetwood),Garbage and Recycling,http://www.mrlube.com/en/Mr-Lube-Near-You/Locate-a-Mr-Lube/surrey-15181-fraser-highway.aspx?storeid=34&code=pc,Used Oil,1001254438,-122.8017491,49.16691268
8305 122A ST,Kennedy Trail Elementary School,School,https://www.surreyschools.ca/schools/kennedytrail/Pages/default.aspx,Elementary,1001251320,-122.8835609,49.15400798
13484 24 AVE,Elgin Park Secondary School,School,https://www.surreyschools.ca/schools/elginpark/Pages/default.aspx,Secondary,1001254156,-122.8484479,49.04461296
1730 142 ST,Bayridge Elementary School,School,https://www.surreyschools.ca/schools/bayridge/Pages/default.aspx,Elementary,1001267692,-122.8279786,49.03383901
13750 96 AVE,Surrey Memorial Hospital,Hospital,http://www.fraserhealth.ca/find_us/locations/our_locations?site_id=1792,,1001253734,-122.842543,49.17584644
14590 116A AVE,Iqra Islamic School,School,http://www.iqraschool.com,Private,1001254241,-122.818216,49.21383695
7778 152 ST,Eaglequest Golf Course,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,1001266716,-122.7994544,49.14393525
15093 FRASER HWY,Fleetwood Bottle Return Depot,Garbage and Recycling,https://www.return-it.ca/locations/fleetwood-bottle-depot/,Bottle Depot,1001270960,-122.8041902,49.16756679
9457 KING GEORGE BLVD,Queen Elizabeth Secondary School,School,https://www.surreyschools.ca/schools/queene/Pages/default.aspx,Secondary,1001264552,-122.847466,49.17452107
1880 LARONDE DR,Laronde (French Immersion) Elementary School,School,https://www.surreyschools.ca/schools/laronde/Pages/default.aspx,Elementary,1001246738,-122.8572599,49.03560735
11665 97 AVE,Royal Heights Elementary School,School,https://www.surreyschools.ca/schools/royalheights/Pages/default.aspx,Elementary,1001251063,-122.8988928,49.17942179
16060 108 ST,Fraser Heights Secondary School,School,https://www.surreyschools.ca/schools/fraserheights/Pages/default.aspx,Secondary,1001247732,-122.7771319,49.19775241
7218 KING GEORGE BLVD,Newton Bottle Depot Inc.,Garbage and Recycling,http://www.encorpinc.com,Bottle Depot,1001269785,-122.8444818,49.13425991
8226 146 ST,Janice Churchill Elementary School,School,https://www.surreyschools.ca/schools/janicechurchill/Pages/default.aspx,Elementary,1001264219,-122.816194,49.15271877
10929 160 ST,Erma Stephenson Elementary School,School,https://www.surreyschools.ca/schools/ermastephenson/Pages/default.aspx,Elementary,1001261444,-122.77949,49.20132827
5404 125A ST,Colebrook Elementary School,School,https://www.surreyschools.ca/schools/colebrook/Pages/default.aspx,Elementary,1001253510,-122.8738165,49.1013949
14123 92 AVE,Surrey Schools - District Education Centre,School,https://www.surreyschools.ca/About/ContactUs/Pages/default.aspx,Administration,1001262908,-122.8336047,49.17052495
12870 72 AVE,Princess Margaret Secondary School,School,http://www.sd36.bc.ca/pmarga/,Secondary,1001249683,-122.8656788,49.13190484
,Surrey Central Inn,Hotel,http://surreycentralinn.com/,,1001254586,-122.8357606,49.19200591
14439 104 AVE,Surrey Board of Trade,Other,http://www.businessinsurrey.com,,1001245453,-122.8221134,49.19180106
7057 191 ST,Hazelgrove Elementary School,School,https://www.surreyschools.ca/schools/hazelgrove/Pages/default.aspx,Elementary,1001251383,-122.6943466,49.13055392
13875 113 AVE,Surrey Traditional Elementary School,School,https://www.surreyschools.ca/schools/surreytraditional/Pages/default.aspx,Elementary,1001249963,-122.8379742,49.2082485
6225 136 ST,Traditional Learning Academy Homeschool Centre,School,http://schoolathome.ca/,Private,1001254142,-122.8458308,49.1159901
,Guildford Town Centre,Shopping Centre,https://www.guildfordtowncentre.com,,1001270132,-122.8040547,49.19003386
10135 132 ST,Old Yale Road Elementary School,School,https://www.surreyschools.ca/schools/oldyaleroad/Pages/default.aspx,Elementary,1001251851,-122.8575902,49.18685622
13585 62 AVE,Surrey Muslim School,School,http://www.surreymuslimschool.ca,Private,1001247571,-122.8457616,49.11563443
9750 140 ST,Jim Pattison Outpatient Care & Surgery Centre,Hospital,http://www.fraserhealth.ca/find-us/locations/our-locations?site_id=2500,,1001267536,-122.8331828,49.17939086
9815 140 ST,Surrey Community Service Centre,Municipal,http://www.scss.ca,,1001249573,-122.8355275,49.18066683
6248 144 ST,Sullivan Heights Secondary School,School,https://www.surreyschools.ca/schools/sullivanheights/Pages/default.aspx,Secondary,1001270687,-122.8216134,49.11638628
12355 PATULLO PL,Bridgeview Bottle & Return-It Depot,Garbage and Recycling,https://www.return-it.ca/locations/bridgeview-bottle-return-it-depot/,Bottle Depot,1001249640,-122.8793872,49.20325161
7599 KING GEORGE BLVD,Canadian Tire (Newton),Garbage and Recycling,http://www.canadiantire.ca/en.html,Used Oil,1001252882,-122.8477372,49.1402545
17465 60 AVE,William of Orange Christian School,School,http://www.credochs.com/wohome.cfm,Private,1001272892,-122.7389142,49.11261572
13367 97 AVE,A.H.P. Matthew Elementary School,School,https://www.surreyschools.ca/schools/ahpmatthew/Pages/default.aspx,Elementary,1001273958,-122.8532931,49.17958585
13140 88 AVE,Jenill Recycling,Garbage and Recycling,http://www.return-it.ca/locations/metro-vancouver/surrey/jenill-recycling/,Bottle Depot,1001255595,-122.8588412,49.16206343
,Ramada,Hotel,http://www.ramadalangleysurrey.com/,,1001269842,-122.69041,49.105219
13838 91 AVE,Creekside Elementary School,School,https://www.surreyschools.ca/schools/creekside/Pages/default.aspx,Elementary,1001269436,-122.8388079,49.1675546
13455 90 AVE,Cindrich Elementary School,School,https://www.surreyschools.ca/schools/cindrich/Pages/default.aspx,Elementary,1001272079,-122.8504806,49.16708525
