YEAR,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_INCLUDING_ CITY_CENTRE,CITY_CENTRE,SURREY_TOTAL
2006,51100,54550,58500,111160,68690,88000,22270,432000
2007,54590,55400,59300,113060,71220,92130,25840,445700
2008,57890,55950,59620,116160,74490,93650,27240,457760
2009,61040,56370,59720,118760,75380,93880,27230,465150
2010,63660,57170,60080,121970,77750,94820,27720,475450
2011,65470,57980,60400,124940,79370,95550,28080,483710
2012,67060,59050,60860,127440,81530,96840,29020,492780
2013,68380,59430,61500,129690,82920,99380,31530,501300
2014,69890,60050,61720,131470,84470,99770,31610,507370
2015,71300,60340,62440,133460,86680,102200,33480,516420
2016,72970,61330,62820,135470,90010,102620,33610,525220
