COMMUNITY,RESIDENTIAL PERMITS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,#REF!,,,,,
CLOVERDALE,Single Family Units*,8,16,18,,,,,,,,,,42,,,,,
,Coach House Units,0,0,0,,,,,,,,,,0,,,,,
,Two Family Units†,0,0,0,,,,,,,,,,0,,,,,
,Townhouse Units,41,0,0,,,,,,,,,,41,,,,,
,Apartment Units,0,48,0,,,,,,,,,,48,,,,,
,Sub-total,49,64,18,,,,,,,,,,131,,,,,
FLEETWOOD,Single Family Units*,17,22,17,,,,,,,,,,56,,,,,
,Coach House Units,0,0,0,,,,,,,,,,0,,,,,
,Two Family Units†,0,0,0,,,,,,,,,,0,,,,,
,Townhouse Units,22,0,0,,,,,,,,,,22,,,,,
,Apartment Units,0,0,0,,,,,,,,,,0,,,,,
,Sub-total,39,22,17,,,,,,,,,,78,,,,,
GUILDFORD,Single Family Units*,19,7,13,,,,,,,,,,39,,,,,
,Coach House Units,0,0,0,,,,,,,,,,0,,,,,
,Two Family Units†,0,0,0,,,,,,,,,,0,,,,,
,Townhouse Units,0,0,0,,,,,,,,,,0,,,,,
,Apartment Units,0,0,90,,,,,,,,,,90,,,,,
,Sub-total,19,7,103,,,,,,,,,,129,,,,,
NEWTON,Single Family Units*,23,29,35,,,,,,,,,,87,,,,,
,Coach House Units,0,0,0,,,,,,,,,,0,,,,,
,Two Family Units†,0,0,0,,,,,,,,,,0,,,,,
,Townhouse Units,14,38,29,,,,,,,,,,81,,,,,
,Apartment Units,0,0,0,,,,,,,,,,0,,,,,
,Sub-total,37,67,64,,,,,,,,,,168,,,,,
SOUTH SURREY,Single Family Units*,66,33,41,,,,,,,,,,140,,,,,
,Coach House Units,0,0,0,,,,,,,,,,0,,,,,
,Two Family Units†,0,0,0,,,,,,,,,,0,,,,,
,Townhouse Units,37,33,22,,,,,,,,,,92,,,,,
,Apartment Units,0,0,0,,,,,,,,,,0,,,,,
,Sub-total,103,66,63,,,,,,,,,,232,,,,,
WHALLEY,Single Family Units*,16,19,39,,,,,,,,,,74,,,,,
,Coach House Units,0,0,0,,,,,,,,,,0,,,,,
,Two Family Units†,0,0,0,,,,,,,,,,0,,,,,
,Townhouse Units,0,0,0,,,,,,,,,,0,,,,,
,Apartment Units,0,0,0,,,,,,,,,,0,,,,,
,Sub-total,16,19,39,,,,,,,,,,74,,,,,
SURREY,Single Family Units*,149,126,163,,,,,,,,,,438,,,,,
,Coach House Units,0,0,0,,,,,,,,,,0,,,,,
,Two Family Units†,0,0,0,,,,,,,,,,0,,,,,
,Townhouse Units,114,71,51,,,,,,,,,,236,,,,,
,Apartment Units,0,48,90,,,,,,,,,,138,,,,,
,Sub-total,263,245,304,,,,,,,,,,812,,,,,
,,,,,,,,,,,,,,,,,,,
* Includes secondary suites,,,,,,,,,,,,,,,,,,,
† Includes semi-detached and duplexes,,,,,,,,,,,,,,,,,,,
