MISC_ASSET_TYPE,MISC_ASSET_TYPE2,FACILITYID,LEGACYID,MATERIAL,LENGTH,NAME,RESPONSIBILITY,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
2,Roadside Memorial,1000959859,,,,,,,,,,,,,,,,,,,20081204,,49.206305,-122.857035
2,Roadside Memorial,1000959850,,,,Pole,,,,,,,,Pole,,,,,,,20081204,20081204,49.126224,-122.848455
2,Roadside Memorial,1000959765,,,,Pole,,,,,,,,Pole,,,,,,,20081203,20081204,49.138956,-122.834590
2,Roadside Memorial,1000959838,,,,Picture and Flowers,,,,,,,,Picture and Flowers,,,,,,,20081204,20081204,49.060253,-122.735064
2,Roadside Memorial,1000959763,,,,Lamp standard,,,,,,,,Lamp standard,,,,,,,20081203,20081204,49.142066,-122.890212
2,Roadside Memorial,1000959851,,,,Pole,,,,,,,,Pole,,,,,,,20081204,20081204,49.141020,-122.858808
2,Roadside Memorial,1000959767,,,,Cross on telephone pole,,,,,,,,Cross on telephone pole,,,,,,,20081203,20081203,49.045653,-122.834233
2,Roadside Memorial,1000959852,,,,,,,,,,,,,,,,,,,20081204,,49.162753,-122.822191
2,Roadside Memorial,1000959862,,,,Pole,,,,,,,,Pole,,,,,,,20081204,20081204,49.134777,-122.800936
2,Roadside Memorial,1000959863,,,,"Flowers, pictures and teddy",,,,,,,,"Flowers, pictures and teddy",,,,,,,20081204,20081204,49.052808,-122.681208
2,Roadside Memorial,1000959772,,,,Cross and flowers,,,,,,,,Cross and flowers,,,,,,,20081203,20081203,49.098207,-122.800934
2,Roadside Memorial,1000959848,,,,,,,,,,,,,,,,,,,20081204,,49.118989,-122.809538
2,Roadside Memorial,1000959853,,,,,,,,,,,,,,,,,,,20081204,,49.177113,-122.756753
2,Roadside Memorial,1000959846,,,,,,,,,,,,,,,,,,,20081204,20081204,49.108137,-122.838847
2,Roadside Memorial,1000959855,,,,,,,,,,,,,,,,,,,20081204,,49.100301,-122.761826
2,Roadside Memorial,1000959839,,,,,,,,,,,,,,,,,,,20081204,,49.140743,-122.756309
2,Roadside Memorial,1000959764,,,,,,,,,,,,,,,,,,,20081203,,49.112015,-122.856401
2,Roadside Memorial,1000959856,,,,Sign by SPCA,,,,,,,,Sign by SPCA,,,,,,,20081204,20081204,49.062218,-122.848729
2,Roadside Memorial,1000959858,,,,,,,,,,,,,,,,,,,20081204,,49.070035,-122.823161
2,Roadside Memorial,1000959849,,,,,,,,,,,,,,,,,,,20081204,,49.118830,-122.763667
2,Roadside Memorial,1000959842,,,,Flowers and cross,,,,,,,,Flowers and cross,,,,,,,20081204,20081204,49.039241,-122.713521
2,Roadside Memorial,1000959758,,,,,,,,,,,,,,,,,,,20081203,20081203,49.213409,-122.873503
2,Roadside Memorial,1000959857,,,,Pole,,,,,,,,Pole,,,,,,,20081204,20081204,49.155320,-122.773150
2,Roadside Memorial,1000959840,,,,Pole,,,,,,,,Pole,,,,,,,20081204,20100421,49.127944,-122.735055
2,Roadside Memorial,1000959854,,,,,,,,,,,,,,,,,,,20081204,,49.179516,-122.725166
2,Roadside Memorial,1000959843,,,,"T-shirt, flower pots and cross",,,,,,,,"T-shirt, flower pots and cross",,,,,,,20081204,20081204,49.060233,-122.691714
2,Roadside Memorial,1000959845,,,,Cross inside planter,,,,,,,,Cross inside planter,,,,,,,20081204,20081204,49.052794,-122.689664
2,Roadside Memorial,1000959847,,,,Pole,,,,,,,,Pole,,,,,,,20081204,20081204,49.118940,-122.850787
2,Roadside Memorial,1000959756,,,,,,,,,,,,,,,,,,,20081203,20081203,49.104663,-122.691343
2,Roadside Memorial,1000959861,,,,,,,,,,,,,,,,,,,20081204,,49.173636,-122.876372
2,Roadside Memorial,1000959860,,,,Pole,,,,,,,,Pole,,,,,,,20081204,20081204,49.140505,-122.845405
2,Roadside Memorial,1000959757,,,,,,,,,,,,,,,,,,,20081203,,49.184286,-122.812519
2,Roadside Memorial,1000959841,,,,Pole,,,,,,,,Pole,,,,,,,20081204,20081204,49.126074,-122.735017
2,Roadside Memorial,1000959844,,,,"Cross, canopy and flowers",,,,,,,,"Cross, canopy and flowers",,,,,,,20081204,20081204,49.052962,-122.689694
