NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,NODE_NO,NODE_SIZE,MATERIAL,INVERT,RIM_ELEVATION,I_I_SOURCE,I_I_QUANTITY,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,INSTALL_DATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ENABLED,ANCILLARYROLE,Latitude,Longitude
2,Riser Pocket,1000074737,27980,1247511591,75,PVC Plastic,0.81,,,,Abandoned,4515,1977,Surrey,,LINE BW-C,,,,,,,,20051117,20141029,0,0,49.212790,-122.875903
2,Riser Pocket,1000075076,27739,1294411635,75,PVC Plastic,0.69,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213580,-122.862935
2,Riser Pocket,1000074973,27478,1217010879,100,PVC Plastic,0.75,,,,In Service,S-757,1995,Surrey,,LINE BSW-E,,,,,,,,20051028,,1,0,49.199896,-122.884340
2,Riser Pocket,1000074974,27479,1216510882,100,PVC Plastic,0.6,,,,In Service,S-537,1986,Surrey,,LINE BSW-E,,,,,,,,20051028,,1,0,49.199976,-122.884502
2,Riser Pocket,1000074975,27482,1221410865,150,PVC Plastic,0.6,,,,Abandoned,C-4122,1995,Surrey,,LINE BSW-I  SEE ALSO S-010-067,,,,,,,,20051028,20081121,0,0,49.199663,-122.883144
2,Riser Pocket,1000074977,27450,1214510733,150,PVC Plastic,0.39,,,,In Service,4516,1978,Surrey,,LINE BSW-I,,,,,,,,20051027,,1,0,49.197275,-122.885053
2,Riser Pocket,1000074978,24361,1289011462,150,PVC Plastic,1.3,,,,In Service,4515,1987,Surrey,,,,,,,,,,20051103,,1,0,49.210445,-122.864430
2,Riser Pocket,1000074979,24364,1288911475,100,PVC Plastic,0.88,,,,In Service,4515,1978,Surrey,,LINE BE-I,,,,,,,,20051109,,1,0,49.210598,-122.864480
2,Riser Pocket,1000075084,27749,1307811635,75,PVC Plastic,0.91,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213574,-122.859251
2,Riser Pocket,1000074642,27847,1237211277,75,PVC Plastic,0.38,,,,In Service,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051114,,1,0,49.207120,-122.878758
2,Riser Pocket,1000074625,28124,1262711634,63,PVC Plastic,0.84,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20141030,0,0,49.213571,-122.871706
2,Riser Pocket,1000074645,27851,1221011314,63,PVC Plastic,0.48,,,,Abandoned,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051114,20081120,0,0,49.207792,-122.883231
2,Riser Pocket,1000074912,27373,1184310683,150,PVC Plastic,0.38,,,,Abandoned,4516,1978,Surrey,,,,,,,,,,20051025,20081121,0,0,49.196414,-122.893366
2,Riser Pocket,1000074913,27339,1195210603,100,PVC Plastic,0.72,,,,In Service,4516,1978,Surrey,,LINE BSW-B,,,,,,,,20051025,,1,0,49.194866,-122.890405
2,Riser Pocket,1000074914,27340,1195110600,150,PVC Plastic,0.72,,,,In Service,4516,1978,Surrey,,,,,,,,,,20051025,,1,0,49.194863,-122.890407
2,Riser Pocket,1000074915,27341,1195110596,150,PVC Plastic,0.72,,,,In Service,4516,1978,Surrey,,,,,,,,,,20051025,,1,0,49.194863,-122.890407
2,Riser Pocket,1000074916,27353,1197210611,150,PVC Plastic,0.56,,,,In Service,4516,1978,Surrey,,LINE BSW-B  SEE S-010-073,,,,,,,,20051026,,1,0,49.195071,-122.889839
2,Riser Pocket,1000074917,27354,1199010634,150,PVC Plastic,0.56,,,,In Service,4516,1978,Surrey,,LINE BSW-B  SEE S-010-073,,,,,,,,20051026,,1,0,49.195492,-122.889322
2,Riser Pocket,1000074918,27355,1200910657,150,PVC Plastic,0.56,,,,In Service,4516,1978,Surrey,,LINE BSW-B,,,,,,,,20051026,,1,0,49.195912,-122.888806
2,Riser Pocket,1000074919,27356,1202210673,150,PVC Plastic,0.56,,,,In Service,4516,1978,Surrey,,LINE BSW-B,,,,,,,,20051026,,1,0,49.196192,-122.888462
2,Riser Pocket,1000074920,27357,1198410612,150,PVC Plastic,0.58,,,,In Service,4516,1978,Surrey,,,,,,,,,,20051026,,1,0,49.195087,-122.889484
2,Riser Pocket,1000074921,27358,1198510612,150,PVC Plastic,0.58,,,,In Service,4516,1978,Surrey,,,,,,,,,,20051026,,1,0,49.195087,-122.889484
2,Riser Pocket,1000074858,27289,1196710360,100,PVC Plastic,0.8,,,,In Service,4516,1978,Surrey,,LINE BSW-H,,,,,,,,20051024,,1,0,49.190533,-122.889970
2,Riser Pocket,1000074864,27611,1214410369,100,PVC Plastic,1.25,,,,In Service,4516,1978,Surrey,,LINE BSW-H,,,,,,,,20051101,,1,0,49.190696,-122.885081
2,Riser Pocket,1000074865,27612,1217510369,100,PVC Plastic,1.25,,,,In Service,4516,1978,Surrey,,LINE BSW-H,,,,,,,,20051101,,1,0,49.190699,-122.884248
2,Riser Pocket,1000074866,27613,1220210370,100,PVC Plastic,1.55,,,,In Service,4516,1978,Surrey,,LINE BSW-H,,,,,,,,20051101,,1,0,49.190703,-122.883496
