SIGN_TYPE,SIGN_TYPE2,FACILITYID,DESCRIPTION,LEGACYID,SIGN_MESSAGE,SIGN_POST_TYPE,PARK_ENTRANCE,SIGN_SIZE,ROAD_NAME,ADDRESS,SIGN_INVENTORY_NO,PLATE_NO,ROAD_TYPE,DIRECTION_FACING,SIDE_OF_ROAD,PLATE_TYPE_CODE,POST_TYPE_CODE,INSTALLED_BY,DATE_INSTALLED,TAB1_CODE,TAB2_CODE,WORK_ORDER,PLATE_DESCRIPTION,POST_TYPE_DESCRIPTION,TAB1_DESCRIPTION,TAB2_DESCRIPTION,PASS_REFLECTIVITY,DISPLACEMENT_ROADCODE,DISPLACEMENT_DISTANCE,DISPLACEMENT_DIRECTION,DISPLACEMENT_ADDRESS,PSEUDO_ADDRESS,ADDRESS_OVERRIDE,DATE_TESTED,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS_PARKS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_COST,YRS_LIFE_EXPECTANCY,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,PARK_LEGACY_ID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,STRUCTURES_INSPECTION_ROUTE,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,,1001155222,,,,,,,,,,,,,,WA36L,,,,,,,,,,,,,,,,,,,In Service,1708-2060-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100413,20100413,49.111451,-122.730037
0,,1001155337,,,,,,,,,,,,,,RA1,,,,,,,,,,,,,,,,,,,In Service,7802-0040-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100414,20100414,49.122586,-122.756450
,,1001145802,,,,,,,,,5008109,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Nichol Road,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.040142,-122.834616
,,1001145803,,,,,,,,,5001896,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.042104,-122.834620
,,1001145805,,,,,,,,,5008107,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.058133,-122.834666
,,1001145806,,,,,,,,,3007701,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.138616,-122.834651
,,1001145810,,,,,,,,,1008423,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Nichol Road,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.190315,-122.834302
,,1001145811,,,,,,,,,2013772,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.192838,-122.822935
,,1001145812,,,,,,,,,2012275,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.189123,-122.823256
,,1001145813,,,,,,,,,2009472,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.168176,-122.823562
,,1001145816,,,,,,,,,3007721,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Archibald Road,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.141636,-122.823173
,,1001145817,,,,,,,,,3007720,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Archibald Road,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.113063,-122.823176
,,1001145818,,,,,,,,,3003668,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.112955,-122.823176
,,1001145819,,,,,,,,,5001196,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.039072,-122.800967
,,1001145820,,,,,,,,,5008087,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.039209,-122.800977
,,1001145821,,,,,,,,,5008117,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Johnston Road,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.042651,-122.801293
,,1001145824,,,,,,,,,5008085,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Johnston Road,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.087152,-122.800983
,,1001145826,,,,,,,,,3007730,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Sullivan Hill,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.111274,-122.800964
,,1001145827,,,,,,,,,3002342,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,JOHNSTON ROAD,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.113842,-122.800888
,,1001145828,,,,,,,,,3007698,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.114074,-122.801337
,,1001145829,,,,,,,,,3001507,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.114361,-122.800918
,,1001145831,,,,,,,,,3007731,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Sullivan Hill,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.117219,-122.801336
,,1001145832,,,,,,,,,3007697,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.138549,-122.801316
,,1001145833,,,,,,,,,3007696,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.143901,-122.800932
,,1001145834,,,,,,,,,3005960,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Bear Creek ,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.143909,-122.801372
,,1001145835,,,,,,,,,2009456,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.157190,-122.801583
,,1001145836,,,,,,,,,2009483,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.169531,-122.801104
0,,1001140402,,,,,,,,,,,,,,RA1,,,,,,,,,,,,,,,,,,,In Service,1704-3270-00,2007,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091116,20091116,49.111463,-122.757044
0,,1001138061,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1704-3380-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20091106,20091106,49.133793,-122.815443
0,,1001138062,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1704-3380-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20091106,20091106,49.133667,-122.815458
0,,1001138063,,,,,,,,,,,,,,WA36L,,,,,,,,,,,,,,,,,,,In Service,1704-3380-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,20091106,20091106,49.133723,-122.811922
0,,1001157544,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1704-3300-00,2007,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100423,20100423,49.121136,-122.679834
0,,1001157546,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1704-3300-00,2007,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100423,20100423,49.120791,-122.679996
0,,1001157549,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1704-3300-00,2007,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100423,20100423,49.120556,-122.679834
0,,1001157551,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1704-3300-00,2007,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100423,20100423,49.120313,-122.680016
0,,1001157553,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1704-3300-00,2007,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100423,20100423,49.120112,-122.679848
0,,1001157555,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1704-3300-00,2007,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100423,20100423,49.119829,-122.680058
0,,1001157558,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1704-3300-00,2007,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100423,20100423,49.119669,-122.679860
0,,1001157559,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1704-3300-00,2007,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100423,20100423,49.119379,-122.680067
0,,1001157562,,,,,,,,,,,,,,RB55B,,,,,,,,,,,,,,,,,,,In Service,1704-3300-00,2007,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100423,20100423,49.119279,-122.679864
0,,1001157563,,,,,,,,,,,,,,RA1,,,,,,,,,,,,,,,,,,,In Service,1704-3300-00,2007,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100423,20100423,49.119196,-122.680082
0,,1001156772,,,,,,,,,,,,,,WA50,,,,,,,,,,,,,,,,,,,In Service,7805-0232-00,2008,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100419,20100419,49.134779,-122.689389
0,,1001156773,,,,,,,,,,,,,,WA36R,,,,,,,,,,,,,,,,,,,In Service,7805-0232-00,2008,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100419,20100419,49.134583,-122.689599
0,,1001156774,,,,,,,,,,,,,,RB51L,,,,,,,,,,,,,,,,,,,In Service,7805-0232-00,2008,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100419,20100419,49.134486,-122.689257
