2013,,,,,,,,,,,,,,,,,,,,,,,2012,
Mo,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,Mo,
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--,
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,,
Locations on this,City Cent,,Cloverdal,,Fleetwood,,Guildford,,Newton Li,,Ocean Par,,Port Kell,,Semiahmoo,,Strawberr,,ReadAbility,,Collectio,Dec-13,Locations on this,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta,
,,,,,,,,,,,,,,,,,,,,,,,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------,
Graphic Novel - F,1362,,260,,295,,475,,611,,0,,28,,391,,265,,0,,0," 3,687 ",Graphic Novel - F,
Graphic Novel - N,20,,2,,9,,18,,10,,9,,1,,12,,10,,0,,0, 91 ,Graphic Novel - N,
Reader's Advisory,0,,0,,0,,35,,0,,0,,0,,0,,0,,0,,0, 35 ,Reader's Advisory,
Teacher Resource,373,,1,,9,,181,,8,,3,,0,,2,,1,,0,,0, 578 ,Teacher Resource,
Biography,1601,,898,,877,,1990,,1130,,696,,105,,1791,,418,,0,,0," 9,506 ",Biography,
Book Club Kit,3,,0,,0,,0,,0,,0,,0,,1,,0,,8,,0, 12 ,Book Club Kit,
Book Club Kit - A,49,,1,,55,,49,,23,,9,,0,,33,,22,,0,,0, 241 ,Book Club Kit - A,
Book Club Kit - A,23,,0,,15,,10,,14,,0,,0,,8,,3,,0,,0, 73 ,Book Club Kit - A,
Career Books,439,,151,,208,,327,,316,,50,,16,,285,,163,,0,,0," 1,955 ",Career Books,
Compact Disc,120,,76,,221,,243,,262,,122,,23,,156,,121,,0,,2," 1,346 ",Compact Disc,
CD Blues & Jazz,170,,53,,186,,205,,196,,59,,21,,92,,75,,0,,0," 1,057 ",CD Blues & Jazz,
CD Classical,252,,56,,296,,277,,195,,58,,28,,251,,117,,0,,0," 1,530 ",CD Classical,
CD Country,308,,137,,211,,297,,285,,52,,45,,212,,119,,0,,0," 1,666 ",CD Country,
Compact Disc - Ci,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Compact Disc - Ci,
CD Easy Listening,122,,59,,133,,228,,187,,62,,21,,155,,87,,0,,0," 1,054 ",CD Easy Listening,
CDs - ELT,26,,4,,15,,20,,19,,0,,0,,13,,16,,0,,0, 113 ,CDs - ELT,
CD Fiction,2170,,731,,849,,1680,,1242,,661,,142,,1918,,618,,0,,0," 10,011 ",CD Fiction,
Books on CD - Oth,18,,0,,0,,16,,0,,0,,0,,0,,23,,0,,0, 57 ,Books on CD - Oth,
CD Nonfiction,583,,271,,270,,497,,413,,159,,25,,657,,259,,0,,0," 3,134 ",CD Nonfiction,
CD Other Language,306,,88,,171,,303,,282,,53,,42,,168,,178,,0,,0," 1,591 ",CD Other Language,
CD Popular,1119,,514,,665,,1402,,1355,,401,,176,,1083,,966,,0,,0," 7,681 ",CD Popular,
Cd-rom,8,,9,,23,,22,,6,,3,,3,,23,,18,,0,,0, 115 ,Cd-rom,
CD Sound Track,165,,90,,114,,246,,234,,48,,31,,150,,145,,0,,0," 1,223 ",CD Sound Track,
Classic - Fiction,381,,136,,141,,175,,153,,99,,40,,209,,129,,0,,0," 1,463 ",Classic - Fiction,
Classic - Nonfict,135,,61,,64,,68,,61,,30,,5,,66,,52,,0,,0, 542 ,Classic - Nonfict,
Classic - Paperba,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Classic - Paperba,
Computers,835,,249,,551,,758,,819,,201,,42,,886,,415,,0,,0," 4,756 ",Computers,
Consumer Books,25,,12,,18,,18,,46,,8,,20,,21,,7,,0,,0, 175 ,Consumer Books,
City Surrey Archi,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0, 1 ,City Surrey Archi,
DVDs - Computer,1,,1,,1,,3,,2,,0,,1,,4,,1,,0,,0, 14 ,DVDs - Computer,
DVDS - ELT,53,,17,,30,,40,,47,,2,,0,,43,,42,,0,,0, 274 ,DVDS - ELT,
DVD - Fiction,3883,,1141,,1624,,2258,,2362,,918,,342,,2173,,1402,,0,,0," 16,103 ",DVD - Fiction,
Dvd Nonfiction,2114,,1104,,1250,,1671,,1539,,765,,240,,2244,,1006,,0,,0," 11,933 ",Dvd Nonfiction,
DVD - Other Langu,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,DVD - Other Langu,
ELT Fiction,322,,171,,196,,287,,243,,21,,0,,234,,245,,0,,0," 1,719 ",ELT Fiction,
Elt Nonfiction,1133,,318,,628,,943,,1040,,50,,5,,618,,750,,0,,1," 5,486 ",Elt Nonfiction,
Ereader,15,,3,,3,,4,,5,,3,,1,,5,,3,,0,,0, 42 ,Ereader,
Fast Add,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Fast Add,
Family ELT Kit,2,,2,,5,,5,,4,,1,,0,,4,,1,,0,,0, 24 ,Family ELT Kit,
Fiction,10770,,3905,,3886,,9402,,5176,,3252,,680,,8263,,3117,,0,,0," 48,451 ",Fiction,
Horror,269,,99,,85,,221,,123,,55,,24,,139,,76,,0,,0," 1,091 ",Horror,
Fiction - Horror,205,,57,,40,,86,,98,,19,,27,,79,,39,,0,,0, 650 ,Fiction - Horror,
Mystery,2860,,1341,,1435,,2271,,1390,,989,,344,,2053,,965,,0,,0," 13,648 ",Mystery,
Fiction - Mystery,1894,,317,,399,,993,,740,,273,,322,,460,,328,,0,,0," 5,726 ",Fiction - Mystery,
Fiction - Paperba,2458,,446,,559,,1192,,928,,340,,208,,694,,477,,0,,0," 7,302 ",Fiction - Paperba,
Romance,1004,,430,,505,,840,,618,,291,,75,,489,,435,,0,,0," 4,687 ",Romance,
Fiction - Romance,2894,,958,,1216,,1541,,1739,,614,,262,,788,,1412,,0,,0," 11,424 ",Fiction - Romance,
Science Fiction,1469,,554,,512,,1169,,613,,246,,54,,550,,344,,0,,0," 5,511 ",Science Fiction,
Fiction - Sci Fi,1125,,335,,405,,761,,717,,224,,131,,326,,409,,0,,0," 4,433 ",Fiction - Sci Fi,
Western,76,,54,,57,,92,,78,,16,,7,,51,,18,,0,,0, 449 ,Western,
Fiction - Western,372,,135,,168,,166,,123,,41,,75,,138,,59,,0,,0," 1,277 ",Fiction - Western,
French Fiction,332,,119,,106,,249,,157,,94,,0,,186,,19,,0,,0," 1,262 ",French Fiction,
