,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,2017
Mo,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,Mo
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,
Locations on this,City Centre,,Cloverdale,,Fleetwood,,Guildford,,Newton,,Ocean Park,,Port Kells,,Semiahmoo,,Strawberry Hill,,ReadAbility,,CS,Jan-18,Locations on this
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta
,,,,,,,,,,,,,,,,,,,,,,,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------
Graphic Novel - F,1218,,332,,361,,724,,695,,0,,48,,201,,313,,0,,0," 3,892 ",Graphic Novel - F
Graphic Novel - N,75,,21,,20,,63,,49,,13,,1,,57,,25,,0,,0, 324 ,Graphic Novel - N
Reader's Advisory,0,,0,,0,,28,,0,,0,,0,,0,,0,,0,,0, 28 ,Reader's Advisory
Teacher Resource,374,,1,,2,,135,,4,,1,,0,,129,,3,,0,,0, 649 ,Teacher Resource
Biography,1625,,872,,823,,1986,,1375,,473,,108,,1410,,391,,0,,0," 9,063 ",Biography
Book Club Kit,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,0, 8 ,Book Club Kit
Book Club Kit - A,107,,15,,62,,66,,52,,0,,0,,76,,53,,0,,0, 431 ,Book Club Kit - A
Book Club Kit - A,29,,4,,13,,19,,7,,0,,0,,10,,8,,0,,0, 90 ,Book Club Kit - A
Career Books,276,,79,,66,,189,,177,,35,,8,,110,,70,,0,,0," 1,010 ",Career Books
Compact Disc,200,,88,,148,,179,,137,,93,,17,,92,,83,,0,,2," 1,039 ",Compact Disc
CD Blues & Jazz,187,,49,,95,,125,,118,,57,,14,,94,,39,,0,,0, 778 ,CD Blues & Jazz
CD Classical,316,,57,,208,,142,,119,,71,,26,,145,,82,,0,,0," 1,166 ",CD Classical
CD Country,347,,241,,150,,193,,209,,30,,37,,119,,68,,0,,0," 1,394 ",CD Country
CD Easy Listening,138,,66,,109,,106,,107,,37,,14,,113,,50,,0,,0, 740 ,CD Easy Listening
CDs - ELT,18,,3,,6,,19,,18,,0,,0,,11,,14,,0,,0, 89 ,CDs - ELT
CD Fiction,2896,,799,,713,,1275,,1059,,457,,74,,1685,,646,,0,,0," 9,604 ",CD Fiction
Books on CD - Oth,16,,0,,1,,0,,1,,0,,0,,0,,27,,0,,0, 45 ,Books on CD - Oth
CD Nonfiction,676,,188,,213,,395,,315,,95,,8,,393,,211,,0,,0," 2,494 ",CD Nonfiction
CD Other Language,337,,84,,89,,166,,204,,26,,37,,124,,131,,0,,0," 1,198 ",CD Other Language
CD Popular,1276,,560,,726,,1276,,1244,,286,,167,,950,,787,,0,,0," 7,272 ",CD Popular
Cd-rom,4,,2,,2,,2,,2,,0,,1,,0,,4,,0,,0, 17 ,Cd-rom
CD Sound Track,205,,68,,99,,189,,166,,32,,24,,115,,112,,0,,0," 1,010 ",CD Sound Track
Classic - Fiction,327,,146,,169,,149,,162,,120,,41,,144,,143,,0,,0," 1,401 ",Classic - Fiction
Classic - Nonfict,123,,54,,65,,47,,56,,29,,2,,35,,44,,0,,0, 455 ,Classic - Nonfict
Computers,965,,199,,258,,673,,500,,127,,47,,395,,331,,0,,0," 3,495 ",Computers
Consumer Books,3,,5,,3,,2,,7,,4,,0,,4,,4,,0,,0, 32 ,Consumer Books
City Surrey Archi,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0, 1 ,City Surrey Archi
DVDs - Computer,1,,1,,0,,1,,1,,0,,0,,0,,0,,0,,0, 4 ,DVDs - Computer
DVDS - ELT,22,,16,,18,,35,,45,,2,,0,,20,,41,,0,,0, 199 ,DVDS - ELT
DVD - Fiction,5776,,2093,,2931,,3959,,3678,,1586,,572,,3708,,2294,,0,,0," 26,597 ",DVD - Fiction
DVD - Genealogy,0,,22,,0,,0,,0,,0,,0,,0,,0,,0,,0, 22 ,DVD - Genealogy
Dvd Nonfiction,2348,,1128,,1298,,2097,,1722,,847,,276,,1958,,1221,,0,,0," 12,895 ",Dvd Nonfiction
ELT Fiction,391,,207,,205,,328,,337,,110,,0,,281,,275,,0,,0," 2,134 ",ELT Fiction
Elt Nonfiction,1008,,442,,639,,1049,,986,,171,,23,,640,,697,,0,,1," 5,656 ",Elt Nonfiction
Ereader,23,,1,,3,,3,,5,,3,,1,,4,,1,,0,,0, 44 ,Ereader
Fast Add,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0, 1 ,Fast Add
Family ELT Kit,2,,2,,5,,2,,4,,1,,0,,4,,1,,0,,0, 21 ,Family ELT Kit
Fiction,9733,,3882,,3976,,8743,,5852,,2278,,673,,6914,,2751,,0,,0," 44,802 ",Fiction
Horror,328,,115,,170,,286,,175,,45,,20,,127,,109,,0,,0," 1,375 ",Horror
Horror - Paperbac,147,,36,,51,,86,,57,,6,,11,,38,,38,,0,,0, 470 ,Horror - Paperbac
Mystery,3037,,1323,,1446,,2445,,1736,,1007,,318,,1865,,1157,,0,,0," 14,334 ",Mystery
Fiction - Mystery,1386,,258,,426,,912,,500,,249,,172,,261,,380,,0,,0," 4,544 ",Fiction - Mystery
Fiction - Paperba,1410,,388,,428,,801,,421,,206,,100,,340,,524,,0,,0," 4,618 ",Fiction - Paperba
Romance,1148,,623,,669,,1094,,838,,289,,116,,527,,626,,0,,0," 5,930 ",Romance
Fiction - Romance,2274,,840,,937,,1656,,1294,,492,,208,,531,,1249,,0,,0," 9,481 ",Fiction - Romance
Science Fiction,1289,,641,,640,,1153,,1010,,279,,74,,735,,636,,0,,0," 6,457 ",Science Fiction
Fiction - Sci Fi,775,,296,,321,,633,,474,,87,,80,,168,,311,,0,,0," 3,145 ",Fiction - Sci Fi
Western,47,,62,,28,,75,,66,,15,,3,,51,,27,,0,,0, 374 ,Western
Fiction - Western,283,,189,,98,,202,,136,,44,,63,,96,,129,,0,,0," 1,240 ",Fiction - Western
French Fiction,347,,185,,106,,294,,125,,51,,0,,147,,49,,0,,0," 1,304 ",French Fiction
French Nonfiction,87,,36,,16,,107,,32,,17,,1,,70,,14,,0,,0, 380 ,French Nonfiction
CD Other Language,0,,0,,0,,0,,0,,0,,0,,0,,6,,0,,0, 6 ,CD Other Language
DVD - Generic,293,,0,,60,,175,,55,,0,,0,,30,,83,,0,,0, 696 ,DVD - Generic
