SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTION HOLDINGS SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYSTEM,,CC,,CV,,FL,,GL,,NE,,OP,,PK,,SE,,SH,,OS,,CS,,SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
as of end of year,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,% change,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalogued Print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 315,004 "," 314,919 "," 64,971 ","63,170 "," 29,042 "," 29,161 "," 24,912 "," 26,060 "," 62,502 "," 62,528 "," 42,221 "," 42,249 "," 16,992 "," 17,236 "," 5,057 "," 5,092 "," 45,930 "," 45,102 "," 23,182 "," 24,090 ", 15 , 18 , 180 , 213 ,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior," 266,012 "," 257,402 "," 46,390 ","44,017 "," 18,964 "," 19,496 "," 29,828 "," 28,154 "," 53,620 "," 52,480 "," 28,709 "," 25,474 "," 19,946 "," 20,907 "," 5,084 "," 4,591 "," 39,142 "," 36,796 "," 24,328 "," 25,486 ", 1 , 1 , -   , -   ,3.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Catalogued / Generic Print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 21,092 "," 22,373 "," 5,653 ","5,903 ", 391 , 577 ," 2,212 "," 2,137 "," 5,291 "," 5,306 "," 2,984 "," 3,817 ", 285 , 338 , 21 , 25 ," 2,370 "," 2,007 "," 1,884 "," 2,262 ", -   , 1 , 1 , -   ,-5.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior," 83,270 "," 87,368 "," 12,204 ","12,148 "," 6,717 "," 6,809 "," 8,847 "," 9,069 "," 16,468 "," 17,756 "," 12,647 "," 13,031 "," 5,979 "," 7,459 "," 1,555 "," 1,744 "," 11,023 "," 10,623 "," 7,830 "," 8,729 ", -   , -   , -   , -   ,-4.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiovisual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 72,509 "," 71,710 "," 13,673 ","12,833"," 5,019 "," 4,654 "," 6,521 "," 6,525 "," 10,689 "," 10,284 "," 9,962 "," 9,529 "," 3,413 "," 3,489 "," 1,174 "," 1,163 "," 10,646 "," 9,894 "," 6,047 "," 5,930 "," 5,363 "," 7,407 ", 2 , 2 ,1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior," 41,210 "," 38,865 "," 8,132 ","7,439"," 3,213 "," 3,057 "," 3,967 "," 3,803 "," 7,105 "," 6,747 "," 6,254 "," 5,904 "," 2,492 "," 2,472 ", 826 , 767 ," 5,157 "," 4,692 "," 4,057 "," 3,911 ", 6 , 67 , 1 , 6 ,6.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilingual Print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 26,302 "," 27,090 "," 6,874 ","7,209", 445 , 439 ," 2,115 "," 2,303 "," 5,554 "," 5,589 "," 4,591 "," 4,827 ", 10 , 39 , 9 , 7 ," 2,256 "," 1,884 "," 4,448 "," 4,793 ", -   , -   , -   , -   ,-2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior," 7,596 "," 7,944 "," 1,261 ","1,312", 280 , 345 , 930 , 888 ," 2,016 "," 2,214 ", 809 , 713 , 193 , 194 , 1 , 1 ," 1,112 "," 1,020 ", 994 ," 1,257 ", -   , -   , -   , -   ,-4.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilingual Audiovisual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 1,629 "," 1,690 ", 337 ,325, 87 , 88 , 133 , 173 , 308 , 322 , 287 , 284 , 34 , 53 , 39 , 42 , 172 , 168 , 232 , 235 , -   , -   , -   , -   ,-3.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
