SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTION HOLDINGS SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYSTEM,,CC,,CV,,FL,,GL,,NE,,OP,,PK,,SE,,SH,,RA,,CS,,SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
as of end of year,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,% change,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalogued Print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 299,070 "," 309,074 "," 62,549 ","64,143 "," 27,558 "," 28,665 "," 24,454 "," 24,552 "," 58,948 "," 60,649 "," 40,436 "," 40,524 "," 15,495 "," 16,688 "," 4,868 "," 5,013 "," 41,031 "," 45,259 "," 23,704 "," 23,552 ", 13 , 13 , 14 , 16 ,-3.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior," 267,958 "," 269,601 "," 45,571 ","46,730 "," 19,088 "," 19,152 "," 30,606 "," 29,440 "," 53,383 "," 53,437 "," 30,962 "," 30,800 "," 19,069 "," 19,684 "," 5,185 "," 5,166 "," 39,581 "," 40,843 "," 24,512 "," 24,346 ", 1 , 1 , -   , 2 ,-0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 567,028 "," 578,675 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Catalogued / Generic Print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 19,751 "," 20,993 "," 5,382 ","5,615 ", 398 , 391 ," 1,902 "," 2,133 "," 5,278 "," 5,548 "," 2,258 "," 2,425 ", 253 , 303 , 16 , 20 ," 2,465 "," 2,462 "," 1,799 "," 2,095 ", -   , -   , -   , 1 ,-5.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior," 68,180 "," 74,919 "," 9,024 ","10,994 "," 5,857 "," 5,989 "," 8,188 "," 8,167 "," 13,690 "," 14,782 "," 10,341 "," 11,523 "," 4,401 "," 4,831 "," 1,320 "," 1,236 "," 8,976 "," 10,670 "," 6,383 "," 6,727 ", -   , -   , -   , -   ,-9.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 87,931 "," 95,912 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiovisual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
