SPL,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTION HOLDINGS SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,
,SYSTEM,,CC,,CV,,FL,,GL,,NE,,OP,,PK,,SE,,SH,,RA,,CS,,SYSTEM
as of end of year,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,% change
,,,,,,,,,,,,,,,,,,,,,,,,,
Catalogued Print,,,,,,,,,,,,,,,,,,,,,,,,,
Adult,291658,299070,60222,62549,27080,27558,24824,24454,58834,58948,40929,40436,14584,15495,4884,4868,35580,41031,24689,23704,13,13,19,14,-0.024783496
Junior,270219,267958,45288,45571,20068,19088,32678,30606,53909,53383,31967,30962,18615,19069,5222,5185,37518,39581,24953,24512,1,1,0,0,0.00843789
,561877,567028,,,,,,,,,,,,,,,,,,,,,,,
Non-Catalogued / Generic Print,,,,,,,,,,,,,,,,,,,,,,,,,
Adult,13609,19751,3645,5382,197,398,1647,1902,3805,5278,1398,2258,211,253,10,16,1621,2465,1075,1799,0,0,0,0,-0.310971596
Junior,55020,68180,7593,9024,5211,5857,6909,8188,10359,13690,8217,10341,3275,4401,1123,1320,6639,8976,5694,6383,0,0,0,0,-0.19301848
,68629,87931,,,,,,,,,,,,,,,,,,,,,,,
Audiovisual,,,,,,,,,,,,,,,,,,,,,,,,,
Adult,77564,74604,16180,15237,5797,5454,7279,6758,11109,11286,9864,9315,3806,3729,1352,1288,10078,10185,6414,6178,5683,5172,2,2,0.039676157
Junior,41215,41116,7560,7889,3958,3687,4795,4386,6808,6776,5298,5925,2841,2775,911,883,4595,4485,4448,4309,0,0,1,1,0.002407822
,,,,,,,,,,,,,,,,,,,,,,,,,
Multilingual Print,,,,,,,,,,,,,,,,,,,,,,,,,
Adult,22631,25889,5614,6945,345,418,2025,2023,4868,5809,3371,3798,10,15,1,1,2081,2433,4314,4447,0,0,2,0,-0.125844953
Junior,5518,6918,721,875,250,322,805,1018,1623,2122,724,922,99,108,2,1,614,807,680,743,0,0,0,0,-0.202370627
,28149,32807,,,,,,,,,,,,,,,,,,,,,,,
Multilingual Audiovisual,,,,,,,,,,,,,,,,,,,,,,,,,
Adult,1249,1397,353,339,84,86,90,82,166,213,205,206,26,35,37,38,124,175,164,223,0,0,0,0,-0.105941303
Junior,468,589,95,117,24,36,62,73,121,154,40,61,1,3,0,0,93,107,32,38,0,0,0,0,-0.205432937
,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Databases,53,51,,,,,,,,,,,,,,,,,,,,,,,0.039215686
,,,,,,,,,,,,,,,,,,,,,,,,,
Ebooks,53694,33499,,,,,,,,,,,,,,,,,,,,,,,0.602853817
Eaudiobooks,6143,4538,,,,,,,,,,,,,,,,,,,,,,,0.353680035
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ADULT,382831,393425,80047,83168,33074,33410,33750,33114,73748,75512,52191,52009,18601,19477,6246,6172,47279,53681,32178,31681,5696,5185,21,16,-0.026927623
% of Branch Total,0.510928418,0.510491398,0.569778202,0.571004861,0.530789106,0.538506173,0.431961296,0.43403151,0.50922499,0.505567049,0.534344189,0.524088798,0.429267054,0.42598749,0.462598134,0.455162242,0.492330602,0.502993731,0.478319682,0.473663751,0.999824469,0.999807173,0.954545455,0.941176471,
TOTAL JUNIOR,366454,377254,60441,62484,29237,28632,44382,43180,71076,73849,45482,47228,24731,26245,7256,7388,48752,53042,35095,35204,1,1,1,1,-0.028627927
% of Branch Total,0.489071582,0.489508602,0.430221798,0.428995139,0.469210894,0.461493827,0.568038704,0.56596849,0.49077501,0.494432951,0.465655811,0.475911202,0.570732946,0.57401251,0.537401866,0.544837758,0.507669398,0.497006269,0.521680318,0.526336249,0.000175531,0.000192827,0.045454545,0.058823529,
TOTAL MULTILINGUAL,29866,34793,6783,8276,703,862,2982,3196,6778,8298,4340,4987,136,161,40,40,2912,3522,5190,5451,0,0,2,0,-0.141608944
% of Branch Total,0.039859333,0.045145904,0.048281704,0.056820366,0.011282117,0.013893814,0.03816618,0.041890581,0.046801635,0.055556671,0.044433979,0.050253434,0.003138558,0.003521281,0.002962524,0.002949853,0.030323541,0.033001321,0.077148336,0.081498094,0,0,0.090909091,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL HOLDINGS,749285,770679,140488,145652,62311,62042,78132,76294,144824,149361,97673,99237,43332,45722,13502,13560,96031,106723,67273,66885,5697,5186,22,17,-0.027759936
% of System Total,1,1,0.18749608,0.188991785,0.083160613,0.080503037,0.104275409,0.098995821,0.19328293,0.193804424,0.130354938,0.128765673,0.057831132,0.059326905,0.018019846,0.017594874,0.128163516,0.138479185,0.089782926,0.086787106,0.007603248,0.006729131,2.93613E-05,2.20585E-05,
,,,,,,,,,,,,,,,,,,,,,,,,,
Multilingual is included in adult & junior,,,,,,,,,,,,,,,,,,,,,,,,,
French is not included in multilingual,,,,,,,,,,,,,,,,,,,,,,,,,
City of Surrey Archives is excluded,,,,,,,,,,,,,,,,,,,,,,,,,
JFGR was combined with YFGR until 2016,,,,,,,,,,,,,,,,,,,,,,,,,
Total Holidings does not include ematerials or databases,,,,,,,,,,,,,,,,,,,,,,,,,
