SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,MINCODE,SCHOOL_NAME,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12
2006/2007,DISTRICT LEVEL,BC PUBLIC SCHOOL,036,Surrey,,,118,5282,1104,351,17.9,20.6,25.7,26.6
2007/2008,DISTRICT LEVEL,BC PUBLIC SCHOOL,036,Surrey,,,118,5399,1570,430,17.8,20.7,25.7,26.6
2008/2009,DISTRICT LEVEL,BC PUBLIC SCHOOL,036,Surrey,,,119,5536,1806,452,18.2,20.7,25.5,26.4
2009/2010,DISTRICT LEVEL,BC PUBLIC SCHOOL,036,Surrey,,,118,5556,1914,444,18.2,20.7,25.5,26.7
2010/2011,DISTRICT LEVEL,BC PUBLIC SCHOOL,036,Surrey,,,119,5853,2080,350,18.7,20.8,25.8,26.4
2011/2012,DISTRICT LEVEL,BC PUBLIC SCHOOL,036,Surrey,,,119,6084,2136,376,18.6,20.8,26.1,26.4
2012/2013,DISTRICT LEVEL,BC PUBLIC SCHOOL,036,Surrey,,,118,6752,2248,71,18.9,21,25.7,23.4
2013/2014,DISTRICT LEVEL,BC PUBLIC SCHOOL,036,Surrey,,,126,7097,2416,90,19.5,21.4,26.4,22.7
2014/2015,DISTRICT LEVEL,BC PUBLIC SCHOOL,036,Surrey,,,120,7011,2254,109,19.3,21.5,26.6,23.5
2015/2016,DISTRICT LEVEL,BC PUBLIC SCHOOL,036,Surrey,,,120,7037,2348,120,19.6,21.9,27,23.7
2016/2017,DISTRICT LEVEL,BC PUBLIC SCHOOL,036,Surrey,,,120,8216,2840,106,19.6,22,27.2,20.2
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636001,Hjorth Road Elementary,1,9,3,,16.7,19.4,23.2,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636001,Hjorth Road Elementary,1,10,3,,18,18.5,22.4,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636001,Hjorth Road Elementary,1,10,8,,17,18,23.2,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636001,Hjorth Road Elementary,1,9,8,,19,21.8,26.3,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636001,Hjorth Road Elementary,1,9,9,,21,20.6,26,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636001,Hjorth Road Elementary,1,9,9,,19.7,20.4,25.7,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636001,Hjorth Road Elementary,1,9,9,,21,20.7,25.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636001,Hjorth Road Elementary,1,10,10,,18.7,18.7,26.8,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636001,Hjorth Road Elementary,1,10,10,,20.4,19.4,23.8,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636001,Hjorth Road Elementary,1,10,5,,20.2,21,22.2,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636001,Hjorth Road Elementary,1,10,8,,20.3,21.7,28.4,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636002,Port Kells Elementary,1,7,2,,12,18.8,20.8,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636002,Port Kells Elementary,1,6,5,,13,17.5,24,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636002,Port Kells Elementary,1,6,5,,8,20,21,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636002,Port Kells Elementary,1,5,5,,17,19.7,23.6,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636002,Port Kells Elementary,1,6,6,,18,17.4,19.2,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636002,Port Kells Elementary,1,6,6,,14,16.5,16.6,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636002,Port Kells Elementary,1,5,5,,13,20,25.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636002,Port Kells Elementary,1,5,5,,19,19.9,25,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636002,Port Kells Elementary,1,5,5,,20,19.7,20.2,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636002,Port Kells Elementary,1,5,5,,21,21.7,19.1,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636002,Port Kells Elementary,1,5,5,,18,20.9,23,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636004,Cloverdale Traditional,1,12,3,,22,22.3,27.7,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636004,Cloverdale Traditional,1,13,9,,22,21.5,24.6,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636004,Cloverdale Traditional,1,13,8,,22,22.5,29.4,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636004,Cloverdale Traditional,1,14,8,,21.5,23.8,25.3,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636004,Cloverdale Traditional,1,14,10,,22,23.7,25.7,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636004,Cloverdale Traditional,1,14,12,,20.5,23.8,27.2,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636004,Cloverdale Traditional,1,14,8,,19.5,22.7,28,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636004,Cloverdale Traditional,1,14,11,,22,21.8,29.7,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636004,Cloverdale Traditional,1,13,11,,18.2,22.3,28,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636004,Cloverdale Traditional,1,13,11,,15,20.4,26.2,
2016/2017,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636004,Cloverdale Traditional,1,12,10,,19.5,20.1,26.5,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636009,White Rock Elementary,1,18,12,,22,21.3,25,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636009,White Rock Elementary,1,19,13,,18,21.3,26.7,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636009,White Rock Elementary,1,19,10,,21,22.6,27.9,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636009,White Rock Elementary,1,20,13,,19.9,21.8,27.7,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636009,White Rock Elementary,1,19,13,,19.3,24,26.9,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636009,White Rock Elementary,1,17,9,,15,22.2,28.2,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636009,White Rock Elementary,1,19,9,,19,23.3,28.8,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636009,White Rock Elementary,1,20,19,,19.7,22,26.6,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636009,White Rock Elementary,1,20,10,,21.3,22,27.7,
2015/2016,SCHOOL LEVEL,BC PUBLIC SCHOOL,036,Surrey,03636009,White Rock Elementary,1,20,10,,20,21.9,28.5,
