LOCATION,IMAGE,ROTATION,LONGITUDE,LATITUDE
Colebrook Rd And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_colebrook_kgbv_cam1.jpg,,-122.8180491194,49.0940123584
Crescent Rd And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_cres_kgbv_cam1.jpg,,-122.8206531665,49.0676045324
Fraser Hwy And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_140_cam1.jpg,,-122.8341435136,49.1786298290
Fraser Hwy And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_152_cam1.jpg,,-122.8012501672,49.1658986925
Fraser Hwy And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_152_cam2.jpg,,-122.8005786760,49.1656431459
Fraser Hwy And 160 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_160_cam1.jpg,,-122.7787250500,49.1571691245
Fraser Hwy And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_168_cam1.jpg,,-122.7566776205,49.1478857158
Fraser Hwy And 184 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_184_cam1.jpg,,-122.7123923106,49.1288249488
Fraser Hwy And 188 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_188_cam1.jpg,,-122.7016491356,49.1235131476
Fraser Hwy And Whalley Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_whalley_cam1.jpg,,-122.8411391721,49.1806169025
56 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_no10_kgbv_cam1.jpg,,-122.8319788394,49.1053786361
King George Blvd And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_120_cam1.jpg,,-122.8744071193,49.2055461429
King George Blvd And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_128_cam1.jpg,,-122.8674989723,49.2064434777
King George Blvd And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_128_cam2.jpg,,-122.8685452056,49.2061205906
King George Blvd And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_132_cam1.jpg,,-122.8544115952,49.2047409968
King George Blvd And 32 Ave Div,http://cosmos.surrey.ca/TrafficCameraImages/enc_32_kgbv_cam1.jpg,,-122.8099656806,49.0586203862
King George Blvd And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_152_cam1.jpg,,-122.8010374727,49.0513992490
King George Blvd And 160 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_160_cam1.jpg,,-122.7790720281,49.0337810338
King George Blvd And West of 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_132_west_cam1.jpg,,-122.8605150905,49.2073757763
Nordel Way And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_nordel_120_cam1.jpg,,-122.8901116516,49.1618886943
Nordel Way And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_nordel_120_cam2.jpg,,-122.8894028424,49.1620171101
Old Yale Rd And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_oldyale_120_cam1.jpg,,-122.8822299588,49.1992517356
Old Yale Rd And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_oldyale_132_cam1.jpg,,-122.8564855304,49.1876996685
Old Yale Rd And Mall Access,http://cosmos.surrey.ca/TrafficCameraImages/enc_mallaccess_oldyale_cam1.jpg,,-122.8473457946,49.1842660272
Old Yale Rd And University Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_oldyale_134a_cam1.jpg,,-122.8516261719,49.1858958745
152 Ave And 152 St Ftg Rd,http://cosmos.surrey.ca/TrafficCameraImages/enc_152_152fg_cam1.jpg,,-122.8012322413,49.0926923816
Telegraph Trail And New Telegraph Trail,http://cosmos.surrey.ca/TrafficCameraImages/enc_telegraphtrail_cam1.jpg,,-122.6795544055,49.1804300101
University Dr And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_universitydr_kgbv_cam1.jpg,,-122.8516178161,49.2029014735
104 Ave And University Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_universitydr_104_cam1.jpg,,-122.8505597719,49.1916417056
104 Ave And City Parkway,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_cityparkway_cam1.jpg,,-122.8480185982,49.1916314812
Transit Exchange And University Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_universitydr_transitexchange_cam1.jpg,,-122.8498747328,49.1889131717
University Dr And 103 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_universitydr_103egress_cam1.jpg,,-122.8498553364,49.1897790850
104 Ave And City Hall Driveway,http://cosmos.surrey.ca/TrafficCameraImages/enc_104egress_cityhall_cam1.jpg,,-122.8496143989,49.1916405927
Fraser Hwy And 166 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_166_cam1.jpg,,-122.7620663233,49.1507797334
76 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_76_128_cam1.jpg,,-122.8679064975,49.1410254869
90 Ave And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_90_120_cam1.jpg,,-122.8903060323,49.1668240942
104 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_140_cam1.jpg,,-122.8341327561,49.1914740171
100 Ave And 150 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_100_150_cam1.jpg,,-122.8064857407,49.1841779197
24 Ave And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_24_168_cam1.jpg,,-122.7570313231,49.0456813292
Panorama Dr And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_panorama_152_cam1.jpg,,-122.8009922785,49.1084480704
94A Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_94a_kgbv_cam1.jpg,,-122.8457584908,49.1746860022
Fraser Hwy And 156 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_156_cam1.jpg,,-122.7901787826,49.1617552263
88 Ave And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_148_cam1.jpg,,-122.8123821342,49.1628220939
88 Ave And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_144_cam1.jpg,,-122.8234281384,49.1628606879
84 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_kgbv_cam1.jpg,,-122.8457958697,49.1554621588
101 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_101_152_cam1.jpg,,-122.8009061582,49.1861276828
96 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_140_cam1.jpg,,-122.8345413460,49.1769868380
68 Ave And Fraser Hwy,http://cosmos.surrey.ca/TrafficCameraImages/enc_68_fraser_cam1.jpg,,-122.7061734135,49.1257152295
100 Ave And 160 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_100_160_cam1.jpg,,-122.7785994632,49.1843503706
108 Ave And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_108_144_cam1.jpg,,-122.8230237083,49.1987856557
84 Ave And Fraser Hwy,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_fraser_cam1.jpg,,-122.7747292253,49.1557503461
88 Ave And 130 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_130_cam1.jpg,,-122.8624650801,49.1626309681
72 Ave And 126 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_126_cam1.jpg,,-122.8734672500,49.1339210804
68 Ave And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_68_120_cam1.jpg,,-122.8903656594,49.1267147702
72 Ave And 122 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_122_cam1.jpg,,-122.8848214974,49.1340180437
26 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_26_kgbv_cam1.jpg,,-122.7980628565,49.0492280317
100 Ave And 156 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_100_156_cam1.jpg,,-122.7897922993,49.1843611699
104 Ave And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_168_cam1.jpg,,-122.7564742131,49.1916135684
60 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_kgbv_cam1.jpg,,-122.8403557312,49.1118563170
105 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_105_132_cam1.jpg,,-122.8564459638,49.1932628006
88 Ave And 156 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_156_cam1.jpg,,-122.7901798452,49.1628007557
96 Ave And 137A St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_137a_cam1.jpg,,-122.8421186368,49.1770245078
96 Ave And 134 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_134_cam1.jpg,,-122.8513968069,49.1770701793
84 Ave And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_120_cam1.jpg,,-122.8903725571,49.1559883700
84 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_132_cam1.jpg,,-122.8568621154,49.1554134918
84 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_128_cam1.jpg,,-122.8679988050,49.1553661971
80 Ave And 124 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_80_124_cam1.jpg,,-122.8790895834,49.1483754228
Fraser Hwy And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_144_cam1.jpg,,-122.8233940368,49.1746203307
72 Ave And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_148_cam1.jpg,,-122.8121685452,49.1337376545
78 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_78_kgbv_cam1.jpg,,-122.8456580585,49.1444960205
74 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_74_kgbv_cam1.jpg,,-122.8456051202,49.1371870401
76 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_76_132_cam1.jpg,,-122.8567603859,49.1409328511
16 Ave And 184 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_184_cam1.jpg,,-122.7133601335,49.0312048931
60 Ave And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_168_cam1.jpg,,-122.7566269531,49.1115442553
72 Ave And 138 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_138_cam1.jpg,,-122.8386525627,49.1335960234
70 Ave And 138 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_70_138_cam1.jpg,,-122.8386458626,49.1299611179
72 Ave And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_144_cam1.jpg,,-122.8233302044,49.1337333527
84 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_140_cam1.jpg,,-122.8346012234,49.1554936156
76 Ave And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_76_144_cam1.jpg,,-122.8233853084,49.1409862586
