Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,34,20,,,54
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,22,9,,,31
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,9,7,,,16
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,6,14,,,20
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,10,59,,,69
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,28,284,,,312
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,89,543,,,632
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,212,570,,,782
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,254,456,,,710
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,217,301,,,518
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,234,239,,,473
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,268,241,,,509
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,289,259,,,548
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,296,267,,,563
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,393,280,,,673
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,529,315,,,844
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,622,319,,,941
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,543,279,,,822
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,364,202,,,566
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,218,139,,,357
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,179,118,,,297
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,140,96,,,236
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,99,56,,,155
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,69,39,,,108
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,54,35,,,89
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,31,18,,,49
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,15,11,,,26
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,12,12,,,24
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,9,19,,,28
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,14,51,,,65
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,37,78,,,115
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,60,90,,,150
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,100,133,,,233
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,155,161,,,316
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,191,173,,,364
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,197,190,,,387
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,210,210,,,420
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,235,205,,,440
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,230,207,,,437
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,251,213,,,464
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,243,200,,,443
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,227,191,,,418
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,194,148,,,342
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,147,118,,,265
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,134,98,,,232
