Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,41,21,,,62
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,27,10,,,36
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,13,12,,,25
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,9,25,,,34
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,18,85,,,103
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,51,362,,,414
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,137,504,,,640
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,231,488,,,719
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,243,380,,,623
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,279,296,,,575
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,309,279,,,588
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,368,269,,,637
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,376,281,,,657
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,402,284,,,685
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,474,277,,,751
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,637,289,,,926
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,662,311,,,973
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,531,262,,,793
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,338,198,,,536
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,234,156,,,390
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,189,131,,,320
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,162,100,,,262
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,116,61,,,178
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,78,39,,,117
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,58,31,,,89
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,35,18,,,53
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,16,15,,,31
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,10,11,,,21
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,12,29,,,41
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,27,69,,,96
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,62,97,,,158
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,94,120,,,214
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,142,171,,,313
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,220,182,,,402
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,261,218,,,479
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,279,232,,,511
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,312,235,,,547
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,317,246,,,563
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,318,259,,,577
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,328,266,,,594
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,306,252,,,559
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,263,212,,,475
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,205,174,,,379
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,175,147,,,322
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,167,129,,,296
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,148,106,,,254
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,117,72,,,189
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,81,46,,,128
64 Avenue West of 196 Street,Monday-Friday,12:00 AM,40,61,,,102
64 Avenue West of 196 Street,Monday-Friday,1:00 AM,22,27,,,49
64 Avenue West of 196 Street,Monday-Friday,2:00 AM,14,15,,,29
64 Avenue West of 196 Street,Monday-Friday,3:00 AM,17,16,,,32
64 Avenue West of 196 Street,Monday-Friday,4:00 AM,42,31,,,72
