Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue and 192 Street,Monday-Friday,12:00 AM,159,230,,,389
16 Avenue and 192 Street,Monday-Friday,1:00 AM,116,138,,,254
16 Avenue and 192 Street,Monday-Friday,2:00 AM,87,123,,,210
16 Avenue and 192 Street,Monday-Friday,3:00 AM,76,99,,,175
16 Avenue and 192 Street,Monday-Friday,4:00 AM,58,65,,,123
16 Avenue and 192 Street,Monday-Friday,5:00 AM,36,41,,,77
16 Avenue and 192 Street,Monday-Friday,6:00 AM,21,21,,,42
16 Avenue and 192 Street,Monday-Friday,7:00 AM,11,14,,,25
16 Avenue and 192 Street,Monday-Friday,8:00 AM,6,11,,,17
16 Avenue and 192 Street,Monday-Friday,9:00 AM,6,20,,,26
16 Avenue and 192 Street,Monday-Friday,10:00 AM,14,74,,,88
16 Avenue and 192 Street,Monday-Friday,11:00 AM,43,252,,,295
16 Avenue and 192 Street,Monday-Friday,12:00 PM,101,463,,,564
16 Avenue and 192 Street,Monday-Friday,1:00 PM,194,487,,,681
16 Avenue and 192 Street,Monday-Friday,2:00 PM,194,435,,,629
16 Avenue and 192 Street,Monday-Friday,3:00 PM,188,354,,,542
16 Avenue and 192 Street,Monday-Friday,4:00 PM,196,327,,,523
16 Avenue and 192 Street,Monday-Friday,5:00 PM,207,336,,,543
16 Avenue and 192 Street,Monday-Friday,6:00 PM,199,337,,,536
16 Avenue and 192 Street,Monday-Friday,7:00 PM,225,340,,,565
16 Avenue and 192 Street,Monday-Friday,8:00 PM,265,364,,,629
16 Avenue and 192 Street,Monday-Friday,9:00 PM,346,437,,,783
16 Avenue and 192 Street,Monday-Friday,10:00 PM,334,437,,,771
16 Avenue and 192 Street,Monday-Friday,11:00 PM,257,361,,,618
16 Avenue and 192 Street,Saturday-Sunday,12:00 AM,127,180,,,307
16 Avenue and 192 Street,Saturday-Sunday,1:00 AM,98,131,,,229
16 Avenue and 192 Street,Saturday-Sunday,2:00 AM,91,125,,,216
