Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,39,20,,,59
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,25,12,,,37
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,11,12,,,23
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,10,21,,,31
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,21,88,,,109
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,55,385,,,440
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,147,530,,,677
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,234,503,,,737
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,272,401,,,673
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,289,312,,,601
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,322,285,,,607
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,362,294,,,656
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,366,312,,,678
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,384,320,,,704
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,463,303,,,766
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,648,315,,,963
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,683,330,,,1013
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,551,270,,,821
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,365,211,,,576
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,247,165,,,412
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,218,145,,,363
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,185,114,,,299
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,131,71,,,202
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,83,44,,,127
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,66,33,,,99
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,35,19,,,54
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,18,16,,,34
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,12,12,,,24
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,12,27,,,39
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,28,73,,,101
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,67,108,,,175
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,100,122,,,222
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,150,173,,,323
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,221,210,,,431
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,281,231,,,512
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,296,245,,,541
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,321,259,,,580
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,322,267,,,589
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,339,259,,,598
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,346,265,,,611
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,314,251,,,565
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,275,219,,,494
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,226,169,,,395
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,194,161,,,355
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,179,140,,,319
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,158,121,,,279
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,127,79,,,206
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,93,43,,,136
64 Avenue West of 196 Street,Monday-Friday,12:00 AM,45,58,,,103
64 Avenue West of 196 Street,Monday-Friday,1:00 AM,23,28,,,51
64 Avenue West of 196 Street,Monday-Friday,2:00 AM,17,17,,,34
64 Avenue West of 196 Street,Monday-Friday,3:00 AM,19,19,,,38
64 Avenue West of 196 Street,Monday-Friday,4:00 AM,42,35,,,77
64 Avenue West of 196 Street,Monday-Friday,5:00 AM,107,114,,,221
64 Avenue West of 196 Street,Monday-Friday,6:00 AM,222,228,,,450
64 Avenue West of 196 Street,Monday-Friday,7:00 AM,372,284,,,656
64 Avenue West of 196 Street,Monday-Friday,8:00 AM,506,288,,,794
64 Avenue West of 196 Street,Monday-Friday,9:00 AM,538,327,,,865
64 Avenue West of 196 Street,Monday-Friday,10:00 AM,572,431,,,1003
64 Avenue West of 196 Street,Monday-Friday,11:00 AM,625,530,,,1155
64 Avenue West of 196 Street,Monday-Friday,12:00 PM,639,567,,,1206
64 Avenue West of 196 Street,Monday-Friday,1:00 PM,642,585,,,1227
64 Avenue West of 196 Street,Monday-Friday,2:00 PM,645,629,,,1274
64 Avenue West of 196 Street,Monday-Friday,3:00 PM,707,707,,,1414
64 Avenue West of 196 Street,Monday-Friday,4:00 PM,790,778,,,1568
64 Avenue West of 196 Street,Monday-Friday,5:00 PM,749,796,,,1545
64 Avenue West of 196 Street,Monday-Friday,6:00 PM,634,635,,,1269
64 Avenue West of 196 Street,Monday-Friday,7:00 PM,511,542,,,1053
64 Avenue West of 196 Street,Monday-Friday,8:00 PM,371,513,,,884
64 Avenue West of 196 Street,Monday-Friday,9:00 PM,281,426,,,707
64 Avenue West of 196 Street,Monday-Friday,10:00 PM,175,251,,,426
64 Avenue West of 196 Street,Monday-Friday,11:00 PM,97,138,,,235
64 Avenue West of 196 Street,Saturday-Sunday,12:00 AM,79,95,,,174
64 Avenue West of 196 Street,Saturday-Sunday,1:00 AM,50,63,,,113
64 Avenue West of 196 Street,Saturday-Sunday,2:00 AM,38,38,,,76
64 Avenue West of 196 Street,Saturday-Sunday,3:00 AM,22,27,,,49
64 Avenue West of 196 Street,Saturday-Sunday,4:00 AM,34,19,,,53
64 Avenue West of 196 Street,Saturday-Sunday,5:00 AM,53,37,,,90
64 Avenue West of 196 Street,Saturday-Sunday,6:00 AM,89,64,,,153
64 Avenue West of 196 Street,Saturday-Sunday,7:00 AM,178,103,,,281
64 Avenue West of 196 Street,Saturday-Sunday,8:00 AM,306,178,,,484
64 Avenue West of 196 Street,Saturday-Sunday,9:00 AM,528,294,,,822
64 Avenue West of 196 Street,Saturday-Sunday,10:00 AM,664,459,,,1123
64 Avenue West of 196 Street,Saturday-Sunday,11:00 AM,743,585,,,1328
64 Avenue West of 196 Street,Saturday-Sunday,12:00 PM,719,640,,,1359
64 Avenue West of 196 Street,Saturday-Sunday,1:00 PM,705,670,,,1375
64 Avenue West of 196 Street,Saturday-Sunday,2:00 PM,659,688,,,1347
64 Avenue West of 196 Street,Saturday-Sunday,3:00 PM,635,705,,,1340
64 Avenue West of 196 Street,Saturday-Sunday,4:00 PM,579,677,,,1256
64 Avenue West of 196 Street,Saturday-Sunday,5:00 PM,471,630,,,1101
64 Avenue West of 196 Street,Saturday-Sunday,6:00 PM,391,518,,,909
64 Avenue West of 196 Street,Saturday-Sunday,7:00 PM,329,364,,,693
64 Avenue West of 196 Street,Saturday-Sunday,8:00 PM,273,320,,,593
64 Avenue West of 196 Street,Saturday-Sunday,9:00 PM,225,299,,,524
64 Avenue West of 196 Street,Saturday-Sunday,10:00 PM,168,213,,,381
64 Avenue West of 196 Street,Saturday-Sunday,11:00 PM,107,128,,,235
72 Avenue West of 123 Street,Monday-Friday,12:00 AM,188,77,,,265
72 Avenue West of 123 Street,Monday-Friday,1:00 AM,101,54,,,155
