Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,38,24,,,62
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,25,9,,,34
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,12,13,,,25
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,8,22,,,30
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,17,93,,,110
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,44,367,,,411
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,126,532,,,658
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,246,529,,,775
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,295,429,,,724
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,285,301,,,586
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,312,273,,,585
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,364,274,,,638
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,363,294,,,657
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,384,296,,,680
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,487,299,,,786
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,626,314,,,940
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,661,325,,,986
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,557,271,,,828
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,356,190,,,546
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,240,148,,,388
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,196,138,,,334
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,162,104,,,266
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,117,70,,,187
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,73,42,,,115
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,65,30,,,95
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,31,19,,,50
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,15,13,,,28
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,11,11,,,22
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,11,25,,,36
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,21,59,,,80
