Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,37,22,,,59
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,25,9,,,34
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,12,9,,,21
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,8,16,,,24
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,13,65,,,78
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,38,299,,,337
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,109,568,,,677
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,237,573,,,810
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,315,450,,,765
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,274,309,,,583
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,274,247,,,521
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,301,255,,,556
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,325,274,,,599
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,354,263,,,617
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,445,286,,,731
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,591,327,,,918
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,692,319,,,1011
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,620,276,,,896
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,399,200,,,599
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,244,142,,,386
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,199,130,,,329
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,169,108,,,277
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,125,69,,,194
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,75,41,,,116
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,38,23,,,61
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,23,14,,,37
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,13,10,,,23
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,9,10,,,19
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,6,17,,,23
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,13,45,,,58
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,35,62,,,97
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,60,87,,,147
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,94,136,,,230
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,130,162,,,292
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,175,188,,,363
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,214,184,,,398
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,221,192,,,413
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,241,206,,,447
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,222,191,,,413
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,231,200,,,431
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,230,181,,,411
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,215,170,,,385
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,165,126,,,291
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,146,101,,,247
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,124,95,,,219
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,101,81,,,182
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,90,54,,,144
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,55,33,,,88
72 Avenue West of 123 Street,Monday-Friday,12:00 AM,147,54,,,201
72 Avenue West of 123 Street,Monday-Friday,1:00 AM,88,45,,,133
72 Avenue West of 123 Street,Monday-Friday,2:00 AM,63,71,,,134
72 Avenue West of 123 Street,Monday-Friday,3:00 AM,75,127,,,202
72 Avenue West of 123 Street,Monday-Friday,4:00 AM,108,405,,,513
72 Avenue West of 123 Street,Monday-Friday,5:00 AM,251,714,,,965
72 Avenue West of 123 Street,Monday-Friday,6:00 AM,414,673,,,1087
72 Avenue West of 123 Street,Monday-Friday,7:00 AM,678,775,,,1453
72 Avenue West of 123 Street,Monday-Friday,8:00 AM,660,825,,,1485
72 Avenue West of 123 Street,Monday-Friday,9:00 AM,697,835,,,1532
72 Avenue West of 123 Street,Monday-Friday,10:00 AM,819,914,,,1733
72 Avenue West of 123 Street,Monday-Friday,11:00 AM,934,1001,,,1935
72 Avenue West of 123 Street,Monday-Friday,12:00 PM,1003,977,,,1980
72 Avenue West of 123 Street,Monday-Friday,1:00 PM,1065,995,,,2060
72 Avenue West of 123 Street,Monday-Friday,2:00 PM,1098,1074,,,2172
72 Avenue West of 123 Street,Monday-Friday,3:00 PM,1186,1104,,,2290
72 Avenue West of 123 Street,Monday-Friday,4:00 PM,1176,1056,,,2232
