Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,30,13,,,43
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,23,7,,,30
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,12,11,,,23
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,9,23,,,32
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,14,85,,,99
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,36,376,,,412
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,103,522,,,625
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,215,509,,,724
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,234,413,,,647
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,211,280,,,491
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,226,231,,,457
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,252,232,,,484
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,265,244,,,509
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,298,259,,,557
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,405,269,,,674
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,533,300,,,833
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,560,289,,,849
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,465,222,,,687
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,282,154,,,436
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,178,106,,,284
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,138,86,,,224
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,119,74,,,193
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,95,51,,,146
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,56,32,,,88
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,44,26,,,70
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,28,18,,,46
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,13,12,,,25
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,10,9,,,19
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,9,26,,,35
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,14,66,,,80
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,41,93,,,134
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,67,116,,,183
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,119,166,,,285
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,170,200,,,370
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,206,208,,,414
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,229,214,,,443
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,256,223,,,479
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,267,224,,,491
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,266,224,,,490
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,263,219,,,482
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,264,225,,,489
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,221,171,,,392
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,156,128,,,284
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,128,102,,,230
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,108,75,,,183
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,99,65,,,164
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,81,54,,,135
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,57,38,,,95
72 Avenue West of 123 Street,Monday-Friday,12:00 AM,122,51,,,173
72 Avenue West of 123 Street,Monday-Friday,1:00 AM,83,45,,,128
72 Avenue West of 123 Street,Monday-Friday,2:00 AM,56,69,,,125
72 Avenue West of 123 Street,Monday-Friday,3:00 AM,68,133,,,201
72 Avenue West of 123 Street,Monday-Friday,4:00 AM,109,472,,,581
72 Avenue West of 123 Street,Monday-Friday,5:00 AM,257,633,,,890
72 Avenue West of 123 Street,Monday-Friday,6:00 AM,447,609,,,1056
72 Avenue West of 123 Street,Monday-Friday,7:00 AM,676,720,,,1396
72 Avenue West of 123 Street,Monday-Friday,8:00 AM,666,766,,,1432
72 Avenue West of 123 Street,Monday-Friday,9:00 AM,674,806,,,1480
72 Avenue West of 123 Street,Monday-Friday,10:00 AM,778,853,,,1631
72 Avenue West of 123 Street,Monday-Friday,11:00 AM,895,920,,,1815
72 Avenue West of 123 Street,Monday-Friday,12:00 PM,943,952,,,1895
72 Avenue West of 123 Street,Monday-Friday,1:00 PM,1014,952,,,1966
72 Avenue West of 123 Street,Monday-Friday,2:00 PM,1056,1007,,,2063
72 Avenue West of 123 Street,Monday-Friday,3:00 PM,1134,1067,,,2201
72 Avenue West of 123 Street,Monday-Friday,4:00 PM,1125,1010,,,2135
72 Avenue West of 123 Street,Monday-Friday,5:00 PM,1083,879,,,1962
72 Avenue West of 123 Street,Monday-Friday,6:00 PM,875,757,,,1632
72 Avenue West of 123 Street,Monday-Friday,7:00 PM,653,548,,,1201
72 Avenue West of 123 Street,Monday-Friday,8:00 PM,576,464,,,1040
72 Avenue West of 123 Street,Monday-Friday,9:00 PM,464,363,,,827
72 Avenue West of 123 Street,Monday-Friday,10:00 PM,304,184,,,488
72 Avenue West of 123 Street,Monday-Friday,11:00 PM,252,98,,,350
72 Avenue West of 123 Street,Saturday-Sunday,12:00 AM,207,92,,,299
72 Avenue West of 123 Street,Saturday-Sunday,1:00 AM,115,68,,,183
72 Avenue West of 123 Street,Saturday-Sunday,2:00 AM,88,81,,,169
72 Avenue West of 123 Street,Saturday-Sunday,3:00 AM,105,91,,,196
72 Avenue West of 123 Street,Saturday-Sunday,4:00 AM,86,143,,,229
72 Avenue West of 123 Street,Saturday-Sunday,5:00 AM,121,242,,,363
72 Avenue West of 123 Street,Saturday-Sunday,6:00 AM,178,263,,,441
72 Avenue West of 123 Street,Saturday-Sunday,7:00 AM,267,407,,,674
72 Avenue West of 123 Street,Saturday-Sunday,8:00 AM,411,570,,,981
72 Avenue West of 123 Street,Saturday-Sunday,9:00 AM,600,787,,,1387
72 Avenue West of 123 Street,Saturday-Sunday,10:00 AM,728,854,,,1582
72 Avenue West of 123 Street,Saturday-Sunday,11:00 AM,851,923,,,1774
72 Avenue West of 123 Street,Saturday-Sunday,12:00 PM,908,983,,,1891
72 Avenue West of 123 Street,Saturday-Sunday,1:00 PM,961,960,,,1921
72 Avenue West of 123 Street,Saturday-Sunday,2:00 PM,991,964,,,1955
72 Avenue West of 123 Street,Saturday-Sunday,3:00 PM,992,922,,,1914
72 Avenue West of 123 Street,Saturday-Sunday,4:00 PM,931,881,,,1812
72 Avenue West of 123 Street,Saturday-Sunday,5:00 PM,815,791,,,1606
72 Avenue West of 123 Street,Saturday-Sunday,6:00 PM,671,621,,,1292
72 Avenue West of 123 Street,Saturday-Sunday,7:00 PM,534,437,,,971
72 Avenue West of 123 Street,Saturday-Sunday,8:00 PM,467,404,,,871
72 Avenue West of 123 Street,Saturday-Sunday,9:00 PM,414,339,,,753
72 Avenue West of 123 Street,Saturday-Sunday,10:00 PM,288,207,,,495
72 Avenue West of 123 Street,Saturday-Sunday,11:00 PM,246,130,,,376
96 Avenue East of 130 Street,Monday-Friday,12:00 AM,95,84,,,179
96 Avenue East of 130 Street,Monday-Friday,1:00 AM,56,60,,,116
96 Avenue East of 130 Street,Monday-Friday,2:00 AM,41,47,,,88
96 Avenue East of 130 Street,Monday-Friday,3:00 AM,52,54,,,106
