Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,31,12,,,43
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,21,7,,,28
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,9,12,,,21
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,8,21,,,29
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,14,84,,,98
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,37,387,,,424
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,112,523,,,635
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,228,525,,,753
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,249,434,,,683
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,220,286,,,506
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,230,232,,,462
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,276,244,,,520
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,287,254,,,541
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,310,275,,,585
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,423,291,,,714
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,557,305,,,862
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,583,314,,,897
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,495,256,,,751
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,297,183,,,480
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,193,128,,,321
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,147,99,,,246
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,128,78,,,206
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,95,51,,,146
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,63,36,,,99
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,48,28,,,76
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,25,18,,,43
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,15,11,,,26
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,10,12,,,22
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,8,26,,,34
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,18,62,,,80
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,41,85,,,126
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,75,107,,,182
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,120,165,,,285
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,170,189,,,359
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,203,199,,,402
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,235,217,,,452
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,267,221,,,488
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,253,239,,,492
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,279,242,,,521
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,287,246,,,533
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,282,254,,,536
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,238,187,,,425
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,174,139,,,313
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,141,118,,,259
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,130,93,,,223
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,110,88,,,198
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,84,62,,,146
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,57,37,,,94
72 Avenue West of 123 Street,Monday-Friday,12:00 AM,115,54,,,169
72 Avenue West of 123 Street,Monday-Friday,1:00 AM,90,45,,,135
72 Avenue West of 123 Street,Monday-Friday,2:00 AM,57,67,,,124
72 Avenue West of 123 Street,Monday-Friday,3:00 AM,66,128,,,194
72 Avenue West of 123 Street,Monday-Friday,4:00 AM,106,455,,,561
72 Avenue West of 123 Street,Monday-Friday,5:00 AM,260,627,,,887
