Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Monday-Friday,12:00 AM,42,27,,,69
16 Avenue East of 192 Street,Monday-Friday,1:00 AM,22,19,,,41
16 Avenue East of 192 Street,Monday-Friday,2:00 AM,14,13,,,27
16 Avenue East of 192 Street,Monday-Friday,3:00 AM,12,16,,,28
16 Avenue East of 192 Street,Monday-Friday,4:00 AM,27,54,,,81
16 Avenue East of 192 Street,Monday-Friday,5:00 AM,70,193,,,263
16 Avenue East of 192 Street,Monday-Friday,6:00 AM,198,413,,,611
16 Avenue East of 192 Street,Monday-Friday,7:00 AM,317,436,,,753
16 Avenue East of 192 Street,Monday-Friday,8:00 AM,343,445,,,788
16 Avenue East of 192 Street,Monday-Friday,9:00 AM,350,371,,,721
16 Avenue East of 192 Street,Monday-Friday,10:00 AM,357,347,,,704
16 Avenue East of 192 Street,Monday-Friday,11:00 AM,366,361,,,727
16 Avenue East of 192 Street,Monday-Friday,12:00 PM,374,368,,,742
16 Avenue East of 192 Street,Monday-Friday,1:00 PM,405,379,,,784
16 Avenue East of 192 Street,Monday-Friday,2:00 PM,449,390,,,839
16 Avenue East of 192 Street,Monday-Friday,3:00 PM,606,434,,,1040
16 Avenue East of 192 Street,Monday-Friday,4:00 PM,647,501,,,1148
16 Avenue East of 192 Street,Monday-Friday,5:00 PM,537,460,,,997
16 Avenue East of 192 Street,Monday-Friday,6:00 PM,350,344,,,694
16 Avenue East of 192 Street,Monday-Friday,7:00 PM,254,255,,,509
16 Avenue East of 192 Street,Monday-Friday,8:00 PM,204,223,,,427
16 Avenue East of 192 Street,Monday-Friday,9:00 PM,165,165,,,330
16 Avenue East of 192 Street,Monday-Friday,10:00 PM,111,104,,,215
16 Avenue East of 192 Street,Monday-Friday,11:00 PM,77,62,,,139
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,32,15,,,47
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,21,8,,,29
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,9,8,,,17
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,8,11,,,19
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,9,42,,,51
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,30,188,,,218
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,75,315,,,390
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,122,327,,,449
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,146,260,,,406
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,154,214,,,368
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,175,197,,,372
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,200,194,,,394
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,215,201,,,416
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,232,199,,,431
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,258,183,,,441
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,375,206,,,581
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,429,210,,,639
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,366,191,,,557
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,224,148,,,372
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,172,114,,,286
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,141,103,,,244
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,122,83,,,205
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,84,52,,,136
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,58,32,,,90
88 Avenue West of 123 Street,Monday-Friday,12:00 AM,305,143,,,448
88 Avenue West of 123 Street,Monday-Friday,1:00 AM,185,84,,,269
88 Avenue West of 123 Street,Monday-Friday,2:00 AM,106,72,,,178
88 Avenue West of 123 Street,Monday-Friday,3:00 AM,76,106,,,182
88 Avenue West of 123 Street,Monday-Friday,4:00 AM,96,227,,,323
88 Avenue West of 123 Street,Monday-Friday,5:00 AM,196,747,,,943
88 Avenue West of 123 Street,Monday-Friday,6:00 AM,496,1001,,,1497
88 Avenue West of 123 Street,Monday-Friday,7:00 AM,731,1001,,,1732
88 Avenue West of 123 Street,Monday-Friday,8:00 AM,720,985,,,1705
88 Avenue West of 123 Street,Monday-Friday,9:00 AM,694,966,,,1660
88 Avenue West of 123 Street,Monday-Friday,10:00 AM,771,953,,,1724
88 Avenue West of 123 Street,Monday-Friday,11:00 AM,911,1049,,,1960
88 Avenue West of 123 Street,Monday-Friday,12:00 PM,1035,1091,,,2126
88 Avenue West of 123 Street,Monday-Friday,1:00 PM,1079,1120,,,2199
88 Avenue West of 123 Street,Monday-Friday,2:00 PM,1210,1156,,,2366
