Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,29,16,,,45
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,22,8,,,30
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,12,10,,,22
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,8,16,,,24
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,9,59,,,68
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,25,287,,,312
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,87,460,,,547
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,180,511,,,691
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,235,424,,,659
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,195,263,,,458
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,199,217,,,416
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,227,218,,,445
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,254,230,,,484
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,270,238,,,508
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,362,257,,,619
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,468,278,,,746
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,550,270,,,820
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,457,225,,,682
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,286,165,,,451
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,174,110,,,284
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,133,90,,,223
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,115,79,,,194
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,87,52,,,139
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,66,36,,,102
72 Avenue West of 123 Street,Monday-Friday,12:00 AM,178,71,,,249
72 Avenue West of 123 Street,Monday-Friday,1:00 AM,89,39,,,128
72 Avenue West of 123 Street,Monday-Friday,2:00 AM,72,40,,,112
72 Avenue West of 123 Street,Monday-Friday,3:00 AM,55,81,,,136
72 Avenue West of 123 Street,Monday-Friday,4:00 AM,78,152,,,230
72 Avenue West of 123 Street,Monday-Friday,5:00 AM,120,535,,,655
72 Avenue West of 123 Street,Monday-Friday,6:00 AM,281,566,,,847
72 Avenue West of 123 Street,Monday-Friday,7:00 AM,501,606,,,1107
72 Avenue West of 123 Street,Monday-Friday,8:00 AM,638,757,,,1395
72 Avenue West of 123 Street,Monday-Friday,9:00 AM,633,719,,,1352
72 Avenue West of 123 Street,Monday-Friday,10:00 AM,624,751,,,1375
72 Avenue West of 123 Street,Monday-Friday,11:00 AM,741,848,,,1589
72 Avenue West of 123 Street,Monday-Friday,12:00 PM,874,872,,,1746
72 Avenue West of 123 Street,Monday-Friday,1:00 PM,908,885,,,1793
72 Avenue West of 123 Street,Monday-Friday,2:00 PM,984,936,,,1920
72 Avenue West of 123 Street,Monday-Friday,3:00 PM,1047,987,,,2034
72 Avenue West of 123 Street,Monday-Friday,4:00 PM,1087,1009,,,2096
72 Avenue West of 123 Street,Monday-Friday,5:00 PM,1043,909,,,1952
72 Avenue West of 123 Street,Monday-Friday,6:00 PM,989,831,,,1820
72 Avenue West of 123 Street,Monday-Friday,7:00 PM,764,638,,,1402
72 Avenue West of 123 Street,Monday-Friday,8:00 PM,588,501,,,1089
72 Avenue West of 123 Street,Monday-Friday,9:00 PM,532,430,,,962
72 Avenue West of 123 Street,Monday-Friday,10:00 PM,358,277,,,635
72 Avenue West of 123 Street,Monday-Friday,11:00 PM,268,139,,,407
152 Street South of 24 Avenue,Monday-Friday,12:00 AM,,,41,49,90
152 Street South of 24 Avenue,Monday-Friday,1:00 AM,,,29,29,58
152 Street South of 24 Avenue,Monday-Friday,2:00 AM,,,22,22,44
152 Street South of 24 Avenue,Monday-Friday,3:00 AM,,,23,16,39
152 Street South of 24 Avenue,Monday-Friday,4:00 AM,,,44,22,66
152 Street South of 24 Avenue,Monday-Friday,5:00 AM,,,151,77,228
152 Street South of 24 Avenue,Monday-Friday,6:00 AM,,,337,190,527
152 Street South of 24 Avenue,Monday-Friday,7:00 AM,,,539,409,948
152 Street South of 24 Avenue,Monday-Friday,8:00 AM,,,727,856,1583
152 Street South of 24 Avenue,Monday-Friday,9:00 AM,,,646,789,1435
152 Street South of 24 Avenue,Monday-Friday,10:00 AM,,,739,737,1476
152 Street South of 24 Avenue,Monday-Friday,11:00 AM,,,791,806,1597
152 Street South of 24 Avenue,Monday-Friday,12:00 PM,,,808,815,1623
152 Street South of 24 Avenue,Monday-Friday,1:00 PM,,,807,861,1668
152 Street South of 24 Avenue,Monday-Friday,2:00 PM,,,902,960,1862
152 Street South of 24 Avenue,Monday-Friday,3:00 PM,,,933,1057,1990
152 Street South of 24 Avenue,Monday-Friday,4:00 PM,,,846,1017,1863
152 Street South of 24 Avenue,Monday-Friday,5:00 PM,,,786,923,1709
152 Street South of 24 Avenue,Monday-Friday,6:00 PM,,,649,737,1386
152 Street South of 24 Avenue,Monday-Friday,7:00 PM,,,478,522,1000
152 Street South of 24 Avenue,Monday-Friday,8:00 PM,,,390,353,743
152 Street South of 24 Avenue,Monday-Friday,9:00 PM,,,293,268,561
152 Street South of 24 Avenue,Monday-Friday,10:00 PM,,,185,183,368
152 Street South of 24 Avenue,Monday-Friday,11:00 PM,,,115,110,225
152 Street South of 70 Avenue,Monday-Friday,12:00 AM,,,83,80,163
152 Street South of 70 Avenue,Monday-Friday,1:00 AM,,,44,42,86
152 Street South of 70 Avenue,Monday-Friday,2:00 AM,,,30,31,61
152 Street South of 70 Avenue,Monday-Friday,3:00 AM,,,29,46,75
152 Street South of 70 Avenue,Monday-Friday,4:00 AM,,,58,81,139
152 Street South of 70 Avenue,Monday-Friday,5:00 AM,,,168,229,397
152 Street South of 70 Avenue,Monday-Friday,6:00 AM,,,458,577,1035
152 Street South of 70 Avenue,Monday-Friday,7:00 AM,,,856,907,1763
152 Street South of 70 Avenue,Monday-Friday,8:00 AM,,,910,1030,1940
152 Street South of 70 Avenue,Monday-Friday,9:00 AM,,,645,770,1415
152 Street South of 70 Avenue,Monday-Friday,10:00 AM,,,626,685,1311
152 Street South of 70 Avenue,Monday-Friday,11:00 AM,,,681,719,1400
152 Street South of 70 Avenue,Monday-Friday,12:00 PM,,,703,744,1447
152 Street South of 70 Avenue,Monday-Friday,1:00 PM,,,708,810,1518
152 Street South of 70 Avenue,Monday-Friday,2:00 PM,,,874,946,1820
152 Street South of 70 Avenue,Monday-Friday,3:00 PM,,,974,1069,2043
152 Street South of 70 Avenue,Monday-Friday,4:00 PM,,,1024,1100,2124
152 Street South of 70 Avenue,Monday-Friday,5:00 PM,,,1009,1103,2112
152 Street South of 70 Avenue,Monday-Friday,6:00 PM,,,841,916,1757
152 Street South of 70 Avenue,Monday-Friday,7:00 PM,,,630,706,1336
152 Street South of 70 Avenue,Monday-Friday,8:00 PM,,,515,516,1031
152 Street South of 70 Avenue,Monday-Friday,9:00 PM,,,458,456,914
152 Street South of 70 Avenue,Monday-Friday,10:00 PM,,,307,299,606
152 Street South of 70 Avenue,Monday-Friday,11:00 PM,,,215,177,392
Fraser Highway East of 188 Street,Monday-Friday,12:00 AM,56,77,,,133
Fraser Highway East of 188 Street,Monday-Friday,1:00 AM,31,40,,,71
Fraser Highway East of 188 Street,Monday-Friday,2:00 AM,21,26,,,47
Fraser Highway East of 188 Street,Monday-Friday,3:00 AM,29,28,,,57
Fraser Highway East of 188 Street,Monday-Friday,4:00 AM,81,62,,,143
Fraser Highway East of 188 Street,Monday-Friday,5:00 AM,146,202,,,348
Fraser Highway East of 188 Street,Monday-Friday,6:00 AM,349,464,,,813
Fraser Highway East of 188 Street,Monday-Friday,7:00 AM,594,695,,,1289
Fraser Highway East of 188 Street,Monday-Friday,8:00 AM,721,571,,,1292
Fraser Highway East of 188 Street,Monday-Friday,9:00 AM,657,506,,,1163
Fraser Highway East of 188 Street,Monday-Friday,10:00 AM,659,571,,,1230
Fraser Highway East of 188 Street,Monday-Friday,11:00 AM,729,674,,,1403
Fraser Highway East of 188 Street,Monday-Friday,12:00 PM,739,766,,,1505
Fraser Highway East of 188 Street,Monday-Friday,1:00 PM,719,816,,,1535
Fraser Highway East of 188 Street,Monday-Friday,2:00 PM,765,925,,,1690
Fraser Highway East of 188 Street,Monday-Friday,3:00 PM,851,1019,,,1870
Fraser Highway East of 188 Street,Monday-Friday,4:00 PM,891,1064,,,1955
Fraser Highway East of 188 Street,Monday-Friday,5:00 PM,808,1039,,,1847
Fraser Highway East of 188 Street,Monday-Friday,6:00 PM,642,805,,,1447
Fraser Highway East of 188 Street,Monday-Friday,7:00 PM,454,582,,,1036
Fraser Highway East of 188 Street,Monday-Friday,8:00 PM,304,512,,,816
Fraser Highway East of 188 Street,Monday-Friday,9:00 PM,248,422,,,670
Fraser Highway East of 188 Street,Monday-Friday,10:00 PM,171,261,,,432
Fraser Highway East of 188 Street,Monday-Friday,11:00 PM,115,180,,,295
King George Boulevard North of 34 Avenue,Monday-Friday,12:00 AM,,,35,39,74
King George Boulevard North of 34 Avenue,Monday-Friday,1:00 AM,,,21,28,49
King George Boulevard North of 34 Avenue,Monday-Friday,2:00 AM,,,17,21,38
King George Boulevard North of 34 Avenue,Monday-Friday,3:00 AM,,,16,13,29
King George Boulevard North of 34 Avenue,Monday-Friday,4:00 AM,,,27,32,59
King George Boulevard North of 34 Avenue,Monday-Friday,5:00 AM,,,128,83,211
King George Boulevard North of 34 Avenue,Monday-Friday,6:00 AM,,,358,240,598
King George Boulevard North of 34 Avenue,Monday-Friday,7:00 AM,,,594,373,967
King George Boulevard North of 34 Avenue,Monday-Friday,8:00 AM,,,545,526,1071
King George Boulevard North of 34 Avenue,Monday-Friday,9:00 AM,,,456,448,904
King George Boulevard North of 34 Avenue,Monday-Friday,10:00 AM,,,447,465,912
King George Boulevard North of 34 Avenue,Monday-Friday,11:00 AM,,,498,520,1018
King George Boulevard North of 34 Avenue,Monday-Friday,12:00 PM,,,515,549,1064
