Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,56,44,,,100
16 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,32,30,,,62
16 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,16,20,,,36
16 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,10,16,,,26
16 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,15,21,,,36
16 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,28,50,,,78
16 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,69,96,,,165
16 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,115,124,,,239
16 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,189,193,,,382
16 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,258,250,,,508
16 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,299,265,,,564
16 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,323,327,,,650
16 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,341,348,,,689
16 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,345,368,,,713
16 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,351,373,,,724
16 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,345,382,,,727
16 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,312,384,,,696
16 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,276,328,,,604
16 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,231,277,,,508
16 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,195,217,,,412
16 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,184,198,,,382
16 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,154,155,,,309
16 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,118,104,,,222
16 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,74,67,,,141
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,37,25,,,62
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,18,13,,,31
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,11,9,,,20
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,5,9,,,14
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,8,15,,,23
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,12,38,,,50
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,30,61,,,91
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,49,83,,,132
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,91,128,,,219
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,117,154,,,271
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,137,167,,,304
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,150,181,,,331
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,169,187,,,356
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,176,190,,,366
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,172,181,,,353
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,175,195,,,370
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,165,194,,,359
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,153,168,,,321
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,123,130,,,253
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,109,112,,,221
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,96,106,,,202
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,90,80,,,170
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,67,52,,,119
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,39,32,,,71
72 Avenue West of 123 Street,Saturday-Sunday,12:00 AM,316,158,,,474
72 Avenue West of 123 Street,Saturday-Sunday,1:00 AM,184,89,,,273
72 Avenue West of 123 Street,Saturday-Sunday,2:00 AM,121,74,,,195
72 Avenue West of 123 Street,Saturday-Sunday,3:00 AM,101,97,,,198
72 Avenue West of 123 Street,Saturday-Sunday,4:00 AM,111,107,,,218
72 Avenue West of 123 Street,Saturday-Sunday,5:00 AM,98,189,,,287
72 Avenue West of 123 Street,Saturday-Sunday,6:00 AM,148,243,,,391
72 Avenue West of 123 Street,Saturday-Sunday,7:00 AM,224,304,,,528
72 Avenue West of 123 Street,Saturday-Sunday,8:00 AM,326,457,,,783
72 Avenue West of 123 Street,Saturday-Sunday,9:00 AM,490,637,,,1127
72 Avenue West of 123 Street,Saturday-Sunday,10:00 AM,657,810,,,1467
72 Avenue West of 123 Street,Saturday-Sunday,11:00 AM,771,887,,,1658
72 Avenue West of 123 Street,Saturday-Sunday,12:00 PM,891,952,,,1843
72 Avenue West of 123 Street,Saturday-Sunday,1:00 PM,954,976,,,1930
72 Avenue West of 123 Street,Saturday-Sunday,2:00 PM,977,1007,,,1984
72 Avenue West of 123 Street,Saturday-Sunday,3:00 PM,977,931,,,1908
72 Avenue West of 123 Street,Saturday-Sunday,4:00 PM,981,911,,,1892
72 Avenue West of 123 Street,Saturday-Sunday,5:00 PM,896,838,,,1734
72 Avenue West of 123 Street,Saturday-Sunday,6:00 PM,815,763,,,1578
72 Avenue West of 123 Street,Saturday-Sunday,7:00 PM,695,690,,,1385
72 Avenue West of 123 Street,Saturday-Sunday,8:00 PM,615,554,,,1169
72 Avenue West of 123 Street,Saturday-Sunday,9:00 PM,549,464,,,1013
72 Avenue West of 123 Street,Saturday-Sunday,10:00 PM,462,383,,,845
72 Avenue West of 123 Street,Saturday-Sunday,11:00 PM,342,211,,,553
88 Avenue West of 123 Street,Saturday-Sunday,12:00 AM,322,199,,,521
88 Avenue West of 123 Street,Saturday-Sunday,1:00 AM,201,104,,,305
88 Avenue West of 123 Street,Saturday-Sunday,2:00 AM,122,71,,,193
88 Avenue West of 123 Street,Saturday-Sunday,3:00 AM,89,91,,,180
88 Avenue West of 123 Street,Saturday-Sunday,4:00 AM,105,101,,,206
88 Avenue West of 123 Street,Saturday-Sunday,5:00 AM,111,212,,,323
88 Avenue West of 123 Street,Saturday-Sunday,6:00 AM,181,300,,,481
88 Avenue West of 123 Street,Saturday-Sunday,7:00 AM,251,360,,,611
88 Avenue West of 123 Street,Saturday-Sunday,8:00 AM,351,492,,,843
88 Avenue West of 123 Street,Saturday-Sunday,9:00 AM,505,677,,,1182
88 Avenue West of 123 Street,Saturday-Sunday,10:00 AM,645,795,,,1440
88 Avenue West of 123 Street,Saturday-Sunday,11:00 AM,797,880,,,1677
88 Avenue West of 123 Street,Saturday-Sunday,12:00 PM,878,990,,,1868
88 Avenue West of 123 Street,Saturday-Sunday,1:00 PM,948,980,,,1928
88 Avenue West of 123 Street,Saturday-Sunday,2:00 PM,980,979,,,1959
88 Avenue West of 123 Street,Saturday-Sunday,3:00 PM,998,973,,,1971
88 Avenue West of 123 Street,Saturday-Sunday,4:00 PM,967,902,,,1869
88 Avenue West of 123 Street,Saturday-Sunday,5:00 PM,909,918,,,1827
88 Avenue West of 123 Street,Saturday-Sunday,6:00 PM,853,853,,,1706
88 Avenue West of 123 Street,Saturday-Sunday,7:00 PM,713,731,,,1444
88 Avenue West of 123 Street,Saturday-Sunday,8:00 PM,600,600,,,1200
88 Avenue West of 123 Street,Saturday-Sunday,9:00 PM,549,509,,,1058
88 Avenue West of 123 Street,Saturday-Sunday,10:00 PM,478,458,,,936
88 Avenue West of 123 Street,Saturday-Sunday,11:00 PM,392,280,,,672
96 Avenue East of 130 Street,Saturday-Sunday,12:00 AM,197,184,,,381
96 Avenue East of 130 Street,Saturday-Sunday,1:00 AM,130,118,,,248
96 Avenue East of 130 Street,Saturday-Sunday,2:00 AM,87,83,,,170
96 Avenue East of 130 Street,Saturday-Sunday,3:00 AM,67,67,,,134
96 Avenue East of 130 Street,Saturday-Sunday,4:00 AM,69,66,,,135
96 Avenue East of 130 Street,Saturday-Sunday,5:00 AM,93,104,,,197
96 Avenue East of 130 Street,Saturday-Sunday,6:00 AM,200,150,,,350
96 Avenue East of 130 Street,Saturday-Sunday,7:00 AM,247,216,,,463
96 Avenue East of 130 Street,Saturday-Sunday,8:00 AM,340,292,,,632
96 Avenue East of 130 Street,Saturday-Sunday,9:00 AM,482,436,,,918
96 Avenue East of 130 Street,Saturday-Sunday,10:00 AM,583,548,,,1131
96 Avenue East of 130 Street,Saturday-Sunday,11:00 AM,649,616,,,1265
96 Avenue East of 130 Street,Saturday-Sunday,12:00 PM,727,702,,,1429
96 Avenue East of 130 Street,Saturday-Sunday,1:00 PM,783,756,,,1539
96 Avenue East of 130 Street,Saturday-Sunday,2:00 PM,787,778,,,1565
96 Avenue East of 130 Street,Saturday-Sunday,3:00 PM,760,787,,,1547
96 Avenue East of 130 Street,Saturday-Sunday,4:00 PM,711,761,,,1472
96 Avenue East of 130 Street,Saturday-Sunday,5:00 PM,689,748,,,1437
96 Avenue East of 130 Street,Saturday-Sunday,6:00 PM,637,710,,,1347
96 Avenue East of 130 Street,Saturday-Sunday,7:00 PM,534,587,,,1121
96 Avenue East of 130 Street,Saturday-Sunday,8:00 PM,457,499,,,956
