Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,29,18,,,47
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,23,8,,,31
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,10,10,,,20
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,9,16,,,25
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,9,57,,,66
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,26,296,,,322
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,87,468,,,555
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,184,509,,,693
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,218,418,,,636
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,195,273,,,468
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,204,225,,,429
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,242,218,,,460
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,251,223,,,474
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,279,243,,,522
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,347,249,,,596
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,478,265,,,743
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,564,275,,,839
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,481,237,,,718
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,297,174,,,471
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,189,129,,,318
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,141,97,,,238
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,124,84,,,208
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,94,55,,,149
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,64,37,,,101
64 Avenue West of 196 Street,Monday-Friday,12:00 AM,57,86,,,143
64 Avenue West of 196 Street,Monday-Friday,1:00 AM,30,45,,,75
64 Avenue West of 196 Street,Monday-Friday,2:00 AM,18,20,,,38
64 Avenue West of 196 Street,Monday-Friday,3:00 AM,13,12,,,25
64 Avenue West of 196 Street,Monday-Friday,4:00 AM,17,16,,,33
64 Avenue West of 196 Street,Monday-Friday,5:00 AM,43,31,,,74
