Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Monday-Friday,12:00 AM,32,24,,,56
16 Avenue East of 192 Street,Monday-Friday,1:00 AM,20,15,,,35
16 Avenue East of 192 Street,Monday-Friday,2:00 AM,12,12,,,24
16 Avenue East of 192 Street,Monday-Friday,3:00 AM,9,13,,,22
16 Avenue East of 192 Street,Monday-Friday,4:00 AM,19,48,,,67
16 Avenue East of 192 Street,Monday-Friday,5:00 AM,53,190,,,243
16 Avenue East of 192 Street,Monday-Friday,6:00 AM,174,413,,,587
16 Avenue East of 192 Street,Monday-Friday,7:00 AM,310,451,,,761
16 Avenue East of 192 Street,Monday-Friday,8:00 AM,344,448,,,792
16 Avenue East of 192 Street,Monday-Friday,9:00 AM,343,378,,,721
16 Avenue East of 192 Street,Monday-Friday,10:00 AM,324,344,,,668
16 Avenue East of 192 Street,Monday-Friday,11:00 AM,337,342,,,679
16 Avenue East of 192 Street,Monday-Friday,12:00 PM,346,354,,,700
16 Avenue East of 192 Street,Monday-Friday,1:00 PM,373,354,,,727
16 Avenue East of 192 Street,Monday-Friday,2:00 PM,413,373,,,786
16 Avenue East of 192 Street,Monday-Friday,3:00 PM,571,421,,,992
16 Avenue East of 192 Street,Monday-Friday,4:00 PM,625,459,,,1084
16 Avenue East of 192 Street,Monday-Friday,5:00 PM,502,421,,,923
16 Avenue East of 192 Street,Monday-Friday,6:00 PM,327,306,,,633
16 Avenue East of 192 Street,Monday-Friday,7:00 PM,228,216,,,444
16 Avenue East of 192 Street,Monday-Friday,8:00 PM,185,183,,,368
16 Avenue East of 192 Street,Monday-Friday,9:00 PM,146,142,,,288
16 Avenue East of 192 Street,Monday-Friday,10:00 PM,100,91,,,191
16 Avenue East of 192 Street,Monday-Friday,11:00 PM,71,59,,,130
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,30,17,,,47
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,21,8,,,29
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,12,8,,,20
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,9,15,,,24
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,10,64,,,74
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,34,298,,,332
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,92,475,,,567
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,195,494,,,689
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,235,401,,,636
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,204,267,,,471
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,208,229,,,437
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,240,224,,,464
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,260,234,,,494
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,273,243,,,516
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,343,256,,,599
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,481,283,,,764
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,567,284,,,851
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,478,248,,,726
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,319,192,,,511
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,205,144,,,349
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,172,121,,,293
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,156,100,,,256
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,107,63,,,170
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,71,36,,,107
64 Avenue West of 196 Street,Monday-Friday,12:00 AM,33,51,,,84
64 Avenue West of 196 Street,Monday-Friday,1:00 AM,21,27,,,48
64 Avenue West of 196 Street,Monday-Friday,2:00 AM,15,17,,,32
64 Avenue West of 196 Street,Monday-Friday,3:00 AM,18,18,,,36
64 Avenue West of 196 Street,Monday-Friday,4:00 AM,52,39,,,91
64 Avenue West of 196 Street,Monday-Friday,5:00 AM,136,117,,,253
64 Avenue West of 196 Street,Monday-Friday,6:00 AM,248,220,,,468
64 Avenue West of 196 Street,Monday-Friday,7:00 AM,400,334,,,734
64 Avenue West of 196 Street,Monday-Friday,8:00 AM,612,313,,,925
64 Avenue West of 196 Street,Monday-Friday,9:00 AM,593,326,,,919
64 Avenue West of 196 Street,Monday-Friday,10:00 AM,618,448,,,1066
64 Avenue West of 196 Street,Monday-Friday,11:00 AM,657,535,,,1192
64 Avenue West of 196 Street,Monday-Friday,12:00 PM,641,576,,,1217
64 Avenue West of 196 Street,Monday-Friday,1:00 PM,641,616,,,1257
64 Avenue West of 196 Street,Monday-Friday,2:00 PM,700,672,,,1372
64 Avenue West of 196 Street,Monday-Friday,3:00 PM,755,729,,,1484
64 Avenue West of 196 Street,Monday-Friday,4:00 PM,844,791,,,1635
64 Avenue West of 196 Street,Monday-Friday,5:00 PM,769,777,,,1546
64 Avenue West of 196 Street,Monday-Friday,6:00 PM,618,617,,,1235
64 Avenue West of 196 Street,Monday-Friday,7:00 PM,481,544,,,1025
64 Avenue West of 196 Street,Monday-Friday,8:00 PM,341,466,,,807
64 Avenue West of 196 Street,Monday-Friday,9:00 PM,249,369,,,618
64 Avenue West of 196 Street,Monday-Friday,10:00 PM,153,214,,,367
64 Avenue West of 196 Street,Monday-Friday,11:00 PM,82,119,,,201
72 Avenue West of 123 Street,Monday-Friday,12:00 AM,217,83,,,300
72 Avenue West of 123 Street,Monday-Friday,1:00 AM,110,50,,,160
72 Avenue West of 123 Street,Monday-Friday,2:00 AM,82,53,,,135
72 Avenue West of 123 Street,Monday-Friday,3:00 AM,61,85,,,146
