Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,48,44,,,92
16 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,30,26,,,56
16 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,12,17,,,29
16 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,9,13,,,22
16 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,11,17,,,28
16 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,24,55,,,79
16 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,68,99,,,167
16 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,118,121,,,239
16 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,183,192,,,375
16 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,239,234,,,473
16 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,281,258,,,539
16 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,304,311,,,615
16 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,309,324,,,633
16 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,311,352,,,663
16 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,309,344,,,653
16 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,313,344,,,657
16 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,284,339,,,623
16 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,266,307,,,573
16 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,203,239,,,442
16 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,172,188,,,360
16 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,155,157,,,312
16 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,133,129,,,262
16 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,116,96,,,212
16 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,72,70,,,142
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,53,30,,,83
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,32,17,,,49
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,15,12,,,27
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,11,11,,,22
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,9,20,,,29
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,17,52,,,69
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,38,83,,,121
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,71,117,,,188
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,122,172,,,294
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,175,202,,,377
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,214,214,,,428
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,237,224,,,461
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,257,219,,,476
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,259,214,,,473
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,263,232,,,495
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,265,231,,,496
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,259,222,,,481
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,244,186,,,430
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,187,150,,,337
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,153,119,,,272
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,129,105,,,234
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,130,89,,,219
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,84,64,,,148
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,63,41,,,104
64 Avenue West of 196 Street,Saturday-Sunday,12:00 AM,74,97,,,171
64 Avenue West of 196 Street,Saturday-Sunday,1:00 AM,57,60,,,117
64 Avenue West of 196 Street,Saturday-Sunday,2:00 AM,38,43,,,81
64 Avenue West of 196 Street,Saturday-Sunday,3:00 AM,25,25,,,50
64 Avenue West of 196 Street,Saturday-Sunday,4:00 AM,34,21,,,55
64 Avenue West of 196 Street,Saturday-Sunday,5:00 AM,49,36,,,85
64 Avenue West of 196 Street,Saturday-Sunday,6:00 AM,84,52,,,136
64 Avenue West of 196 Street,Saturday-Sunday,7:00 AM,185,111,,,296
64 Avenue West of 196 Street,Saturday-Sunday,8:00 AM,353,198,,,551
64 Avenue West of 196 Street,Saturday-Sunday,9:00 AM,585,314,,,899
64 Avenue West of 196 Street,Saturday-Sunday,10:00 AM,732,483,,,1215
64 Avenue West of 196 Street,Saturday-Sunday,11:00 AM,772,588,,,1360
64 Avenue West of 196 Street,Saturday-Sunday,12:00 PM,769,651,,,1420
64 Avenue West of 196 Street,Saturday-Sunday,1:00 PM,767,693,,,1460
64 Avenue West of 196 Street,Saturday-Sunday,2:00 PM,723,712,,,1435
64 Avenue West of 196 Street,Saturday-Sunday,3:00 PM,693,744,,,1437
64 Avenue West of 196 Street,Saturday-Sunday,4:00 PM,631,703,,,1334
64 Avenue West of 196 Street,Saturday-Sunday,5:00 PM,507,663,,,1170
64 Avenue West of 196 Street,Saturday-Sunday,6:00 PM,424,507,,,931
64 Avenue West of 196 Street,Saturday-Sunday,7:00 PM,342,378,,,720
64 Avenue West of 196 Street,Saturday-Sunday,8:00 PM,278,301,,,579
64 Avenue West of 196 Street,Saturday-Sunday,9:00 PM,218,281,,,499
64 Avenue West of 196 Street,Saturday-Sunday,10:00 PM,156,196,,,352
64 Avenue West of 196 Street,Saturday-Sunday,11:00 PM,98,123,,,221
72 Avenue West of 123 Street,Saturday-Sunday,12:00 AM,309,141,,,450
72 Avenue West of 123 Street,Saturday-Sunday,1:00 AM,174,86,,,260
72 Avenue West of 123 Street,Saturday-Sunday,2:00 AM,114,71,,,185
72 Avenue West of 123 Street,Saturday-Sunday,3:00 AM,97,89,,,186
72 Avenue West of 123 Street,Saturday-Sunday,4:00 AM,109,105,,,214
72 Avenue West of 123 Street,Saturday-Sunday,5:00 AM,99,199,,,298
72 Avenue West of 123 Street,Saturday-Sunday,6:00 AM,156,266,,,422
72 Avenue West of 123 Street,Saturday-Sunday,7:00 AM,217,318,,,535
72 Avenue West of 123 Street,Saturday-Sunday,8:00 AM,333,457,,,790
