Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,27,14,,,41
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,20,7,,,28
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,10,9,,,19
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,6,17,,,23
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,9,53,,,62
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,28,252,,,280
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,72,401,,,474
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,167,444,,,611
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,191,362,,,553
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,176,237,,,413
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,187,206,,,392
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,213,205,,,418
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,231,207,,,438
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,246,214,,,460
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,321,233,,,554
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,436,243,,,679
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,482,239,,,721
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,409,199,,,608
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,248,141,,,389
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,155,99,,,254
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,118,78,,,196
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,107,69,,,176
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,83,49,,,132
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,56,29,,,86
96 Avenue East of 130 Street,Monday-Friday,12:00 AM,215,30,,,245
96 Avenue East of 130 Street,Monday-Friday,1:00 AM,182,22,,,205
96 Avenue East of 130 Street,Monday-Friday,2:00 AM,184,17,,,201
96 Avenue East of 130 Street,Monday-Friday,3:00 AM,177,18,,,194
96 Avenue East of 130 Street,Monday-Friday,4:00 AM,195,24,,,219
96 Avenue East of 130 Street,Monday-Friday,5:00 AM,264,62,,,326
96 Avenue East of 130 Street,Monday-Friday,6:00 AM,323,95,,,418
96 Avenue East of 130 Street,Monday-Friday,7:00 AM,390,167,,,557
96 Avenue East of 130 Street,Monday-Friday,8:00 AM,421,223,,,644
96 Avenue East of 130 Street,Monday-Friday,9:00 AM,422,169,,,591
96 Avenue East of 130 Street,Monday-Friday,10:00 AM,448,177,,,625
96 Avenue East of 130 Street,Monday-Friday,11:00 AM,472,224,,,696
96 Avenue East of 130 Street,Monday-Friday,12:00 PM,518,226,,,744
96 Avenue East of 130 Street,Monday-Friday,1:00 PM,490,239,,,729
96 Avenue East of 130 Street,Monday-Friday,2:00 PM,508,290,,,797
96 Avenue East of 130 Street,Monday-Friday,3:00 PM,545,325,,,870
96 Avenue East of 130 Street,Monday-Friday,4:00 PM,521,316,,,837
96 Avenue East of 130 Street,Monday-Friday,5:00 PM,492,270,,,762
96 Avenue East of 130 Street,Monday-Friday,6:00 PM,454,210,,,664
96 Avenue East of 130 Street,Monday-Friday,7:00 PM,400,155,,,555
96 Avenue East of 130 Street,Monday-Friday,8:00 PM,341,116,,,458
96 Avenue East of 130 Street,Monday-Friday,9:00 PM,315,96,,,411
96 Avenue East of 130 Street,Monday-Friday,10:00 PM,280,68,,,348
96 Avenue East of 130 Street,Monday-Friday,11:00 PM,259,53,,,311
104 Avenue East of 157 Street,Monday-Friday,12:00 AM,79,72,,,151
104 Avenue East of 157 Street,Monday-Friday,1:00 AM,42,41,,,82
104 Avenue East of 157 Street,Monday-Friday,2:00 AM,30,32,,,63
104 Avenue East of 157 Street,Monday-Friday,3:00 AM,43,33,,,75
104 Avenue East of 157 Street,Monday-Friday,4:00 AM,86,53,,,138
104 Avenue East of 157 Street,Monday-Friday,5:00 AM,269,173,,,442
104 Avenue East of 157 Street,Monday-Friday,6:00 AM,502,370,,,872
104 Avenue East of 157 Street,Monday-Friday,7:00 AM,658,776,,,1434
104 Avenue East of 157 Street,Monday-Friday,8:00 AM,582,877,,,1459
104 Avenue East of 157 Street,Monday-Friday,9:00 AM,494,615,,,1108
104 Avenue East of 157 Street,Monday-Friday,10:00 AM,529,571,,,1100
104 Avenue East of 157 Street,Monday-Friday,11:00 AM,623,594,,,1216
104 Avenue East of 157 Street,Monday-Friday,12:00 PM,671,606,,,1277
104 Avenue East of 157 Street,Monday-Friday,1:00 PM,761,580,,,1341
104 Avenue East of 157 Street,Monday-Friday,2:00 PM,918,660,,,1578
104 Avenue East of 157 Street,Monday-Friday,3:00 PM,993,841,,,1834
104 Avenue East of 157 Street,Monday-Friday,4:00 PM,1122,808,,,1930
104 Avenue East of 157 Street,Monday-Friday,5:00 PM,1014,744,,,1759
104 Avenue East of 157 Street,Monday-Friday,6:00 PM,732,559,,,1291
104 Avenue East of 157 Street,Monday-Friday,7:00 PM,541,378,,,919
104 Avenue East of 157 Street,Monday-Friday,8:00 PM,458,294,,,752
104 Avenue East of 157 Street,Monday-Friday,9:00 PM,403,267,,,670
