Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,43,28,,,71
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,27,15,,,42
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,12,10,,,23
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,9,8,,,16
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,6,16,,,22
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,12,45,,,57
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,32,67,,,99
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,53,93,,,146
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,99,135,,,234
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,145,166,,,311
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,180,177,,,357
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,184,180,,,364
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,218,199,,,416
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,225,196,,,421
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,230,193,,,424
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,233,209,,,441
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,231,202,,,433
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,206,142,,,348
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,147,109,,,256
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,114,91,,,204
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,94,73,,,167
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,87,61,,,147
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,70,51,,,121
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,46,35,,,81
96 Avenue East of 130 Street,Saturday-Sunday,12:00 AM,214,32,,,245
96 Avenue East of 130 Street,Saturday-Sunday,1:00 AM,189,25,,,214
96 Avenue East of 130 Street,Saturday-Sunday,2:00 AM,169,18,,,187
96 Avenue East of 130 Street,Saturday-Sunday,3:00 AM,190,13,,,203
96 Avenue East of 130 Street,Saturday-Sunday,4:00 AM,185,14,,,199
96 Avenue East of 130 Street,Saturday-Sunday,5:00 AM,172,18,,,189
96 Avenue East of 130 Street,Saturday-Sunday,6:00 AM,198,25,,,223
96 Avenue East of 130 Street,Saturday-Sunday,7:00 AM,219,38,,,257
96 Avenue East of 130 Street,Saturday-Sunday,8:00 AM,242,68,,,310
96 Avenue East of 130 Street,Saturday-Sunday,9:00 AM,310,109,,,419
96 Avenue East of 130 Street,Saturday-Sunday,10:00 AM,335,136,,,471
96 Avenue East of 130 Street,Saturday-Sunday,11:00 AM,374,174,,,548
96 Avenue East of 130 Street,Saturday-Sunday,12:00 PM,419,203,,,622
96 Avenue East of 130 Street,Saturday-Sunday,1:00 PM,444,226,,,669
96 Avenue East of 130 Street,Saturday-Sunday,2:00 PM,461,236,,,697
96 Avenue East of 130 Street,Saturday-Sunday,3:00 PM,442,245,,,687
96 Avenue East of 130 Street,Saturday-Sunday,4:00 PM,453,223,,,676
96 Avenue East of 130 Street,Saturday-Sunday,5:00 PM,459,187,,,647
96 Avenue East of 130 Street,Saturday-Sunday,6:00 PM,409,168,,,577
96 Avenue East of 130 Street,Saturday-Sunday,7:00 PM,339,114,,,454
96 Avenue East of 130 Street,Saturday-Sunday,8:00 PM,304,88,,,392
96 Avenue East of 130 Street,Saturday-Sunday,9:00 PM,277,70,,,347
96 Avenue East of 130 Street,Saturday-Sunday,10:00 PM,261,57,,,317
96 Avenue East of 130 Street,Saturday-Sunday,11:00 PM,232,46,,,278
104 Avenue East of 157 Street,Saturday-Sunday,12:00 AM,146,118,,,264
104 Avenue East of 157 Street,Saturday-Sunday,1:00 AM,86,63,,,149
104 Avenue East of 157 Street,Saturday-Sunday,2:00 AM,52,41,,,93
104 Avenue East of 157 Street,Saturday-Sunday,3:00 AM,45,32,,,76
104 Avenue East of 157 Street,Saturday-Sunday,4:00 AM,52,31,,,83
104 Avenue East of 157 Street,Saturday-Sunday,5:00 AM,82,48,,,131
104 Avenue East of 157 Street,Saturday-Sunday,6:00 AM,129,91,,,220
104 Avenue East of 157 Street,Saturday-Sunday,7:00 AM,221,201,,,422
104 Avenue East of 157 Street,Saturday-Sunday,8:00 AM,309,308,,,617
104 Avenue East of 157 Street,Saturday-Sunday,9:00 AM,478,472,,,950
104 Avenue East of 157 Street,Saturday-Sunday,10:00 AM,559,522,,,1081
104 Avenue East of 157 Street,Saturday-Sunday,11:00 AM,637,597,,,1234
104 Avenue East of 157 Street,Saturday-Sunday,12:00 PM,705,690,,,1395
104 Avenue East of 157 Street,Saturday-Sunday,1:00 PM,760,678,,,1438
104 Avenue East of 157 Street,Saturday-Sunday,2:00 PM,784,641,,,1424
104 Avenue East of 157 Street,Saturday-Sunday,3:00 PM,790,630,,,1419
104 Avenue East of 157 Street,Saturday-Sunday,4:00 PM,763,645,,,1408
104 Avenue East of 157 Street,Saturday-Sunday,5:00 PM,685,549,,,1234
104 Avenue East of 157 Street,Saturday-Sunday,6:00 PM,550,424,,,975
104 Avenue East of 157 Street,Saturday-Sunday,7:00 PM,401,306,,,707
104 Avenue East of 157 Street,Saturday-Sunday,8:00 PM,353,251,,,604
104 Avenue East of 157 Street,Saturday-Sunday,9:00 PM,303,237,,,540
104 Avenue East of 157 Street,Saturday-Sunday,10:00 PM,231,182,,,413
104 Avenue East of 157 Street,Saturday-Sunday,11:00 PM,150,122,,,272
152 Street South of 70 Avenue,Saturday-Sunday,12:00 AM,,,169,180,349
152 Street South of 70 Avenue,Saturday-Sunday,1:00 AM,,,107,108,214
152 Street South of 70 Avenue,Saturday-Sunday,2:00 AM,,,64,70,133
152 Street South of 70 Avenue,Saturday-Sunday,3:00 AM,,,46,57,102
152 Street South of 70 Avenue,Saturday-Sunday,4:00 AM,,,41,61,101
152 Street South of 70 Avenue,Saturday-Sunday,5:00 AM,,,62,98,160
152 Street South of 70 Avenue,Saturday-Sunday,6:00 AM,,,139,216,355
152 Street South of 70 Avenue,Saturday-Sunday,7:00 AM,,,218,292,511
152 Street South of 70 Avenue,Saturday-Sunday,8:00 AM,,,355,435,790
152 Street South of 70 Avenue,Saturday-Sunday,9:00 AM,,,537,622,1159
152 Street South of 70 Avenue,Saturday-Sunday,10:00 AM,,,647,727,1374
152 Street South of 70 Avenue,Saturday-Sunday,11:00 AM,,,749,835,1583
152 Street South of 70 Avenue,Saturday-Sunday,12:00 PM,,,829,834,1663
152 Street South of 70 Avenue,Saturday-Sunday,1:00 PM,,,860,859,1719
152 Street South of 70 Avenue,Saturday-Sunday,2:00 PM,,,855,847,1702
152 Street South of 70 Avenue,Saturday-Sunday,3:00 PM,,,888,885,1773
152 Street South of 70 Avenue,Saturday-Sunday,4:00 PM,,,878,926,1804
152 Street South of 70 Avenue,Saturday-Sunday,5:00 PM,,,865,885,1750
152 Street South of 70 Avenue,Saturday-Sunday,6:00 PM,,,703,779,1482
152 Street South of 70 Avenue,Saturday-Sunday,7:00 PM,,,514,572,1086
152 Street South of 70 Avenue,Saturday-Sunday,8:00 PM,,,463,439,902
152 Street South of 70 Avenue,Saturday-Sunday,9:00 PM,,,399,400,799
152 Street South of 70 Avenue,Saturday-Sunday,10:00 PM,,,314,323,637
152 Street South of 70 Avenue,Saturday-Sunday,11:00 PM,,,238,211,448
152 Street South of 99 Avenue,Saturday-Sunday,12:00 AM,,,177,261,438
152 Street South of 99 Avenue,Saturday-Sunday,1:00 AM,,,114,156,270
152 Street South of 99 Avenue,Saturday-Sunday,2:00 AM,,,72,109,181
152 Street South of 99 Avenue,Saturday-Sunday,3:00 AM,,,54,77,131
152 Street South of 99 Avenue,Saturday-Sunday,4:00 AM,,,57,65,122
152 Street South of 99 Avenue,Saturday-Sunday,5:00 AM,,,89,78,167
152 Street South of 99 Avenue,Saturday-Sunday,6:00 AM,,,181,130,311
152 Street South of 99 Avenue,Saturday-Sunday,7:00 AM,,,290,215,505
152 Street South of 99 Avenue,Saturday-Sunday,8:00 AM,,,454,345,800
152 Street South of 99 Avenue,Saturday-Sunday,9:00 AM,,,734,539,1273
152 Street South of 99 Avenue,Saturday-Sunday,10:00 AM,,,947,699,1646
152 Street South of 99 Avenue,Saturday-Sunday,11:00 AM,,,1105,868,1973
152 Street South of 99 Avenue,Saturday-Sunday,12:00 PM,,,1248,1058,2305
152 Street South of 99 Avenue,Saturday-Sunday,1:00 PM,,,1237,1193,2430
152 Street South of 99 Avenue,Saturday-Sunday,2:00 PM,,,1204,1251,2455
152 Street South of 99 Avenue,Saturday-Sunday,3:00 PM,,,1222,1324,2546
152 Street South of 99 Avenue,Saturday-Sunday,4:00 PM,,,1141,1301,2441
152 Street South of 99 Avenue,Saturday-Sunday,5:00 PM,,,1037,1272,2309
152 Street South of 99 Avenue,Saturday-Sunday,6:00 PM,,,828,1122,1949
152 Street South of 99 Avenue,Saturday-Sunday,7:00 PM,,,597,766,1363
152 Street South of 99 Avenue,Saturday-Sunday,8:00 PM,,,485,623,1108
152 Street South of 99 Avenue,Saturday-Sunday,9:00 PM,,,424,558,982
152 Street South of 99 Avenue,Saturday-Sunday,10:00 PM,,,351,410,761
152 Street South of 99 Avenue,Saturday-Sunday,11:00 PM,,,214,286,500
Pattullo Bridge,Saturday-Sunday,12:00 AM,,,540,330,870
Pattullo Bridge,Saturday-Sunday,1:00 AM,,,356,234,590
Pattullo Bridge,Saturday-Sunday,2:00 AM,,,265,162,427
Pattullo Bridge,Saturday-Sunday,3:00 AM,,,221,126,347
Pattullo Bridge,Saturday-Sunday,4:00 AM,,,202,172,373
Pattullo Bridge,Saturday-Sunday,5:00 AM,,,210,345,554
Pattullo Bridge,Saturday-Sunday,6:00 AM,,,389,665,1055
Pattullo Bridge,Saturday-Sunday,7:00 AM,,,615,711,1325
Pattullo Bridge,Saturday-Sunday,8:00 AM,,,712,921,1633
Pattullo Bridge,Saturday-Sunday,9:00 AM,,,985,1297,2282
Pattullo Bridge,Saturday-Sunday,10:00 AM,,,1149,1438,2587
Pattullo Bridge,Saturday-Sunday,11:00 AM,,,1316,1475,2791
Pattullo Bridge,Saturday-Sunday,12:00 PM,,,1481,1618,3098
