Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,34,14,,,48
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,21,6,,,27
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,8,8,,,16
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,6,15,,,21
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,10,54,,,64
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,29,265,,,294
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,82,447,,,529
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,189,477,,,666
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,214,381,,,595
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,189,254,,,443
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,212,212,,,424
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,234,213,,,447
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,252,221,,,473
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,267,233,,,500
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,354,239,,,593
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,455,256,,,711
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,521,256,,,777
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,431,217,,,648
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,274,166,,,440
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,187,125,,,312
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,150,98,,,248
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,122,79,,,201
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,92,51,,,143
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,57,33,,,90
