Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,48,25,,,73
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,25,14,,,39
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,15,9,,,24
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,8,10,,,18
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,10,19,,,29
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,14,44,,,58
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,36,71,,,107
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,66,101,,,167
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,112,148,,,260
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,145,156,,,301
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,192,191,,,383
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,202,203,,,405
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,237,217,,,454
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,228,201,,,429
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,246,215,,,461
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,252,206,,,458
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,254,208,,,462
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,205,169,,,374
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,157,122,,,279
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,138,123,,,261
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,132,103,,,235
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,112,81,,,193
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,81,56,,,137
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,47,32,,,79
