Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,67,47,,,114
16 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,39,27,,,66
16 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,24,18,,,42
16 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,14,16,,,30
16 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,19,23,,,42
16 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,32,55,,,87
16 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,86,103,,,189
16 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,144,138,,,282
16 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,219,199,,,418
16 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,307,266,,,573
16 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,361,315,,,676
16 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,400,370,,,770
16 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,426,372,,,798
16 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,436,428,,,864
16 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,429,444,,,873
16 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,420,452,,,872
16 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,370,483,,,853
16 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,308,451,,,759
16 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,253,351,,,604
16 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,210,277,,,487
16 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,206,245,,,451
16 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,169,191,,,360
16 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,133,126,,,259
16 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,99,74,,,173
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,49,25,,,74
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,31,15,,,46
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,15,8,,,23
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,8,11,,,19
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,11,19,,,30
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,20,50,,,70
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,47,71,,,118
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,67,95,,,162
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,113,141,,,254
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,145,170,,,315
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,191,195,,,386
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,209,209,,,418
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,234,199,,,433
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,238,196,,,434
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,243,200,,,443
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,239,202,,,441
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,230,199,,,429
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,208,178,,,386
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,170,141,,,311
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,150,118,,,268
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,145,108,,,253
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,123,86,,,209
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,93,55,,,148
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,65,37,,,102
72 Avenue West of 123 Street,Saturday-Sunday,12:00 AM,165,83,,,248
72 Avenue West of 123 Street,Saturday-Sunday,1:00 AM,111,74,,,185
72 Avenue West of 123 Street,Saturday-Sunday,2:00 AM,103,91,,,194
72 Avenue West of 123 Street,Saturday-Sunday,3:00 AM,109,116,,,225
72 Avenue West of 123 Street,Saturday-Sunday,4:00 AM,119,235,,,354
72 Avenue West of 123 Street,Saturday-Sunday,5:00 AM,165,248,,,413
72 Avenue West of 123 Street,Saturday-Sunday,6:00 AM,210,327,,,537
72 Avenue West of 123 Street,Saturday-Sunday,7:00 AM,328,450,,,778
72 Avenue West of 123 Street,Saturday-Sunday,8:00 AM,487,631,,,1118
72 Avenue West of 123 Street,Saturday-Sunday,9:00 AM,609,804,,,1413
72 Avenue West of 123 Street,Saturday-Sunday,10:00 AM,700,843,,,1543
72 Avenue West of 123 Street,Saturday-Sunday,11:00 AM,724,826,,,1550
72 Avenue West of 123 Street,Saturday-Sunday,12:00 PM,778,847,,,1625
72 Avenue West of 123 Street,Saturday-Sunday,1:00 PM,819,867,,,1686
72 Avenue West of 123 Street,Saturday-Sunday,2:00 PM,846,875,,,1721
72 Avenue West of 123 Street,Saturday-Sunday,3:00 PM,894,839,,,1733
72 Avenue West of 123 Street,Saturday-Sunday,4:00 PM,875,826,,,1701
72 Avenue West of 123 Street,Saturday-Sunday,5:00 PM,815,772,,,1587
72 Avenue West of 123 Street,Saturday-Sunday,6:00 PM,684,642,,,1326
72 Avenue West of 123 Street,Saturday-Sunday,7:00 PM,628,555,,,1183
72 Avenue West of 123 Street,Saturday-Sunday,8:00 PM,583,537,,,1120
72 Avenue West of 123 Street,Saturday-Sunday,9:00 PM,427,337,,,764
