Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,54,36,,,90
16 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,32,21,,,53
16 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,18,14,,,32
16 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,11,12,,,23
16 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,15,18,,,33
16 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,21,50,,,71
16 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,58,89,,,147
16 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,113,121,,,234
16 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,172,186,,,358
16 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,255,250,,,505
16 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,304,268,,,572
16 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,330,320,,,650
16 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,349,347,,,696
16 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,364,375,,,739
16 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,371,382,,,753
16 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,359,391,,,750
16 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,339,370,,,709
16 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,276,302,,,578
16 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,212,211,,,423
16 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,162,165,,,327
16 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,138,123,,,261
16 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,112,104,,,216
16 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,88,81,,,169
16 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,69,49,,,118
88 Avenue West of 123 Street,Saturday-Sunday,12:00 AM,282,163,,,445
88 Avenue West of 123 Street,Saturday-Sunday,1:00 AM,176,99,,,275
88 Avenue West of 123 Street,Saturday-Sunday,2:00 AM,112,75,,,187
88 Avenue West of 123 Street,Saturday-Sunday,3:00 AM,86,84,,,170
88 Avenue West of 123 Street,Saturday-Sunday,4:00 AM,102,115,,,217
88 Avenue West of 123 Street,Saturday-Sunday,5:00 AM,104,207,,,311
88 Avenue West of 123 Street,Saturday-Sunday,6:00 AM,193,288,,,481
88 Avenue West of 123 Street,Saturday-Sunday,7:00 AM,273,401,,,674
88 Avenue West of 123 Street,Saturday-Sunday,8:00 AM,363,550,,,913
88 Avenue West of 123 Street,Saturday-Sunday,9:00 AM,509,695,,,1204
88 Avenue West of 123 Street,Saturday-Sunday,10:00 AM,673,848,,,1521
88 Avenue West of 123 Street,Saturday-Sunday,11:00 AM,842,950,,,1792
88 Avenue West of 123 Street,Saturday-Sunday,12:00 PM,995,1021,,,2016
88 Avenue West of 123 Street,Saturday-Sunday,1:00 PM,1069,1061,,,2130
88 Avenue West of 123 Street,Saturday-Sunday,2:00 PM,1069,1046,,,2115
88 Avenue West of 123 Street,Saturday-Sunday,3:00 PM,1092,1044,,,2136
88 Avenue West of 123 Street,Saturday-Sunday,4:00 PM,1044,1007,,,2051
88 Avenue West of 123 Street,Saturday-Sunday,5:00 PM,985,966,,,1951
88 Avenue West of 123 Street,Saturday-Sunday,6:00 PM,893,865,,,1758
88 Avenue West of 123 Street,Saturday-Sunday,7:00 PM,702,676,,,1378
88 Avenue West of 123 Street,Saturday-Sunday,8:00 PM,576,528,,,1104
88 Avenue West of 123 Street,Saturday-Sunday,9:00 PM,507,438,,,945
88 Avenue West of 123 Street,Saturday-Sunday,10:00 PM,410,361,,,771
88 Avenue West of 123 Street,Saturday-Sunday,11:00 PM,329,230,,,559
