Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Monday-Friday,12:00 AM,42,27,,,69
16 Avenue East of 192 Street,Monday-Friday,1:00 AM,30,20,,,50
16 Avenue East of 192 Street,Monday-Friday,2:00 AM,13,11,,,24
16 Avenue East of 192 Street,Monday-Friday,3:00 AM,11,15,,,26
16 Avenue East of 192 Street,Monday-Friday,4:00 AM,20,53,,,73
16 Avenue East of 192 Street,Monday-Friday,5:00 AM,49,205,,,254
16 Avenue East of 192 Street,Monday-Friday,6:00 AM,166,437,,,603
16 Avenue East of 192 Street,Monday-Friday,7:00 AM,301,495,,,796
16 Avenue East of 192 Street,Monday-Friday,8:00 AM,322,453,,,775
16 Avenue East of 192 Street,Monday-Friday,9:00 AM,279,356,,,635
16 Avenue East of 192 Street,Monday-Friday,10:00 AM,296,314,,,610
16 Avenue East of 192 Street,Monday-Friday,11:00 AM,322,318,,,640
16 Avenue East of 192 Street,Monday-Friday,12:00 PM,331,308,,,639
16 Avenue East of 192 Street,Monday-Friday,1:00 PM,354,321,,,675
16 Avenue East of 192 Street,Monday-Friday,2:00 PM,440,351,,,791
16 Avenue East of 192 Street,Monday-Friday,3:00 PM,561,393,,,954
16 Avenue East of 192 Street,Monday-Friday,4:00 PM,655,442,,,1097
16 Avenue East of 192 Street,Monday-Friday,5:00 PM,478,370,,,848
16 Avenue East of 192 Street,Monday-Friday,6:00 PM,272,232,,,504
16 Avenue East of 192 Street,Monday-Friday,7:00 PM,178,139,,,317
16 Avenue East of 192 Street,Monday-Friday,8:00 PM,130,109,,,239
16 Avenue East of 192 Street,Monday-Friday,9:00 PM,117,94,,,211
16 Avenue East of 192 Street,Monday-Friday,10:00 PM,89,65,,,154
16 Avenue East of 192 Street,Monday-Friday,11:00 PM,66,44,,,110
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,31,21,,,52
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,23,10,,,33
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,10,9,,,19
