Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,45,35,,,80
16 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,29,16,,,45
16 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,15,14,,,29
16 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,10,11,,,21
16 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,13,16,,,29
16 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,19,43,,,62
16 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,52,94,,,146
16 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,97,112,,,209
16 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,140,179,,,319
16 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,210,221,,,431
16 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,240,233,,,473
16 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,286,265,,,551
16 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,291,292,,,583
16 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,311,313,,,624
16 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,280,287,,,567
16 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,295,303,,,598
16 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,279,293,,,572
16 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,222,252,,,474
16 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,159,157,,,316
16 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,116,106,,,222
16 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,105,90,,,195
16 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,91,74,,,165
16 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,80,66,,,146
16 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,63,47,,,110
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,42,19,,,61
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,22,12,,,34
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,12,8,,,20
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,8,7,,,15
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,8,15,,,23
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,12,46,,,58
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,28,59,,,87
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,47,78,,,125
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,80,118,,,198
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,116,134,,,250
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,154,150,,,304
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,168,174,,,342
