Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Monday-Friday,12:00 AM,47,31,,,78
16 Avenue East of 192 Street,Monday-Friday,1:00 AM,30,20,,,50
16 Avenue East of 192 Street,Monday-Friday,2:00 AM,13,16,,,29
16 Avenue East of 192 Street,Monday-Friday,3:00 AM,11,20,,,31
16 Avenue East of 192 Street,Monday-Friday,4:00 AM,29,61,,,90
16 Avenue East of 192 Street,Monday-Friday,5:00 AM,88,293,,,381
16 Avenue East of 192 Street,Monday-Friday,6:00 AM,232,571,,,803
16 Avenue East of 192 Street,Monday-Friday,7:00 AM,382,552,,,934
16 Avenue East of 192 Street,Monday-Friday,8:00 AM,398,515,,,913
16 Avenue East of 192 Street,Monday-Friday,9:00 AM,382,422,,,804
16 Avenue East of 192 Street,Monday-Friday,10:00 AM,395,391,,,786
16 Avenue East of 192 Street,Monday-Friday,11:00 AM,435,405,,,840
16 Avenue East of 192 Street,Monday-Friday,12:00 PM,435,419,,,854
16 Avenue East of 192 Street,Monday-Friday,1:00 PM,446,421,,,867
16 Avenue East of 192 Street,Monday-Friday,2:00 PM,537,445,,,982
16 Avenue East of 192 Street,Monday-Friday,3:00 PM,717,474,,,1191
16 Avenue East of 192 Street,Monday-Friday,4:00 PM,762,554,,,1316
16 Avenue East of 192 Street,Monday-Friday,5:00 PM,639,503,,,1142
16 Avenue East of 192 Street,Monday-Friday,6:00 PM,402,355,,,757
16 Avenue East of 192 Street,Monday-Friday,7:00 PM,279,266,,,545
16 Avenue East of 192 Street,Monday-Friday,8:00 PM,235,223,,,458
16 Avenue East of 192 Street,Monday-Friday,9:00 PM,194,181,,,375
16 Avenue East of 192 Street,Monday-Friday,10:00 PM,146,112,,,258
16 Avenue East of 192 Street,Monday-Friday,11:00 PM,96,69,,,165
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,34,18,,,52
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,21,8,,,29
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,8,7,,,15
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,8,16,,,24
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,13,59,,,72
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,42,296,,,338
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,93,455,,,548
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,156,431,,,587
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,174,347,,,521
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,185,255,,,440
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,212,235,,,447
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,240,234,,,474
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,264,236,,,500
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,271,242,,,513
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,343,240,,,583
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,466,243,,,709
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,517,247,,,764
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,435,231,,,666
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,285,184,,,469
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,200,146,,,346
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,170,122,,,292
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,144,98,,,242
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,106,58,,,164
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,72,38,,,110
72 Avenue West of 123 Street,Monday-Friday,12:00 AM,119,59,,,178
72 Avenue West of 123 Street,Monday-Friday,1:00 AM,91,62,,,153
72 Avenue West of 123 Street,Monday-Friday,2:00 AM,62,102,,,164
72 Avenue West of 123 Street,Monday-Friday,3:00 AM,95,223,,,318
72 Avenue West of 123 Street,Monday-Friday,4:00 AM,166,622,,,788
72 Avenue West of 123 Street,Monday-Friday,5:00 AM,339,691,,,1030
72 Avenue West of 123 Street,Monday-Friday,6:00 AM,461,671,,,1132
72 Avenue West of 123 Street,Monday-Friday,7:00 AM,566,733,,,1299
72 Avenue West of 123 Street,Monday-Friday,8:00 AM,597,746,,,1343
72 Avenue West of 123 Street,Monday-Friday,9:00 AM,645,763,,,1408
72 Avenue West of 123 Street,Monday-Friday,10:00 AM,786,883,,,1669
72 Avenue West of 123 Street,Monday-Friday,11:00 AM,899,923,,,1822
72 Avenue West of 123 Street,Monday-Friday,12:00 PM,940,915,,,1855
72 Avenue West of 123 Street,Monday-Friday,1:00 PM,1029,933,,,1962
72 Avenue West of 123 Street,Monday-Friday,2:00 PM,1055,979,,,2034
72 Avenue West of 123 Street,Monday-Friday,3:00 PM,1081,1006,,,2087
72 Avenue West of 123 Street,Monday-Friday,4:00 PM,1067,937,,,2004
72 Avenue West of 123 Street,Monday-Friday,5:00 PM,1034,910,,,1944
72 Avenue West of 123 Street,Monday-Friday,6:00 PM,869,767,,,1636
72 Avenue West of 123 Street,Monday-Friday,7:00 PM,758,606,,,1364
72 Avenue West of 123 Street,Monday-Friday,8:00 PM,685,571,,,1256
72 Avenue West of 123 Street,Monday-Friday,9:00 PM,491,350,,,841
72 Avenue West of 123 Street,Monday-Friday,10:00 PM,388,198,,,586
72 Avenue West of 123 Street,Monday-Friday,11:00 PM,284,116,,,400
88 Avenue West of 123 Street,Monday-Friday,12:00 AM,278,138,,,416
88 Avenue West of 123 Street,Monday-Friday,1:00 AM,162,80,,,242
88 Avenue West of 123 Street,Monday-Friday,2:00 AM,103,77,,,180
88 Avenue West of 123 Street,Monday-Friday,3:00 AM,72,117,,,189
88 Avenue West of 123 Street,Monday-Friday,4:00 AM,94,251,,,345
88 Avenue West of 123 Street,Monday-Friday,5:00 AM,194,827,,,1021
88 Avenue West of 123 Street,Monday-Friday,6:00 AM,481,1060,,,1541
88 Avenue West of 123 Street,Monday-Friday,7:00 AM,744,968,,,1712
88 Avenue West of 123 Street,Monday-Friday,8:00 AM,723,980,,,1703
88 Avenue West of 123 Street,Monday-Friday,9:00 AM,708,966,,,1674
88 Avenue West of 123 Street,Monday-Friday,10:00 AM,830,1000,,,1830
88 Avenue West of 123 Street,Monday-Friday,11:00 AM,923,1051,,,1974
88 Avenue West of 123 Street,Monday-Friday,12:00 PM,1082,1101,,,2183
88 Avenue West of 123 Street,Monday-Friday,1:00 PM,1102,1125,,,2227
88 Avenue West of 123 Street,Monday-Friday,2:00 PM,1263,1153,,,2416
88 Avenue West of 123 Street,Monday-Friday,3:00 PM,1322,1145,,,2467
88 Avenue West of 123 Street,Monday-Friday,4:00 PM,1285,1162,,,2447
88 Avenue West of 123 Street,Monday-Friday,5:00 PM,1277,1114,,,2391
88 Avenue West of 123 Street,Monday-Friday,6:00 PM,1216,987,,,2203
88 Avenue West of 123 Street,Monday-Friday,7:00 PM,1000,876,,,1876
88 Avenue West of 123 Street,Monday-Friday,8:00 PM,852,736,,,1588
88 Avenue West of 123 Street,Monday-Friday,9:00 PM,775,648,,,1423
88 Avenue West of 123 Street,Monday-Friday,10:00 PM,617,503,,,1120
88 Avenue West of 123 Street,Monday-Friday,11:00 PM,480,287,,,767
96 Avenue East of 130 Street,Monday-Friday,12:00 AM,132,141,,,273
96 Avenue East of 130 Street,Monday-Friday,1:00 AM,83,84,,,167
96 Avenue East of 130 Street,Monday-Friday,2:00 AM,55,58,,,113
96 Avenue East of 130 Street,Monday-Friday,3:00 AM,50,61,,,111
96 Avenue East of 130 Street,Monday-Friday,4:00 AM,97,109,,,206
96 Avenue East of 130 Street,Monday-Friday,5:00 AM,262,361,,,623
96 Avenue East of 130 Street,Monday-Friday,6:00 AM,570,539,,,1109
96 Avenue East of 130 Street,Monday-Friday,7:00 AM,742,620,,,1362
96 Avenue East of 130 Street,Monday-Friday,8:00 AM,732,646,,,1378
96 Avenue East of 130 Street,Monday-Friday,9:00 AM,609,616,,,1225
96 Avenue East of 130 Street,Monday-Friday,10:00 AM,665,644,,,1309
96 Avenue East of 130 Street,Monday-Friday,11:00 AM,714,729,,,1443
96 Avenue East of 130 Street,Monday-Friday,12:00 PM,793,780,,,1573
96 Avenue East of 130 Street,Monday-Friday,1:00 PM,774,774,,,1548
96 Avenue East of 130 Street,Monday-Friday,2:00 PM,870,853,,,1723
96 Avenue East of 130 Street,Monday-Friday,3:00 PM,974,985,,,1959
96 Avenue East of 130 Street,Monday-Friday,4:00 PM,1001,1101,,,2102
96 Avenue East of 130 Street,Monday-Friday,5:00 PM,979,1000,,,1979
96 Avenue East of 130 Street,Monday-Friday,6:00 PM,877,828,,,1705
96 Avenue East of 130 Street,Monday-Friday,7:00 PM,710,727,,,1437
96 Avenue East of 130 Street,Monday-Friday,8:00 PM,556,627,,,1183
96 Avenue East of 130 Street,Monday-Friday,9:00 PM,490,527,,,1017
96 Avenue East of 130 Street,Monday-Friday,10:00 PM,397,383,,,780
96 Avenue East of 130 Street,Monday-Friday,11:00 PM,251,267,,,518
104 Avenue East of 157 Street,Monday-Friday,12:00 AM,102,107,,,209
104 Avenue East of 157 Street,Monday-Friday,1:00 AM,58,53,,,111
104 Avenue East of 157 Street,Monday-Friday,2:00 AM,39,46,,,85
104 Avenue East of 157 Street,Monday-Friday,3:00 AM,47,36,,,83
104 Avenue East of 157 Street,Monday-Friday,4:00 AM,106,65,,,171
104 Avenue East of 157 Street,Monday-Friday,5:00 AM,333,189,,,522
104 Avenue East of 157 Street,Monday-Friday,6:00 AM,543,409,,,952
104 Avenue East of 157 Street,Monday-Friday,7:00 AM,655,765,,,1420
104 Avenue East of 157 Street,Monday-Friday,8:00 AM,596,834,,,1430
104 Avenue East of 157 Street,Monday-Friday,9:00 AM,557,638,,,1195
104 Avenue East of 157 Street,Monday-Friday,10:00 AM,602,635,,,1237
104 Avenue East of 157 Street,Monday-Friday,11:00 AM,694,669,,,1363
104 Avenue East of 157 Street,Monday-Friday,12:00 PM,731,697,,,1428
104 Avenue East of 157 Street,Monday-Friday,1:00 PM,763,673,,,1436
104 Avenue East of 157 Street,Monday-Friday,2:00 PM,883,751,,,1634
104 Avenue East of 157 Street,Monday-Friday,3:00 PM,1002,905,,,1907
104 Avenue East of 157 Street,Monday-Friday,4:00 PM,1200,966,,,2166
104 Avenue East of 157 Street,Monday-Friday,5:00 PM,1042,857,,,1899
