Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,70,51,,,121
16 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,36,32,,,68
16 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,22,18,,,40
16 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,11,19,,,30
16 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,18,23,,,41
16 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,36,59,,,95
16 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,94,110,,,204
16 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,153,150,,,303
16 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,218,212,,,430
16 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,302,266,,,568
16 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,360,329,,,689
16 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,376,362,,,738
16 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,388,392,,,780
16 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,420,403,,,823
16 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,397,423,,,820
16 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,390,417,,,807
16 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,363,443,,,806
16 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,304,401,,,705
16 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,251,348,,,599
16 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,214,293,,,507
16 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,207,254,,,461
16 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,189,214,,,403
16 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,150,141,,,291
16 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,113,82,,,195
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,55,30,,,85
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,30,19,,,49
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,14,11,,,25
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,9,10,,,19
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,7,15,,,22
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,17,54,,,71
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,44,80,,,124
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,73,102,,,175
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,113,143,,,256
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,153,173,,,326
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,187,198,,,385
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,204,209,,,413
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,224,207,,,431
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,235,212,,,447
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,243,204,,,447
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,251,217,,,468
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,222,201,,,423
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,198,180,,,378
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,165,145,,,310
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,139,135,,,274
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,133,112,,,245
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,123,101,,,224
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,97,63,,,160
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,71,44,,,115
72 Avenue West of 123 Street,Saturday-Sunday,12:00 AM,148,85,,,233
72 Avenue West of 123 Street,Saturday-Sunday,1:00 AM,111,65,,,176
72 Avenue West of 123 Street,Saturday-Sunday,2:00 AM,92,91,,,183
72 Avenue West of 123 Street,Saturday-Sunday,3:00 AM,106,110,,,216
72 Avenue West of 123 Street,Saturday-Sunday,4:00 AM,116,231,,,347
72 Avenue West of 123 Street,Saturday-Sunday,5:00 AM,161,242,,,403
72 Avenue West of 123 Street,Saturday-Sunday,6:00 AM,205,324,,,529
72 Avenue West of 123 Street,Saturday-Sunday,7:00 AM,350,466,,,816
72 Avenue West of 123 Street,Saturday-Sunday,8:00 AM,485,649,,,1134
72 Avenue West of 123 Street,Saturday-Sunday,9:00 AM,604,801,,,1405
72 Avenue West of 123 Street,Saturday-Sunday,10:00 AM,727,860,,,1587
72 Avenue West of 123 Street,Saturday-Sunday,11:00 AM,825,898,,,1723
72 Avenue West of 123 Street,Saturday-Sunday,12:00 PM,867,937,,,1804
72 Avenue West of 123 Street,Saturday-Sunday,1:00 PM,882,914,,,1796
72 Avenue West of 123 Street,Saturday-Sunday,2:00 PM,911,866,,,1777
72 Avenue West of 123 Street,Saturday-Sunday,3:00 PM,877,813,,,1690
72 Avenue West of 123 Street,Saturday-Sunday,4:00 PM,818,769,,,1587
72 Avenue West of 123 Street,Saturday-Sunday,5:00 PM,794,746,,,1540
72 Avenue West of 123 Street,Saturday-Sunday,6:00 PM,675,647,,,1322
72 Avenue West of 123 Street,Saturday-Sunday,7:00 PM,604,516,,,1120
72 Avenue West of 123 Street,Saturday-Sunday,8:00 PM,574,510,,,1084
72 Avenue West of 123 Street,Saturday-Sunday,9:00 PM,436,352,,,788
72 Avenue West of 123 Street,Saturday-Sunday,10:00 PM,363,223,,,586
72 Avenue West of 123 Street,Saturday-Sunday,11:00 PM,264,140,,,404
88 Avenue West of 123 Street,Saturday-Sunday,12:00 AM,333,205,,,538
88 Avenue West of 123 Street,Saturday-Sunday,1:00 AM,184,106,,,290
88 Avenue West of 123 Street,Saturday-Sunday,2:00 AM,122,87,,,209
88 Avenue West of 123 Street,Saturday-Sunday,3:00 AM,99,99,,,198
88 Avenue West of 123 Street,Saturday-Sunday,4:00 AM,102,120,,,222
88 Avenue West of 123 Street,Saturday-Sunday,5:00 AM,128,237,,,365
88 Avenue West of 123 Street,Saturday-Sunday,6:00 AM,225,309,,,534
88 Avenue West of 123 Street,Saturday-Sunday,7:00 AM,266,411,,,677
88 Avenue West of 123 Street,Saturday-Sunday,8:00 AM,364,516,,,880
88 Avenue West of 123 Street,Saturday-Sunday,9:00 AM,496,688,,,1184
88 Avenue West of 123 Street,Saturday-Sunday,10:00 AM,669,813,,,1482
88 Avenue West of 123 Street,Saturday-Sunday,11:00 AM,796,902,,,1698
88 Avenue West of 123 Street,Saturday-Sunday,12:00 PM,944,962,,,1906
88 Avenue West of 123 Street,Saturday-Sunday,1:00 PM,987,1027,,,2014
88 Avenue West of 123 Street,Saturday-Sunday,2:00 PM,1010,1027,,,2037
88 Avenue West of 123 Street,Saturday-Sunday,3:00 PM,1014,998,,,2012
88 Avenue West of 123 Street,Saturday-Sunday,4:00 PM,1007,964,,,1971
88 Avenue West of 123 Street,Saturday-Sunday,5:00 PM,939,936,,,1875
88 Avenue West of 123 Street,Saturday-Sunday,6:00 PM,931,892,,,1823
88 Avenue West of 123 Street,Saturday-Sunday,7:00 PM,766,769,,,1535
88 Avenue West of 123 Street,Saturday-Sunday,8:00 PM,633,667,,,1300
88 Avenue West of 123 Street,Saturday-Sunday,9:00 PM,599,578,,,1177
88 Avenue West of 123 Street,Saturday-Sunday,10:00 PM,543,461,,,1004
88 Avenue West of 123 Street,Saturday-Sunday,11:00 PM,434,320,,,754
96 Avenue East of 130 Street,Saturday-Sunday,12:00 AM,203,203,,,406
96 Avenue East of 130 Street,Saturday-Sunday,1:00 AM,126,125,,,251
96 Avenue East of 130 Street,Saturday-Sunday,2:00 AM,86,82,,,168
96 Avenue East of 130 Street,Saturday-Sunday,3:00 AM,70,77,,,147
96 Avenue East of 130 Street,Saturday-Sunday,4:00 AM,62,64,,,126
96 Avenue East of 130 Street,Saturday-Sunday,5:00 AM,115,110,,,225
96 Avenue East of 130 Street,Saturday-Sunday,6:00 AM,219,171,,,390
96 Avenue East of 130 Street,Saturday-Sunday,7:00 AM,259,227,,,486
96 Avenue East of 130 Street,Saturday-Sunday,8:00 AM,354,306,,,660
96 Avenue East of 130 Street,Saturday-Sunday,9:00 AM,504,432,,,936
96 Avenue East of 130 Street,Saturday-Sunday,10:00 AM,573,550,,,1123
96 Avenue East of 130 Street,Saturday-Sunday,11:00 AM,658,593,,,1251
96 Avenue East of 130 Street,Saturday-Sunday,12:00 PM,716,674,,,1390
96 Avenue East of 130 Street,Saturday-Sunday,1:00 PM,739,724,,,1463
96 Avenue East of 130 Street,Saturday-Sunday,2:00 PM,755,746,,,1501
96 Avenue East of 130 Street,Saturday-Sunday,3:00 PM,746,745,,,1491
96 Avenue East of 130 Street,Saturday-Sunday,4:00 PM,709,721,,,1430
96 Avenue East of 130 Street,Saturday-Sunday,5:00 PM,670,715,,,1385
96 Avenue East of 130 Street,Saturday-Sunday,6:00 PM,659,695,,,1354
96 Avenue East of 130 Street,Saturday-Sunday,7:00 PM,574,625,,,1199
96 Avenue East of 130 Street,Saturday-Sunday,8:00 PM,497,546,,,1043
96 Avenue East of 130 Street,Saturday-Sunday,9:00 PM,428,474,,,902
96 Avenue East of 130 Street,Saturday-Sunday,10:00 PM,383,417,,,800
96 Avenue East of 130 Street,Saturday-Sunday,11:00 PM,256,273,,,529
104 Avenue East of 157 Street,Saturday-Sunday,12:00 AM,185,159,,,344
104 Avenue East of 157 Street,Saturday-Sunday,1:00 AM,102,98,,,200
104 Avenue East of 157 Street,Saturday-Sunday,2:00 AM,58,60,,,118
104 Avenue East of 157 Street,Saturday-Sunday,3:00 AM,46,45,,,91
104 Avenue East of 157 Street,Saturday-Sunday,4:00 AM,60,41,,,101
104 Avenue East of 157 Street,Saturday-Sunday,5:00 AM,123,73,,,196
104 Avenue East of 157 Street,Saturday-Sunday,6:00 AM,190,128,,,318
104 Avenue East of 157 Street,Saturday-Sunday,7:00 AM,284,208,,,492
104 Avenue East of 157 Street,Saturday-Sunday,8:00 AM,391,330,,,721
104 Avenue East of 157 Street,Saturday-Sunday,9:00 AM,514,463,,,977
104 Avenue East of 157 Street,Saturday-Sunday,10:00 AM,614,594,,,1208
104 Avenue East of 157 Street,Saturday-Sunday,11:00 AM,649,640,,,1289
104 Avenue East of 157 Street,Saturday-Sunday,12:00 PM,728,704,,,1432
104 Avenue East of 157 Street,Saturday-Sunday,1:00 PM,750,683,,,1433
104 Avenue East of 157 Street,Saturday-Sunday,2:00 PM,793,677,,,1470
104 Avenue East of 157 Street,Saturday-Sunday,3:00 PM,745,657,,,1402
104 Avenue East of 157 Street,Saturday-Sunday,4:00 PM,712,659,,,1371
104 Avenue East of 157 Street,Saturday-Sunday,5:00 PM,677,628,,,1305
104 Avenue East of 157 Street,Saturday-Sunday,6:00 PM,593,531,,,1124
104 Avenue East of 157 Street,Saturday-Sunday,7:00 PM,464,461,,,925
104 Avenue East of 157 Street,Saturday-Sunday,8:00 PM,437,403,,,840
104 Avenue East of 157 Street,Saturday-Sunday,9:00 PM,382,354,,,736
104 Avenue East of 157 Street,Saturday-Sunday,10:00 PM,292,288,,,580
104 Avenue East of 157 Street,Saturday-Sunday,11:00 PM,224,187,,,411
152 Street South of 70 Avenue,Saturday-Sunday,12:00 AM,,,218,204,422
152 Street South of 70 Avenue,Saturday-Sunday,1:00 AM,,,136,120,256
152 Street South of 70 Avenue,Saturday-Sunday,2:00 AM,,,83,85,168
152 Street South of 70 Avenue,Saturday-Sunday,3:00 AM,,,54,56,110
152 Street South of 70 Avenue,Saturday-Sunday,4:00 AM,,,56,66,122
152 Street South of 70 Avenue,Saturday-Sunday,5:00 AM,,,84,125,209
152 Street South of 70 Avenue,Saturday-Sunday,6:00 AM,,,179,275,454
152 Street South of 70 Avenue,Saturday-Sunday,7:00 AM,,,251,343,594
152 Street South of 70 Avenue,Saturday-Sunday,8:00 AM,,,368,448,816
152 Street South of 70 Avenue,Saturday-Sunday,9:00 AM,,,519,653,1172
152 Street South of 70 Avenue,Saturday-Sunday,10:00 AM,,,668,763,1431
152 Street South of 70 Avenue,Saturday-Sunday,11:00 AM,,,774,807,1581
152 Street South of 70 Avenue,Saturday-Sunday,12:00 PM,,,850,819,1669
152 Street South of 70 Avenue,Saturday-Sunday,1:00 PM,,,902,875,1777
152 Street South of 70 Avenue,Saturday-Sunday,2:00 PM,,,849,897,1746
152 Street South of 70 Avenue,Saturday-Sunday,3:00 PM,,,866,897,1763
152 Street South of 70 Avenue,Saturday-Sunday,4:00 PM,,,857,911,1768
152 Street South of 70 Avenue,Saturday-Sunday,5:00 PM,,,804,890,1694
152 Street South of 70 Avenue,Saturday-Sunday,6:00 PM,,,787,857,1644
152 Street South of 70 Avenue,Saturday-Sunday,7:00 PM,,,682,716,1398
152 Street South of 70 Avenue,Saturday-Sunday,8:00 PM,,,648,621,1269
152 Street South of 70 Avenue,Saturday-Sunday,9:00 PM,,,599,525,1124
152 Street South of 70 Avenue,Saturday-Sunday,10:00 PM,,,465,407,872
152 Street South of 70 Avenue,Saturday-Sunday,11:00 PM,,,347,275,622
152 Street South of 99 Avenue,Saturday-Sunday,12:00 AM,,,234,313,547
152 Street South of 99 Avenue,Saturday-Sunday,1:00 AM,,,142,183,325
152 Street South of 99 Avenue,Saturday-Sunday,2:00 AM,,,89,115,204
152 Street South of 99 Avenue,Saturday-Sunday,3:00 AM,,,62,80,142
152 Street South of 99 Avenue,Saturday-Sunday,4:00 AM,,,71,68,139
152 Street South of 99 Avenue,Saturday-Sunday,5:00 AM,,,109,88,197
152 Street South of 99 Avenue,Saturday-Sunday,6:00 AM,,,202,159,361
152 Street South of 99 Avenue,Saturday-Sunday,7:00 AM,,,322,249,571
152 Street South of 99 Avenue,Saturday-Sunday,8:00 AM,,,500,357,857
152 Street South of 99 Avenue,Saturday-Sunday,9:00 AM,,,743,554,1297
152 Street South of 99 Avenue,Saturday-Sunday,10:00 AM,,,946,720,1666
152 Street South of 99 Avenue,Saturday-Sunday,11:00 AM,,,1130,870,2000
152 Street South of 99 Avenue,Saturday-Sunday,12:00 PM,,,1218,1021,2239
152 Street South of 99 Avenue,Saturday-Sunday,1:00 PM,,,1221,1146,2367
152 Street South of 99 Avenue,Saturday-Sunday,2:00 PM,,,1140,1174,2314
152 Street South of 99 Avenue,Saturday-Sunday,3:00 PM,,,1089,1217,2306
152 Street South of 99 Avenue,Saturday-Sunday,4:00 PM,,,1075,1214,2289
152 Street South of 99 Avenue,Saturday-Sunday,5:00 PM,,,957,1192,2149
152 Street South of 99 Avenue,Saturday-Sunday,6:00 PM,,,894,1108,2002
152 Street South of 99 Avenue,Saturday-Sunday,7:00 PM,,,716,824,1540
152 Street South of 99 Avenue,Saturday-Sunday,8:00 PM,,,618,750,1368
152 Street South of 99 Avenue,Saturday-Sunday,9:00 PM,,,600,692,1292
152 Street South of 99 Avenue,Saturday-Sunday,10:00 PM,,,492,481,973
152 Street South of 99 Avenue,Saturday-Sunday,11:00 PM,,,328,360,688
Fraser Hwy East of 188 St,Saturday-Sunday,12:00 AM,130,175,,,305
Fraser Hwy East of 188 St,Saturday-Sunday,1:00 AM,75,116,,,191
Fraser Hwy East of 188 St,Saturday-Sunday,2:00 AM,53,80,,,133
Fraser Hwy East of 188 St,Saturday-Sunday,3:00 AM,38,57,,,95
Fraser Hwy East of 188 St,Saturday-Sunday,4:00 AM,43,48,,,91
Fraser Hwy East of 188 St,Saturday-Sunday,5:00 AM,88,75,,,163
Fraser Hwy East of 188 St,Saturday-Sunday,6:00 AM,178,139,,,317
Fraser Hwy East of 188 St,Saturday-Sunday,7:00 AM,273,212,,,485
Fraser Hwy East of 188 St,Saturday-Sunday,8:00 AM,420,303,,,723
Fraser Hwy East of 188 St,Saturday-Sunday,9:00 AM,615,457,,,1072
Fraser Hwy East of 188 St,Saturday-Sunday,10:00 AM,779,626,,,1405
Fraser Hwy East of 188 St,Saturday-Sunday,11:00 AM,823,783,,,1606
Fraser Hwy East of 188 St,Saturday-Sunday,12:00 PM,835,868,,,1703
Fraser Hwy East of 188 St,Saturday-Sunday,1:00 PM,846,946,,,1792
Fraser Hwy East of 188 St,Saturday-Sunday,2:00 PM,780,977,,,1757
Fraser Hwy East of 188 St,Saturday-Sunday,3:00 PM,757,1017,,,1774
Fraser Hwy East of 188 St,Saturday-Sunday,4:00 PM,690,935,,,1625
Fraser Hwy East of 188 St,Saturday-Sunday,5:00 PM,577,901,,,1478
Fraser Hwy East of 188 St,Saturday-Sunday,6:00 PM,497,761,,,1258
Fraser Hwy East of 188 St,Saturday-Sunday,7:00 PM,439,549,,,988
Fraser Hwy East of 188 St,Saturday-Sunday,8:00 PM,371,493,,,864
Fraser Hwy East of 188 St,Saturday-Sunday,9:00 PM,302,450,,,752
Fraser Hwy East of 188 St,Saturday-Sunday,10:00 PM,219,330,,,549
Fraser Hwy East of 188 St,Saturday-Sunday,11:00 PM,151,228,,,379
King George Blvd South of 72 Avenue,Saturday-Sunday,12:00 AM,,,214,270,484
King George Blvd South of 72 Avenue,Saturday-Sunday,1:00 AM,,,141,157,298
King George Blvd South of 72 Avenue,Saturday-Sunday,2:00 AM,,,98,114,212
King George Blvd South of 72 Avenue,Saturday-Sunday,3:00 AM,,,72,77,149
King George Blvd South of 72 Avenue,Saturday-Sunday,4:00 AM,,,80,73,153
King George Blvd South of 72 Avenue,Saturday-Sunday,5:00 AM,,,120,138,258
King George Blvd South of 72 Avenue,Saturday-Sunday,6:00 AM,,,248,236,484
King George Blvd South of 72 Avenue,Saturday-Sunday,7:00 AM,,,323,321,644
King George Blvd South of 72 Avenue,Saturday-Sunday,8:00 AM,,,460,398,858
King George Blvd South of 72 Avenue,Saturday-Sunday,9:00 AM,,,709,544,1253
King George Blvd South of 72 Avenue,Saturday-Sunday,10:00 AM,,,870,734,1604
King George Blvd South of 72 Avenue,Saturday-Sunday,11:00 AM,,,925,844,1769
King George Blvd South of 72 Avenue,Saturday-Sunday,12:00 PM,,,953,936,1889
King George Blvd South of 72 Avenue,Saturday-Sunday,1:00 PM,,,985,1011,1996
King George Blvd South of 72 Avenue,Saturday-Sunday,2:00 PM,,,990,1079,2069
King George Blvd South of 72 Avenue,Saturday-Sunday,3:00 PM,,,969,1033,2002
King George Blvd South of 72 Avenue,Saturday-Sunday,4:00 PM,,,906,1010,1916
King George Blvd South of 72 Avenue,Saturday-Sunday,5:00 PM,,,825,947,1772
King George Blvd South of 72 Avenue,Saturday-Sunday,6:00 PM,,,790,800,1590
King George Blvd South of 72 Avenue,Saturday-Sunday,7:00 PM,,,675,689,1364
King George Blvd South of 72 Avenue,Saturday-Sunday,8:00 PM,,,577,577,1154
King George Blvd South of 72 Avenue,Saturday-Sunday,9:00 PM,,,531,508,1039
King George Blvd South of 72 Avenue,Saturday-Sunday,10:00 PM,,,402,475,877
King George Blvd South of 72 Avenue,Saturday-Sunday,11:00 PM,,,289,312,601
Pattullo Bridge,Saturday-Sunday,12:00 AM,,,867,580,1447
Pattullo Bridge,Saturday-Sunday,1:00 AM,,,536,358,894
Pattullo Bridge,Saturday-Sunday,2:00 AM,,,357,240,597
Pattullo Bridge,Saturday-Sunday,3:00 AM,,,296,189,485
Pattullo Bridge,Saturday-Sunday,4:00 AM,,,275,235,510
Pattullo Bridge,Saturday-Sunday,5:00 AM,,,302,472,774
Pattullo Bridge,Saturday-Sunday,6:00 AM,,,566,897,1463
Pattullo Bridge,Saturday-Sunday,7:00 AM,,,789,934,1723
Pattullo Bridge,Saturday-Sunday,8:00 AM,,,904,1236,2140
Pattullo Bridge,Saturday-Sunday,9:00 AM,,,1221,1569,2790
Pattullo Bridge,Saturday-Sunday,10:00 AM,,,1407,1723,3130
Pattullo Bridge,Saturday-Sunday,11:00 AM,,,1542,1802,3344
Pattullo Bridge,Saturday-Sunday,12:00 PM,,,1772,1896,3668
Pattullo Bridge,Saturday-Sunday,1:00 PM,,,1869,1959,3828
Pattullo Bridge,Saturday-Sunday,2:00 PM,,,1935,1993,3928
Pattullo Bridge,Saturday-Sunday,3:00 PM,,,2061,1920,3981
Pattullo Bridge,Saturday-Sunday,4:00 PM,,,1982,1882,3864
Pattullo Bridge,Saturday-Sunday,5:00 PM,,,1924,1792,3716
Pattullo Bridge,Saturday-Sunday,6:00 PM,,,1835,1682,3517
Pattullo Bridge,Saturday-Sunday,7:00 PM,,,1589,1358,2947
Pattullo Bridge,Saturday-Sunday,8:00 PM,,,1394,1246,2640
Pattullo Bridge,Saturday-Sunday,9:00 PM,,,1273,1217,2490
Pattullo Bridge,Saturday-Sunday,10:00 PM,,,1208,1149,2357
Pattullo Bridge,Saturday-Sunday,11:00 PM,,,1033,870,1903
Scott Rd North of 72 Avenue,Saturday-Sunday,12:00 AM,,,208,179,387
Scott Rd North of 72 Avenue,Saturday-Sunday,1:00 AM,,,96,105,201
Scott Rd North of 72 Avenue,Saturday-Sunday,2:00 AM,,,70,73,143
Scott Rd North of 72 Avenue,Saturday-Sunday,3:00 AM,,,55,57,112
Scott Rd North of 72 Avenue,Saturday-Sunday,4:00 AM,,,59,60,119
Scott Rd North of 72 Avenue,Saturday-Sunday,5:00 AM,,,82,84,166
Scott Rd North of 72 Avenue,Saturday-Sunday,6:00 AM,,,144,164,308
Scott Rd North of 72 Avenue,Saturday-Sunday,7:00 AM,,,237,225,462
Scott Rd North of 72 Avenue,Saturday-Sunday,8:00 AM,,,380,354,734
Scott Rd North of 72 Avenue,Saturday-Sunday,9:00 AM,,,569,535,1104
Scott Rd North of 72 Avenue,Saturday-Sunday,10:00 AM,,,733,691,1424
Scott Rd North of 72 Avenue,Saturday-Sunday,11:00 AM,,,869,810,1679
Scott Rd North of 72 Avenue,Saturday-Sunday,12:00 PM,,,937,888,1825
Scott Rd North of 72 Avenue,Saturday-Sunday,1:00 PM,,,947,904,1851
