Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue East of 192 Street,Monday-Friday,12:00 AM,42,7,,,49
16 Avenue East of 192 Street,Monday-Friday,1:00 AM,25,4,,,29
16 Avenue East of 192 Street,Monday-Friday,2:00 AM,12,3,,,15
16 Avenue East of 192 Street,Monday-Friday,3:00 AM,12,4,,,16
16 Avenue East of 192 Street,Monday-Friday,4:00 AM,28,20,,,48
16 Avenue East of 192 Street,Monday-Friday,5:00 AM,88,82,,,170
16 Avenue East of 192 Street,Monday-Friday,6:00 AM,236,166,,,402
16 Avenue East of 192 Street,Monday-Friday,7:00 AM,396,170,,,566
16 Avenue East of 192 Street,Monday-Friday,8:00 AM,411,142,,,553
16 Avenue East of 192 Street,Monday-Friday,9:00 AM,390,114,,,504
16 Avenue East of 192 Street,Monday-Friday,10:00 AM,385,115,,,500
16 Avenue East of 192 Street,Monday-Friday,11:00 AM,410,118,,,528
16 Avenue East of 192 Street,Monday-Friday,12:00 PM,414,126,,,540
16 Avenue East of 192 Street,Monday-Friday,1:00 PM,441,121,,,562
16 Avenue East of 192 Street,Monday-Friday,2:00 PM,537,119,,,656
16 Avenue East of 192 Street,Monday-Friday,3:00 PM,724,126,,,850
16 Avenue East of 192 Street,Monday-Friday,4:00 PM,765,134,,,899
16 Avenue East of 192 Street,Monday-Friday,5:00 PM,641,130,,,771
16 Avenue East of 192 Street,Monday-Friday,6:00 PM,414,95,,,509
16 Avenue East of 192 Street,Monday-Friday,7:00 PM,274,65,,,339
16 Avenue East of 192 Street,Monday-Friday,8:00 PM,234,56,,,290
16 Avenue East of 192 Street,Monday-Friday,9:00 PM,192,46,,,238
16 Avenue East of 192 Street,Monday-Friday,10:00 PM,141,26,,,167
16 Avenue East of 192 Street,Monday-Friday,11:00 PM,85,13,,,98
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,30,17,,,47
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,18,7,,,25
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,9,7,,,16
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,6,15,,,21
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,12,63,,,75
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,47,320,,,367
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,98,478,,,576
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,193,508,,,701
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,228,413,,,641
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,200,267,,,467
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,220,242,,,462
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,239,234,,,473
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,265,249,,,514
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,284,252,,,536
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,384,261,,,645
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,489,272,,,761
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,550,272,,,822
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,470,249,,,719
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,302,188,,,490
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,208,149,,,357
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,171,124,,,295
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,148,101,,,249
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,108,63,,,171
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,72,37,,,109
72 Avenue West of 123 Street,Monday-Friday,12:00 AM,105,49,,,154
72 Avenue West of 123 Street,Monday-Friday,1:00 AM,85,59,,,144
72 Avenue West of 123 Street,Monday-Friday,2:00 AM,58,96,,,154
72 Avenue West of 123 Street,Monday-Friday,3:00 AM,82,242,,,324
72 Avenue West of 123 Street,Monday-Friday,4:00 AM,163,620,,,783
72 Avenue West of 123 Street,Monday-Friday,5:00 AM,350,679,,,1029
72 Avenue West of 123 Street,Monday-Friday,6:00 AM,558,708,,,1266
72 Avenue West of 123 Street,Monday-Friday,7:00 AM,641,804,,,1445
72 Avenue West of 123 Street,Monday-Friday,8:00 AM,673,777,,,1450
72 Avenue West of 123 Street,Monday-Friday,9:00 AM,720,816,,,1536
72 Avenue West of 123 Street,Monday-Friday,10:00 AM,814,905,,,1719
72 Avenue West of 123 Street,Monday-Friday,11:00 AM,924,935,,,1859
72 Avenue West of 123 Street,Monday-Friday,12:00 PM,956,906,,,1862
72 Avenue West of 123 Street,Monday-Friday,1:00 PM,1036,977,,,2013
72 Avenue West of 123 Street,Monday-Friday,2:00 PM,1061,1050,,,2111
72 Avenue West of 123 Street,Monday-Friday,3:00 PM,1084,1024,,,2108
72 Avenue West of 123 Street,Monday-Friday,4:00 PM,1103,973,,,2076
72 Avenue West of 123 Street,Monday-Friday,5:00 PM,1050,928,,,1978
72 Avenue West of 123 Street,Monday-Friday,6:00 PM,864,741,,,1605
72 Avenue West of 123 Street,Monday-Friday,7:00 PM,737,609,,,1346
72 Avenue West of 123 Street,Monday-Friday,8:00 PM,677,578,,,1255
72 Avenue West of 123 Street,Monday-Friday,9:00 PM,472,342,,,814
72 Avenue West of 123 Street,Monday-Friday,10:00 PM,374,178,,,552
72 Avenue West of 123 Street,Monday-Friday,11:00 PM,265,98,,,363
88 Avenue West of 123 Street,Monday-Friday,12:00 AM,258,114,,,372
88 Avenue West of 123 Street,Monday-Friday,1:00 AM,139,72,,,211
88 Avenue West of 123 Street,Monday-Friday,2:00 AM,94,67,,,161
88 Avenue West of 123 Street,Monday-Friday,3:00 AM,70,117,,,187
88 Avenue West of 123 Street,Monday-Friday,4:00 AM,96,268,,,364
88 Avenue West of 123 Street,Monday-Friday,5:00 AM,203,890,,,1093
88 Avenue West of 123 Street,Monday-Friday,6:00 AM,506,1070,,,1576
88 Avenue West of 123 Street,Monday-Friday,7:00 AM,849,1022,,,1871
88 Avenue West of 123 Street,Monday-Friday,8:00 AM,850,1083,,,1933
88 Avenue West of 123 Street,Monday-Friday,9:00 AM,729,1021,,,1750
88 Avenue West of 123 Street,Monday-Friday,10:00 AM,818,996,,,1814
88 Avenue West of 123 Street,Monday-Friday,11:00 AM,982,1076,,,2058
88 Avenue West of 123 Street,Monday-Friday,12:00 PM,1077,1140,,,2217
88 Avenue West of 123 Street,Monday-Friday,1:00 PM,1128,1122,,,2250
88 Avenue West of 123 Street,Monday-Friday,2:00 PM,1281,1178,,,2459
88 Avenue West of 123 Street,Monday-Friday,3:00 PM,1351,1215,,,2566
88 Avenue West of 123 Street,Monday-Friday,4:00 PM,1310,1231,,,2541
88 Avenue West of 123 Street,Monday-Friday,5:00 PM,1312,1134,,,2446
88 Avenue West of 123 Street,Monday-Friday,6:00 PM,1225,996,,,2221
88 Avenue West of 123 Street,Monday-Friday,7:00 PM,1016,877,,,1893
88 Avenue West of 123 Street,Monday-Friday,8:00 PM,847,722,,,1569
88 Avenue West of 123 Street,Monday-Friday,9:00 PM,760,648,,,1408
88 Avenue West of 123 Street,Monday-Friday,10:00 PM,622,501,,,1123
88 Avenue West of 123 Street,Monday-Friday,11:00 PM,458,272,,,730
96 Avenue East of 130 Street,Monday-Friday,12:00 AM,120,127,,,247
96 Avenue East of 130 Street,Monday-Friday,1:00 AM,71,78,,,149
96 Avenue East of 130 Street,Monday-Friday,2:00 AM,49,57,,,106
96 Avenue East of 130 Street,Monday-Friday,3:00 AM,47,70,,,117
96 Avenue East of 130 Street,Monday-Friday,4:00 AM,94,126,,,220
96 Avenue East of 130 Street,Monday-Friday,5:00 AM,254,376,,,630
96 Avenue East of 130 Street,Monday-Friday,6:00 AM,582,557,,,1139
96 Avenue East of 130 Street,Monday-Friday,7:00 AM,825,730,,,1555
96 Avenue East of 130 Street,Monday-Friday,8:00 AM,825,809,,,1634
96 Avenue East of 130 Street,Monday-Friday,9:00 AM,629,626,,,1255
96 Avenue East of 130 Street,Monday-Friday,10:00 AM,632,633,,,1265
96 Avenue East of 130 Street,Monday-Friday,11:00 AM,712,760,,,1472
96 Avenue East of 130 Street,Monday-Friday,12:00 PM,772,777,,,1549
96 Avenue East of 130 Street,Monday-Friday,1:00 PM,791,798,,,1589
96 Avenue East of 130 Street,Monday-Friday,2:00 PM,929,934,,,1863
96 Avenue East of 130 Street,Monday-Friday,3:00 PM,1003,1043,,,2046
96 Avenue East of 130 Street,Monday-Friday,4:00 PM,1025,1128,,,2153
96 Avenue East of 130 Street,Monday-Friday,5:00 PM,987,1012,,,1999
96 Avenue East of 130 Street,Monday-Friday,6:00 PM,889,839,,,1728
96 Avenue East of 130 Street,Monday-Friday,7:00 PM,709,732,,,1441
96 Avenue East of 130 Street,Monday-Friday,8:00 PM,551,623,,,1174
96 Avenue East of 130 Street,Monday-Friday,9:00 PM,479,526,,,1005
96 Avenue East of 130 Street,Monday-Friday,10:00 PM,370,382,,,752
96 Avenue East of 130 Street,Monday-Friday,11:00 PM,237,253,,,490
104 Avenue East of 157 Street,Monday-Friday,12:00 AM,91,95,,,186
104 Avenue East of 157 Street,Monday-Friday,1:00 AM,52,49,,,101
104 Avenue East of 157 Street,Monday-Friday,2:00 AM,37,38,,,75
104 Avenue East of 157 Street,Monday-Friday,3:00 AM,45,32,,,77
104 Avenue East of 157 Street,Monday-Friday,4:00 AM,107,64,,,171
104 Avenue East of 157 Street,Monday-Friday,5:00 AM,326,189,,,515
104 Avenue East of 157 Street,Monday-Friday,6:00 AM,531,414,,,945
104 Avenue East of 157 Street,Monday-Friday,7:00 AM,704,847,,,1551
